21_JUMP_STREET.srt 	21_JUMP_STREET_DVS88 	00:11:41,00 --> 00:11:48,50 	the uniform cops walk through a storage area and enter a small chapel.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS651 	01:33:07,00 --> 01:33:11,50 	later, they walk the fairway.
SALT.srt 	SALT_DVS405 	01:10:49,00 --> 01:11:02,50 	the impostor grabs her service cap and attach case from a security conveyor belt then walks beside someone.
SANCTUM.srt 	SANCTUM_DVS453 	01:25:12,00 --> 01:25:17,50 	he stumbles, then winces and stops walking.
SANCTUM.srt 	SANCTUM_DVS461 	01:26:05,00 --> 01:26:10,50 	as they walk toward it, someone removes his helmet.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS129 	00:08:32,00 --> 00:08:37,50 	now, the two friends walk down a narrow alley.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS382 	00:25:22,00 --> 00:25:29,50 	a young man walks over and lifts off her veil, revealing her elaborate bridal crown.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS568 	00:38:07,00 --> 00:38:16,50 	beyond an empty dinner table, a hysterical woman walks past an open door with a baby in her arms.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS613 	00:40:39,00 --> 00:40:44,50 	a second couple bows to them and walks off.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS692 	00:45:22,00 --> 00:45:28,50 	a male mourner walks across our view of the best friends.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS740 	00:49:13,00 --> 00:49:16,50 	someone walks out.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1251 	01:23:59,00 --> 01:24:06,50 	at the gallery, someone's aunt walks someone through the exhibit on chinese foot binding.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1423 	01:36:45,00 --> 01:36:52,50 	a view of a bustling sidewalk shows two girls walking arm in arm.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS213 	00:40:54,00 --> 00:41:08,50 	a figure with a walking stick approaches as two customers leave with their order.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS265 	00:53:21,00 --> 00:53:26,50 	he walks her to a yoga class.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS270 	00:54:25,00 --> 00:54:29,50 	he walks away, but someone stays pinned
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS275 	00:56:10,00 --> 00:56:16,50 	someone presses the knob of his walking stick to his lips.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS365 	01:17:06,00 --> 01:17:12,50 	as she walks away, someone approaches with tank.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS376 	01:19:57,00 --> 01:20:01,50 	he touches his walking stick to his neck.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS406 	01:24:51,00 --> 01:24:57,50 	someone walks out to the terrace.
SOUL_SURFER.srt 	SOUL_SURFER_DVS265 	01:17:10,00 --> 01:17:17,50 	she walks over to the little boy who shoots her an uncertain look.
SPARKLE_2012.srt 	SPARKLE_2012_DVS82 	00:13:41,00 --> 00:13:46,50 	he eyes her as she walks away.
SPARKLE_2012.srt 	SPARKLE_2012_DVS85 	00:13:54,00 --> 00:13:59,50 	someone ignores him and keeps walking.
SPARKLE_2012.srt 	SPARKLE_2012_DVS224 	00:35:05,00 --> 00:35:13,50 	sister approaches a center microphone, walking seductively.
SPARKLE_2012.srt 	SPARKLE_2012_DVS242 	00:37:45,00 --> 00:37:54,50 	later, someone walks the girls to the car.
SPARKLE_2012.srt 	SPARKLE_2012_DVS300 	00:51:03,00 --> 00:51:08,50 	she glances at the others, then walks out.
SPARKLE_2012.srt 	SPARKLE_2012_DVS360 	01:00:32,00 --> 01:00:41,50 	someone and someone shimmy backwards, silhouetted on either side of sister as she walks with her back to the audience.
SPARKLE_2012.srt 	SPARKLE_2012_DVS388 	01:04:45,00 --> 01:04:52,50 	someone and someone walk timidly toward her in their black overcoats.
SPARKLE_2012.srt 	SPARKLE_2012_DVS465 	01:16:35,00 --> 01:16:39,50 	she slowly walks up the stairs.
SPARKLE_2012.srt 	SPARKLE_2012_DVS522 	01:26:45,00 --> 01:26:54,50 	now someone watches from her bedroom window, as someone walks to a waiting taxi, and hands her bags to the driver.
SPARKLE_2012.srt 	SPARKLE_2012_DVS533 	01:28:33,00 --> 01:28:39,50 	sister keeps walking and disappears behind a door.
SPARKLE_2012.srt 	SPARKLE_2012_DVS537 	01:29:05,00 --> 01:29:10,50 	someone walks away.
SUPER_8.srt 	SUPER_8_DVS27 	00:02:54,00 --> 00:03:02,50 	the man walks to a house's, his front door, glances over his shoulder at someone, then runs his fingers through his hair.
SUPER_8.srt 	SUPER_8_DVS28 	00:03:05,00 --> 00:03:10,50 	someone drops his gaze as the man walks inside.
SUPER_8.srt 	SUPER_8_DVS34 	00:04:18,00 --> 00:04:27,50 	wearing a backpack, someone walks up to a burly boy with short brown hair.
SUPER_8.srt 	SUPER_8_DVS36 	00:04:47,00 --> 00:04:51,50 	open-mouthed, someone pauses then walks on.
SUPER_8.srt 	SUPER_8_DVS49 	00:07:15,00 --> 00:07:20,50 	someone walks into the kitchen and glances at an empty table.
SUPER_8.srt 	SUPER_8_DVS50 	00:07:21,00 --> 00:07:26,50 	he moves into the living room then walks down a hallway.
SUPER_8.srt 	SUPER_8_DVS134 	00:20:25,00 --> 00:20:31,50 	as the dirt-smeared boy stare at the blood someone walks up behind him.
SUPER_8.srt 	SUPER_8_DVS147 	00:22:53,00 --> 00:23:01,50 	the boys walk up as someone unfolds it.
SUPER_8.srt 	SUPER_8_DVS181 	00:30:33,00 --> 00:30:39,50 	someone walks up to someone and shakes his head.
SUPER_8.srt 	SUPER_8_DVS182 	00:30:39,00 --> 00:30:44,50 	someone glances at someone then walks into the house,
SUPER_8.srt 	SUPER_8_DVS208 	00:36:01,00 --> 00:36:06,50 	the sheriff pays for the candy bar and walks out.
SUPER_8.srt 	SUPER_8_DVS220 	00:37:23,00 --> 00:37:32,50 	lights inside the gas station continue to flicker on and off as someone steps outside and walks toward the sheriff's car.
SUPER_8.srt 	SUPER_8_DVS222 	00:37:50,00 --> 00:37:55,50 	someone walks around the car to the pumps.
SUPER_8.srt 	SUPER_8_DVS244 	00:41:47,00 --> 00:41:53,50 	the people drift away as someone walks to the front of the lot and gazes into the street
SUPER_8.srt 	SUPER_8_DVS313 	00:56:33,00 --> 00:56:39,50 	as he walks away someone glances at another soldier,
SUPER_8.srt 	SUPER_8_DVS373 	01:05:17,00 --> 01:05:22,50 	someone glares at someone then walks out.
SUPER_8.srt 	SUPER_8_DVS603 	01:38:30,00 --> 01:38:39,50 	the children walk past armed soldiers who stare skyward as various metal objects - large and small - fly toward the tower.
SUPER_8.srt 	SUPER_8_DVS615 	01:40:07,00 --> 01:40:14,50 	someone and someone walk together toward someone and someone who exchange glances.
SUPER_8.srt 	SUPER_8_DVS656 	01:44:16,00 --> 01:44:24,50 	dressed in a suit and hat, someone walks up to the chalk outline of a body drawn around a pool of blood.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS58 	00:08:32,00 --> 00:08:37,50 	later someone walks into an apartment.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS60 	00:08:47,00 --> 00:08:54,50 	slipping off his jacket, someone walks into a home office and opens a desk drawer.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS82 	00:11:56,00 --> 00:12:01,50 	they walk into someone's dark apartment.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS84 	00:12:12,00 --> 00:12:19,50 	later that night someone carries a flashlight, as he walks outside the front gate
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS100 	00:14:06,00 --> 00:14:14,50 	as someone walks through a door in one corner a shadowy figure paces deeper into the gloom.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS102 	00:14:26,00 --> 00:14:32,50 	he walks up to a large object draped with a sheet and uncovers it.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS141 	00:22:22,00 --> 00:22:27,50 	the inspectors tip their bowlers, then walk off.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS151 	00:23:40,00 --> 00:23:45,50 	someone talks to snowy as they walk.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS249 	00:37:26,00 --> 00:37:32,50 	they crouch as the burly first mate walks past on the level above them,
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS266 	00:39:29,00 --> 00:39:32,50 	someone walks in.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS300 	00:44:30,00 --> 00:44:34,50 	as he walks up a sidewalk.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS467 	01:08:17,00 --> 01:08:24,50 	walking backward, sir someone pours out a trail of gunpowder from a barrel.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS503 	01:12:34,00 --> 01:12:38,50 	people walk through a market place.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS545 	01:16:10,00 --> 01:16:15,50 	someone walks to a small platform.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS726 	01:37:41,00 --> 01:37:46,50 	someone walks up to the statue and examines a stone globe.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS38 	00:08:50,00 --> 00:09:02,50 	as the blond girl tries to walk abreast of him, someone ignores her.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS80 	00:18:10,00 --> 00:18:20,50 	someone and someone walk up from a subway station.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS84 	00:19:28,00 --> 00:19:33,50 	across the street someone walks alone.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS135 	00:30:02,00 --> 00:30:16,50 	someone walks off.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS144 	00:31:43,00 --> 00:31:50,50 	later on a quiet street someone and someone walk together following the others.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS208 	00:39:17,00 --> 00:39:37,50 	he walks down a barren corridor and stops in front of a door.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS243 	00:46:53,00 --> 00:46:57,50 	he stops walking.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS261 	00:49:51,00 --> 00:50:20,50 	the two teens walk right past each other offering no sign of acknowledgment.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS315 	00:59:36,00 --> 00:59:44,50 	in the early morning under a gray sky someone walks down the middle of a street.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS329 	01:04:06,00 --> 01:04:11,50 	he walks off leaving her behind.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS340 	01:03:48,00 --> 01:03:53,50 	he walks her to the party's edge.
THE_CALL.srt 	THE_CALL_DVS109 	00:08:20,00 --> 00:08:32,50 	the intruder walks down the upstairs hall and opens one of the doors.
THE_CALL.srt 	THE_CALL_DVS113 	00:08:50,00 --> 00:08:55,50 	the prowler walks up to an open closet door.
THE_CALL.srt 	THE_CALL_DVS825 	01:02:23,00 --> 01:02:30,50 	the frustrated operator walks into the break room with a hand on her forehead.
THE_CALL.srt 	THE_CALL_DVS941 	01:12:34,00 --> 01:12:40,50 	she walks astride a row of bushes and approaches a flag pole.
THE_CALL.srt 	THE_CALL_DVS1004 	01:17:01,00 --> 01:17:09,50 	as he walks away from the door, our view shifts to reveal a pink twin bed covered in blood.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS39 	00:07:27,00 --> 00:07:35,50 	someone wears a nonplussed smile, then walks his daughter to their car.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS156 	00:25:59,00 --> 00:26:08,50 	someone walks in.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS487 	01:10:33,00 --> 01:10:39,50 	she drops a large, fashionable tote in the sand, walks to the water's edge, and cups her hands around her mouth.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS537 	01:17:58,00 --> 01:18:05,50 	someone and someone walk a few paces ahead.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS542 	01:18:49,00 --> 01:18:56,50 	walking side by side, they advance on the large cottage occupied by the speers.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS54 	00:03:40,00 --> 00:03:44,50 	he walks off in the rain.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS100 	00:10:28,00 --> 00:10:34,50 	now, in a coat and knit hat, someone lights a cigarette as she walks down a sidewalk.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS138 	00:13:47,00 --> 00:13:52,50 	shivering, he walks to the edge of the platform.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS158 	00:16:44,00 --> 00:16:50,50 	someone glances at the heavyset techie, then walks out the door.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS171 	00:20:39,00 --> 00:20:46,50 	later, they walk a hall.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS196 	00:24:44,00 --> 00:24:50,50 	he walks out the door.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS224 	00:27:00,00 --> 00:27:06,50 	someone walks away from the cottage.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS425 	00:50:53,00 --> 00:50:57,50 	she walks outside.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS480 	00:55:09,00 --> 00:55:16,50 	outside the guest cottage, the tabby paws at a window then walks out of view.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS556 	01:02:10,00 --> 01:02:16,50 	now, he walks down the parade route with the snapshot in his hand.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS635 	01:09:22,00 --> 01:09:28,50 	now someone walks the grounds of the vanger estate.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS713 	01:19:47,00 --> 01:19:53,50 	someone stubs out her cigarette and starts to walk away.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS755 	01:25:17,00 --> 01:25:24,50 	as someone walks away, someone tosses his cigarette and joins someone in the kitchen.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS909 	01:41:19,00 --> 01:41:23,50 	someone walks away.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1023 	01:50:13,00 --> 01:50:21,50 	meanwhile, someone trails her fingertips along the volumes of archives as she walks through the stacks.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1064 	01:52:46,00 --> 01:52:52,50 	at the archives someone munches on her sandwich as she walks among the towering stacks.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1123 	01:57:40,00 --> 01:57:47,50 	outside vanger industries someone walks briskly with her phone to her ear.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1262 	02:12:39,00 --> 02:12:45,50 	someone crosses the street and walks up to the front door.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1377 	02:27:52,00 --> 02:27:55,50 	in disguise, someone walks an airport's bustling skyway.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1398 	02:29:51,00 --> 02:29:57,50 	puffing on her cigarette she glances over her shoulder as she walks away.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS199 	01:04:26,00 --> 01:04:32,50 	someone touches the tip of his hat and walks to his truck.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS212 	01:09:26,00 --> 01:09:31,50 	someone walks away, smiling.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS267 	01:28:19,00 --> 01:28:26,50 	inside the airport, they walk up to the digital departure board.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS278 	01:31:32,00 --> 01:31:39,50 	someone picks up his briefcase and walks off into the bustling crowd.
THE_SITTER.srt 	THE_SITTER_DVS27 	00:12:59,00 --> 00:13:05,50 	wearing cowboy boots, the boy walks over the mess.
THE_SITTER.srt 	THE_SITTER_DVS75 	00:41:04,00 --> 00:41:08,50 	someone walks away.
THE_SITTER.srt 	THE_SITTER_DVS112 	01:00:32,00 --> 01:00:35,50 	she walks away.
THE_SITTER.srt 	THE_SITTER_DVS156 	01:16:15,00 --> 01:16:22,50 	as they walk side by side down the street, he gazes at someone.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS15 	00:06:51,00 --> 00:06:56,50 	he walks along another walkway to a flight of stone steps.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS135 	00:46:24,00 --> 00:46:29,50 	they walk off, leaving the three admirers behind.
THE_VOW.srt 	THE_VOW_DVS213 	00:27:14,00 --> 00:27:19,50 	he shyly walks her to their apartments entrance.
THE_VOW.srt 	THE_VOW_DVS372 	00:52:21,00 --> 00:52:28,50 	someone pours herself coffee then walks to someone who reads the paper.
THE_VOW.srt 	THE_VOW_DVS374 	00:52:36,00 --> 00:52:42,50 	outside they walk an alley.
THE_VOW.srt 	THE_VOW_DVS404 	00:56:01,00 --> 00:56:06,50 	she folds it hurriedly as someone walks in.
THE_VOW.srt 	THE_VOW_DVS445 	01:04:07,00 --> 01:04:13,50 	later, he walks a demurely dressed someone to his wagoneer.
THE_VOW.srt 	THE_VOW_DVS586 	01:21:08,00 --> 01:21:14,50 	someone walks into view casually and peers at the soundboard.
THE_VOW.srt 	THE_VOW_DVS592 	01:21:33,00 --> 01:21:39,50 	someone walks up to him with folded arms.
THE_VOW.srt 	THE_VOW_DVS637 	01:28:46,00 --> 01:28:50,50 	glaring, she walks away.
THE_VOW.srt 	THE_VOW_DVS660 	01:31:20,00 --> 01:31:28,50 	later, at a water taxi stop on the river, she walks with someone up a flight of stairs.
THE_WATCH.srt 	THE_WATCH_DVS44 	00:05:44,00 --> 00:05:50,50 	he walks the aisles, the beam of his flashlight leading the way.
THE_WATCH.srt 	THE_WATCH_DVS151 	00:29:13,00 --> 00:29:19,50 	now, the guys walk the empty football field with flashlights.
THE_WATCH.srt 	THE_WATCH_DVS488 	01:27:21,00 --> 01:27:26,50 	someone walks up to the tower and aims his shotgun.
THE_WATCH.srt 	THE_WATCH_DVS514 	01:30:34,00 --> 01:31:11,50 	walking backwards, they fire on the alien horde.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS48 	00:06:33,00 --> 00:06:40,50 	now in workout clothes, someone listens to headphones as she walks down a sidewalk.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS127 	00:23:40,00 --> 00:23:45,50 	she rolls her eyes and he walks off with a grin.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS180 	00:33:38,00 --> 00:33:43,50 	she grabs someone as he walks away.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS350 	01:03:32,00 --> 01:03:37,50 	that night, someone walks someone to her house.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS521 	01:29:34,00 --> 01:29:41,50 	in slow motion, the reunited family walks down a hallway together.
THOR.srt 	THOR_DVS91 	00:12:34,00 --> 00:12:39,50 	someone meets his stare then walks away.
THOR.srt 	THOR_DVS94 	00:13:16,00 --> 00:13:21,50 	the brunette woman and three other warriors walk in.
THOR.srt 	THOR_DVS104 	00:15:22,00 --> 00:15:29,50 	someone and his friends dismount and walk up to the motionless sentinel.
THOR.srt 	THOR_DVS108 	00:16:13,00 --> 00:16:21,50 	inside the domed building, someone and his companions walk around a circular pit with a glowing disk at its bottom.
THOR.srt 	THOR_DVS275 	00:36:52,00 --> 00:36:58,50 	someone walks up to a desk and examines some equipment.
THOR.srt 	THOR_DVS278 	00:37:24,00 --> 00:37:30,50 	someone folds his arms and stares at someone as he walks away.
THOR.srt 	THOR_DVS302 	00:42:53,00 --> 00:42:58,50 	behind someone two men walk into the diner.
THOR.srt 	THOR_DVS305 	00:43:38,00 --> 00:43:43,50 	cars swerve as someone walks into the street.
THOR.srt 	THOR_DVS341 	00:50:50,00 --> 00:50:54,50 	someone walks out.
THOR.srt 	THOR_DVS390 	00:58:06,00 --> 00:58:12,50 	someone rips down a sheet of plastic, then walks up to someone and smiles.
THOR.srt 	THOR_DVS412 	01:04:24,00 --> 01:04:30,50 	someone vanishes, as agent someone walks back into the room.
THOR.srt 	THOR_DVS420 	01:06:12,00 --> 01:06:17,50 	someone walks into the interrogation room.
THOR.srt 	THOR_DVS421 	01:06:18,00 --> 01:06:25,50 	eyes darting, he stays by someone's side as they walk outdoors.
THOR.srt 	THOR_DVS503 	01:22:20,00 --> 01:22:26,50 	someone lifts children into the back of a pickup truck as the destroyer walk into town.
THOR.srt 	THOR_DVS508 	01:22:41,00 --> 01:22:47,50 	the towering silver attacker walks unharmed through the flames.
THOR.srt 	THOR_DVS533 	01:25:10,00 --> 01:25:17,50 	in slow motion, the destroyer walks toward someone from the opposite end of the street.
THOR.srt 	THOR_DVS696 	01:44:20,00 --> 01:44:25,50 	someone pats someone's shoulder and walks off.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS116 	00:12:39,00 --> 00:12:44,50 	a stocky male fairy walks up.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS323 	00:37:31,00 --> 00:37:35,50 	someone walks with someone.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS434 	00:46:16,00 --> 00:46:20,50 	a boy walks over.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS505 	00:55:32,00 --> 00:55:37,50 	later, someone walks someone out.
TRUE_GRIT.srt 	TRUE_GRIT_DVS30 	00:03:13,00 --> 00:03:17,50 	someone and her companion walk down the busy main street.
TRUE_GRIT.srt 	TRUE_GRIT_DVS41 	00:05:53,00 --> 00:05:59,50 	someone walks off with the old sheriff.
TRUE_GRIT.srt 	TRUE_GRIT_DVS50 	00:08:29,00 --> 00:08:36,50 	wearing her long dark dress, someone walks along the main street.
TRUE_GRIT.srt 	TRUE_GRIT_DVS65 	00:14:04,00 --> 00:14:10,50 	next day, someone walks up the stairs in the courthouse.
TRUE_GRIT.srt 	TRUE_GRIT_DVS79 	00:22:41,00 --> 00:22:47,50 	that evening, someone walks along the street to the boarding house.
TRUE_GRIT.srt 	TRUE_GRIT_DVS86 	00:23:07,00 --> 00:23:12,50 	she walks up to the front door.
TRUE_GRIT.srt 	TRUE_GRIT_DVS169 	00:37:18,00 --> 00:37:25,50 	he walks towards someone who uncocks his weapon and holsters it.
TRUE_GRIT.srt 	TRUE_GRIT_DVS192 	00:40:29,00 --> 00:40:37,50 	she walks over to someone who's by some bare trees tying leather bags to his horses saddle.
TRUE_GRIT.srt 	TRUE_GRIT_DVS289 	01:01:49,00 --> 01:01:54,50 	the rider dismounts and walks his horse toward the cabin.
TRUE_GRIT.srt 	TRUE_GRIT_DVS298 	01:03:26,00 --> 01:03:32,50 	the other man gets off his horse and walks toward the cabin.
TRUE_GRIT.srt 	TRUE_GRIT_DVS310 	01:04:20,00 --> 01:04:28,50 	someone and someone walk past the dead man to someone, who's mouth is covered in blood.
TRUE_GRIT.srt 	TRUE_GRIT_DVS593 	01:43:13,00 --> 01:43:17,50 	she walks away.
TRUE_GRIT.srt 	TRUE_GRIT_DVS598 	01:44:04,00 --> 01:44:10,50 	someone cuts a lonely figure as she walks away.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS46 	00:08:06,00 --> 00:08:12,50 	later someone walks alone through the courtyard leading to her apartment.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS279 	00:27:38,00 --> 00:27:42,50 	he walks to a set.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS373 	00:44:15,00 --> 00:44:22,50 	at night, someone and someone walk the courtyard between their apartments.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS384 	00:45:55,00 --> 00:46:01,50 	walking off, he glances back toward someone's door.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS402 	00:49:17,00 --> 00:49:21,50 	she walks with him.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS572 	01:16:03,00 --> 01:16:08,50 	meanwhile, someone walks down a hallway.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS113 	00:18:47,00 --> 00:18:53,50 	outside, a male lion walks up to a chain-link fence.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS122 	00:20:30,00 --> 00:20:35,50 	the agent pats him on the shoulder, then walks off.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS163 	00:28:20,00 --> 00:28:25,50 	someone walks with someone.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS164 	00:28:26,00 --> 00:28:30,50 	someone walks with someone.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS177 	00:30:40,00 --> 00:30:47,50 	later, someone and someone walk ahead of the kids.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS257 	00:42:32,00 --> 00:42:39,50 	smirking, someone swivels away and walks toward an old pickup parked nearby.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS391 	01:02:06,00 --> 01:02:12,50 	they stop walking.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS428 	01:07:36,00 --> 01:07:40,50 	they walk to the restaurant.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS587 	01:29:53,00 --> 01:30:00,50 	later, someone bites his lip as he walks outside with someone.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS320 	00:45:06,00 --> 00:45:10,50 	they walk along the harbor.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS426 	01:00:20,00 --> 01:00:25,50 	someone and someone walk down a dark corridor.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS428 	01:00:32,00 --> 01:00:36,50 	they continue walking.
