21_JUMP_STREET.srt 	21_JUMP_STREET_DVS90 	00:11:53,00 --> 00:12:00,50 	a woman with long blonde hair turns.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS109 	00:17:47,00 --> 00:18:11,50 	the mustached thug incinerates and the rider turns.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS138 	00:22:02,00 --> 00:22:08,50 	the man turns, revealing a long pale face with aging features.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS153 	00:23:48,00 --> 00:24:12,50 	moving on to the car beside it, she turns.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS174 	00:28:28,00 --> 00:28:33,50 	his eyes open and he turns.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS176 	00:28:42,00 --> 00:28:47,50 	turning away, someone flops back against his seat.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS220 	00:36:11,00 --> 00:36:16,50 	the bearded supplier turns to his guards.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS228 	00:36:57,00 --> 00:37:05,50 	as he turns to her with a smile, she shoots him.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS241 	00:38:30,00 --> 00:38:47,50 	the guards turn from the explosion's blinding light.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS249 	00:39:38,00 --> 00:40:01,50 	he starts to climb the ladder to the control cab, then pauses and turns to someone who gawks.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS268 	00:41:57,00 --> 00:42:06,50 	as she turns back, she sees him beside her.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS314 	00:47:39,00 --> 00:47:48,50 	as he turns around, darkness engulfs him.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS339 	00:51:13,00 --> 00:51:26,50 	glancing into the lunch box, he takes out an apple and watches the bright green fruit turn grey and crumble.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS359 	00:53:11,00 --> 00:53:15,50 	someone turns to his companion.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS389 	00:57:51,00 --> 00:57:57,50 	someone turns to his bag and takes out a small loaf of bread.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS399 	00:58:55,00 --> 00:59:04,50 	he reaches the end of the passage and a huge slab blocks him from turning back.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS476 	01:09:17,00 --> 01:09:23,50 	he takes out a syringe then turns to his son.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS495 	01:12:12,00 --> 01:12:19,50 	she glances down then heads off and he turns to watch her go.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS555 	01:18:56,00 --> 01:19:05,50 	at her post, someone turns to find someone's motorcycle erupting flames as the engine starts by itself.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS566 	01:21:18,00 --> 01:21:51,50 	the rider turns.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS596 	01:25:54,00 --> 01:25:58,50 	he turns his head.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS599 	01:26:06,00 --> 01:26:15,50 	the creature's skull turns toward the wreckage.
GREEN_ZONE.srt 	GREEN_ZONE_DVS151 	00:39:28,00 --> 00:39:39,50 	he hops in place, turning away from them.
GREEN_ZONE.srt 	GREEN_ZONE_DVS245 	00:59:02,00 --> 00:59:16,50 	a guard opens a chain-linked gate for them and they turn a corner.
GREEN_ZONE.srt 	GREEN_ZONE_DVS274 	01:03:42,00 --> 01:03:52,50 	someone turns away and wanders to a wall papered with photos and notes then fearfully locks eyes with the soldier.
GREEN_ZONE.srt 	GREEN_ZONE_DVS301 	01:09:14,00 --> 01:09:19,50 	someone turns to someone.
GREEN_ZONE.srt 	GREEN_ZONE_DVS330 	01:14:31,00 --> 01:14:45,50 	headlights flicker then turn off.
GREEN_ZONE.srt 	GREEN_ZONE_DVS340 	01:16:29,00 --> 01:17:03,50 	as the chief heads after him, the envoy turns a corner.
GREEN_ZONE.srt 	GREEN_ZONE_DVS440 	01:36:48,00 --> 01:37:08,50 	turning, he trains his weapon on someone.
GREEN_ZONE.srt 	GREEN_ZONE_DVS446 	01:37:45,00 --> 01:37:54,50 	turning, he briefly meets someone's gaze.
GREEN_ZONE.srt 	GREEN_ZONE_DVS449 	01:38:17,00 --> 01:38:28,50 	someone turns, peering into the shadows at the other end of the market.
GREEN_ZONE.srt 	GREEN_ZONE_DVS470 	01:42:38,00 --> 01:42:51,50 	turning away, the soldier lumbers out.
GROWN_UPS.srt 	GROWN_UPS_DVS48 	00:15:16,00 --> 00:15:22,50 	a burly man turns and taps a friend with a wonky eye.
GROWN_UPS.srt 	GROWN_UPS_DVS158 	00:46:00,00 --> 00:46:06,50 	they turn their chairs away.
GROWN_UPS.srt 	GROWN_UPS_DVS182 	00:51:21,00 --> 00:51:30,50 	someone turns to someone who hurries out after her.
GROWN_UPS.srt 	GROWN_UPS_DVS293 	01:33:19,00 --> 01:33:35,50 	someone turns back to the basket and shoots.
HUGO.srt 	HUGO_DVS25 	00:03:13,00 --> 00:03:23,50 	turning down another narrow hallway with steam rising through the grating, the boy reaches another clock powered by a complex mechanism of spinning gears.
HUGO.srt 	HUGO_DVS36 	00:04:05,00 --> 00:04:11,50 	slowly, she turns and walks away with the bread.
HUGO.srt 	HUGO_DVS52 	00:06:12,00 --> 00:06:22,50 	as he rapidly flips the pages, the drawings become an animation of the automaton turning its head.
HUGO.srt 	HUGO_DVS63 	00:08:19,00 --> 00:08:30,50 	hurtling toward the cake, the inspector turns and crashes into the band.
HUGO.srt 	HUGO_DVS73 	00:09:33,00 --> 00:09:51,50 	the boy turns down a hallway then opens a metal door.
HUGO.srt 	HUGO_DVS99 	00:13:08,00 --> 00:13:13,50 	the man turns and faces the boy.
HUGO.srt 	HUGO_DVS104 	00:13:59,00 --> 00:14:05,50 	the shopkeeper turns his back on someone and walks out.
HUGO.srt 	HUGO_DVS108 	00:14:27,00 --> 00:14:36,50 	someone rubs his hands together as the man trudges up stone steps then turns down a street lined with tall tenements.
HUGO.srt 	HUGO_DVS128 	00:17:10,00 --> 00:17:16,50 	someone nods back then turns and runs through the small cemetery.
HUGO.srt 	HUGO_DVS130 	00:17:24,00 --> 00:17:33,50 	he turns and yanks a sheet off a doll-sized mechanical man - or automaton - sitting at a small table.
HUGO.srt 	HUGO_DVS178 	00:24:54,00 --> 00:25:03,50 	someone ducks as the inspector stretches back his arms, then hides behind the pillar as the inspector turns his head.
HUGO.srt 	HUGO_DVS183 	00:25:50,00 --> 00:25:56,50 	he glances toward the flower seller then turns and limps off in the other direction.
HUGO.srt 	HUGO_DVS185 	00:26:10,00 --> 00:26:14,50 	he turns and faces someone.
HUGO.srt 	HUGO_DVS194 	00:27:19,00 --> 00:27:25,50 	turning the corner, he barrels into the brown-haired girl.
HUGO.srt 	HUGO_DVS249 	00:35:22,00 --> 00:35:27,50 	he forces it to turn, but still nothing happens.
HUGO.srt 	HUGO_DVS286 	00:42:33,00 --> 00:42:39,50 	he takes a step forward then turns and points into the distance.
HUGO.srt 	HUGO_DVS291 	00:43:22,00 --> 00:43:28,50 	the station inspector passes them then pauses and turns.
HUGO.srt 	HUGO_DVS304 	00:46:56,00 --> 00:47:02,50 	someone turns and fights his way back to someone.
HUGO.srt 	HUGO_DVS319 	00:49:47,00 --> 00:49:54,50 	someone walks behind it and turns the crank attached to its back.
HUGO.srt 	HUGO_DVS322 	00:49:57,00 --> 00:50:03,50 	he turns the key, steps back beside someone, and smiles at her.
HUGO.srt 	HUGO_DVS364 	00:55:52,00 --> 00:55:57,50 	someone steps down a hallway then turns into a sitting room.
HUGO.srt 	HUGO_DVS369 	00:56:18,00 --> 00:56:23,50 	she inspects him intently then turns to someone.
HUGO.srt 	HUGO_DVS383 	00:58:26,00 --> 00:58:32,50 	someone turns someone and someone around then herds them into another room.
HUGO.srt 	HUGO_DVS386 	00:58:39,00 --> 00:58:44,50 	someone turns and eyes an armoire standing against a wall.
HUGO.srt 	HUGO_DVS398 	00:59:54,00 --> 00:59:59,50 	then turns and smiles at someone.
HUGO.srt 	HUGO_DVS401 	01:00:16,00 --> 01:00:23,50 	smiling, she hands the panel to someone then turns toward a wooden box sitting in the exposed space.
HUGO.srt 	HUGO_DVS406 	01:00:40,00 --> 01:00:45,50 	wide-eyed, someone watches as someone turns toward him.
HUGO.srt 	HUGO_DVS420 	01:01:37,00 --> 01:01:42,50 	someone turns to someone, who shakes her head.
HUGO.srt 	HUGO_DVS430 	01:02:46,00 --> 01:02:56,50 	someone turns toward someone, nods, then they both walk out of the room, gazing over their shoulders at someone and someone.
HUGO.srt 	HUGO_DVS435 	01:03:15,00 --> 01:03:20,50 	someone grasps her hand then turns and walks off.
HUGO.srt 	HUGO_DVS436 	01:03:34,00 --> 01:03:40,50 	facing someone, someone nods then turns and walks away.
HUGO.srt 	HUGO_DVS448 	01:04:48,00 --> 01:04:54,50 	someone freezes then turns and walks in the opposite direction.
HUGO.srt 	HUGO_DVS450 	01:05:16,00 --> 01:05:20,50 	he turns to the brown-haired cafe owner.
HUGO.srt 	HUGO_DVS459 	01:07:17,00 --> 01:07:24,50 	he lurches forward, someone gasps and turns away.
HUGO.srt 	HUGO_DVS463 	01:07:36,00 --> 01:07:42,50 	the inspector bows slightly then turns and walks off.
HUGO.srt 	HUGO_DVS465 	01:07:50,00 --> 01:07:55,50 	the inspector turns toward someone.
HUGO.srt 	HUGO_DVS468 	01:08:19,00 --> 01:08:26,50 	then he turns and walks off.
HUGO.srt 	HUGO_DVS477 	01:09:33,00 --> 01:09:40,50 	people watching the movie duck or turn away.
HUGO.srt 	HUGO_DVS479 	01:10:00,00 --> 01:10:10,50 	shafts of light shine from the man's finger then turn into a movie projector's diffused beam.
HUGO.srt 	HUGO_DVS481 	01:10:27,00 --> 01:10:42,50 	someone turns a page.
HUGO.srt 	HUGO_DVS482 	01:10:39,00 --> 01:10:56,50 	a cowboy turns his head.
HUGO.srt 	HUGO_DVS482 	01:10:39,00 --> 01:10:56,50 	as someone turns the book's pages, more movie images appear.
HUGO.srt 	HUGO_DVS523 	01:17:27,00 --> 01:17:33,50 	the inspector turns and picks up the wrench then stares up at the clock.
HUGO.srt 	HUGO_DVS525 	01:17:55,00 --> 01:17:59,50 	he turns to someone.
HUGO.srt 	HUGO_DVS529 	01:18:13,00 --> 01:18:22,50 	in another, he turns a gear as he checks his pocket watch.
HUGO.srt 	HUGO_DVS538 	01:20:53,00 --> 01:20:58,50 	behind them, the clockwork's gears turn smoothly.
HUGO.srt 	HUGO_DVS564 	01:23:10,00 --> 01:23:14,50 	someone turns the key in his hand.
HUGO.srt 	HUGO_DVS569 	01:23:38,00 --> 01:23:47,50 	the engineer furiously turns a wheel then shoves a lever.
HUGO.srt 	HUGO_DVS582 	01:24:31,00 --> 01:24:36,50 	the automaton's face is turned in his direction.
HUGO.srt 	HUGO_DVS591 	01:25:24,00 --> 01:25:30,50 	which turns into the automaton's face and then back to his own again.
HUGO.srt 	HUGO_DVS597 	01:26:02,00 --> 01:26:08,50 	a policeman grabs the flask and turns it upside down.
HUGO.srt 	HUGO_DVS615 	01:29:15,00 --> 01:29:21,50 	someone's eyes glisten as she smiles and turns away.
HUGO.srt 	HUGO_DVS624 	01:30:53,00 --> 01:30:59,50 	he smiles and turns a crank on his film projector as the lights dim.
HUGO.srt 	HUGO_DVS631 	01:31:34,00 --> 01:31:41,50 	as the capsule lands on the moon's surface and people step out, the capsule turns red.
HUGO.srt 	HUGO_DVS644 	01:32:48,00 --> 01:32:52,50 	he stops turning the crank.
HUGO.srt 	HUGO_DVS647 	01:33:00,00 --> 01:33:05,50 	everyone turns toward someone
HUGO.srt 	HUGO_DVS710 	01:43:57,00 --> 01:44:05,50 	someone dives under some nearby cafe tables as the inspector turns and approaches frick and the cafe owner.
IN_TIME.srt 	IN_TIME_DVS37 	00:04:16,00 --> 00:04:23,50 	turning a corner, someone checks his body clock, then breaks into a run.
IN_TIME.srt 	IN_TIME_DVS113 	00:12:48,00 --> 00:12:57,50 	as someone turns away, someone stares ahead with a haunted expression.
IN_TIME.srt 	IN_TIME_DVS130 	00:15:13,00 --> 00:15:19,50 	the rich man wakes and turn toward his rescuer.
IN_TIME.srt 	IN_TIME_DVS166 	00:18:03,00 --> 00:18:09,50 	a faint smile touches his lips as he turns to someone.
IN_TIME.srt 	IN_TIME_DVS255 	00:26:12,00 --> 00:26:20,50 	standing at a car's open door, she turns as he passes and stares after him.
IN_TIME.srt 	IN_TIME_DVS341 	00:35:15,00 --> 00:35:23,50 	at night, the roadster turns, pulls through an open gate, and passes a marble statue.
IN_TIME.srt 	IN_TIME_DVS369 	00:38:52,00 --> 00:38:58,50 	someone starts for the ocean, then pauses and turns back, unbuckling his belt.
IN_TIME.srt 	IN_TIME_DVS388 	00:40:38,00 --> 00:40:43,50 	turning, someone spots her and smiles.
IN_TIME.srt 	IN_TIME_DVS405 	00:43:31,00 --> 00:43:37,50 	someone coldly turns away and someone approaches someone.
IN_TIME.srt 	IN_TIME_DVS408 	00:43:50,00 --> 00:43:55,50 	someone calmly pauses and turns back.
IN_TIME.srt 	IN_TIME_DVS422 	00:45:23,00 --> 00:45:34,50 	turning, he pulls through a corridor and out onto the front driveway.
IN_TIME.srt 	IN_TIME_DVS425 	00:45:43,00 --> 00:45:52,50 	the roadster turns out to a quiet road, forcing an arriving timekeeper car to veer to one side.
IN_TIME.srt 	IN_TIME_DVS436 	00:46:55,00 --> 00:47:02,50 	someone tries to turn his car out of the way but the truck crashes through its rear half.
IN_TIME.srt 	IN_TIME_DVS439 	00:47:10,00 --> 00:47:21,50 	below, the roadster turns in beneath the structure.
IN_TIME.srt 	IN_TIME_DVS446 	00:48:09,00 --> 00:48:16,50 	as he turns his head to stare at it, the roadster approaches a spike strip laid across the street.
IN_TIME.srt 	IN_TIME_DVS462 	00:49:40,00 --> 00:49:47,50 	he faces his companion and gently turns her face with his hand.
IN_TIME.srt 	IN_TIME_DVS504 	00:54:26,00 --> 00:54:31,50 	and he turns his head toward the keypad.
IN_TIME.srt 	IN_TIME_DVS523 	00:56:30,00 --> 00:56:38,50 	he turns on a light over a sink and runs water over his bloody knuckles.
IN_TIME.srt 	IN_TIME_DVS531 	00:57:14,00 --> 00:57:20,50 	he turns from the window as someone joins him in the living room.
IN_TIME.srt 	IN_TIME_DVS565 	01:00:29,00 --> 01:00:35,50 	he turns to someone, who sleeps on the couch, and loads his gun.
IN_TIME.srt 	IN_TIME_DVS576 	01:01:21,00 --> 01:01:26,50 	someone considers her, then turns back to the window.
IN_TIME.srt 	IN_TIME_DVS586 	01:02:40,00 --> 01:02:47,50 	turning back, she places her hand against someone's neck and pulls him into a kiss.
IN_TIME.srt 	IN_TIME_DVS633 	01:07:39,00 --> 01:07:44,50 	someone turns off the tv.
IN_TIME.srt 	IN_TIME_DVS638 	01:08:24,00 --> 01:08:28,50 	she turns away.
IN_TIME.srt 	IN_TIME_DVS647 	01:09:34,00 --> 01:09:39,50 	he turns to someone, who shrugs his hands.
IN_TIME.srt 	IN_TIME_DVS716 	01:16:29,00 --> 01:16:33,50 	he turns off the tv.
IN_TIME.srt 	IN_TIME_DVS760 	01:20:18,00 --> 01:20:22,50 	then turns away.
IN_TIME.srt 	IN_TIME_DVS775 	01:21:45,00 --> 01:21:50,50 	shaking his head, someone turns away.
IN_TIME.srt 	IN_TIME_DVS793 	01:23:36,00 --> 01:23:42,50 	she turns to face him and they share a tender kiss.
IN_TIME.srt 	IN_TIME_DVS803 	01:25:11,00 --> 01:25:20,50 	someone maintains a stoic gaze as the gangster reaches a hand across the table, his palm turned upward.
IN_TIME.srt 	IN_TIME_DVS827 	01:27:50,00 --> 01:27:58,50 	with his displeased gaze still on someone, someone rumples his lips, then turns away.
IN_TIME.srt 	IN_TIME_DVS836 	01:28:28,00 --> 01:28:32,50 	someone turns away.
IN_TIME.srt 	IN_TIME_DVS863 	01:31:17,00 --> 01:31:21,50 	someone turns the vault's dial.
IN_TIME.srt 	IN_TIME_DVS865 	01:31:29,00 --> 01:31:34,50 	he turns the vault's wheel and heaves the door open.
IN_TIME.srt 	IN_TIME_DVS904 	01:35:38,00 --> 01:35:44,50 	following close behind, someone's cruiser turns a corner.
IN_TIME.srt 	IN_TIME_DVS967 	01:41:48,00 --> 01:41:53,50 	a female timekeeper turns to him.
INSIDE_MAN.srt 	INSIDE_MAN_DVS55 	00:15:31,00 --> 00:15:37,50 	someone turns away.
INSIDE_MAN.srt 	INSIDE_MAN_DVS59 	00:16:02,00 --> 00:16:19,50 	the leader approaches the executive and turns his ear to the man.
INSIDE_MAN.srt 	INSIDE_MAN_DVS66 	00:17:58,00 --> 00:18:13,50 	he turns around and teeter-totters his open hands as he weighs options.
INSIDE_MAN.srt 	INSIDE_MAN_DVS96 	00:24:49,00 --> 00:25:13,50 	someone turns away and his crew follows.
INSIDE_MAN.srt 	INSIDE_MAN_DVS97 	00:25:14,00 --> 00:25:31,50 	someone turns on rows of fluorescent lights revealing a storage room.
INSIDE_MAN.srt 	INSIDE_MAN_DVS171 	00:48:38,00 --> 00:48:43,50 	he turns to the busty woman.
INSIDE_MAN.srt 	INSIDE_MAN_DVS193 	00:55:16,00 --> 00:55:29,50 	someone turns to face the outer room and leans lazily on the vault doorframe.
INSIDE_MAN.srt 	INSIDE_MAN_DVS202 	00:57:54,00 --> 00:58:11,50 	the locks turns.
INSIDE_MAN.srt 	INSIDE_MAN_DVS213 	01:00:14,00 --> 01:00:18,50 	now, as an officer turns a crank,
INSIDE_MAN.srt 	INSIDE_MAN_DVS214 	01:00:17,00 --> 01:00:22,50 	lights rises vertical and turns on.
INSIDE_MAN.srt 	INSIDE_MAN_DVS261 	01:20:15,00 --> 01:20:41,50 	someone approaches one of the side offices and turns back to someone.
INSIDE_MAN.srt 	INSIDE_MAN_DVS261 	01:20:15,00 --> 01:20:41,50 	walking past someone, someone heads to an interior door and turns the knob.
INSIDE_MAN.srt 	INSIDE_MAN_DVS263 	01:21:13,00 --> 01:21:20,50 	someone approaches another closed door and turns the knob.
INSIDE_MAN.srt 	INSIDE_MAN_DVS274 	01:25:00,00 --> 01:25:11,50 	the mastermind turns around and climbs the steps to the lobby.
INSIDE_MAN.srt 	INSIDE_MAN_DVS284 	01:27:28,00 --> 01:27:44,50 	as his nemesis turns away, the detective's breath fogs the glass.
INSIDE_MAN.srt 	INSIDE_MAN_DVS287 	01:28:33,00 --> 01:28:42,50 	as the captain leaves, someone turns his head and exhales.
INSIDE_MAN.srt 	INSIDE_MAN_DVS344 	01:39:13,00 --> 01:39:32,50 	someone strides out into the alcove and turns left before the secured office.
INSIDE_MAN.srt 	INSIDE_MAN_DVS366 	01:46:04,00 --> 01:46:09,50 	someone turns off the recorder.
INSIDE_MAN.srt 	INSIDE_MAN_DVS431 	02:02:03,00 --> 02:02:19,50 	pinching it in between his thumb and index finger, he turns it in the light.
IRON_MAN_2.srt 	IRON_MAN_2_DVS37 	00:04:30,00 --> 00:04:38,50 	someone drips liquid into a round dish-like device, then turns a knob attached to a long thin tube.
IRON_MAN_2.srt 	IRON_MAN_2_DVS51 	00:07:04,00 --> 00:07:11,50 	someone turns toward the crowd.
IRON_MAN_2.srt 	IRON_MAN_2_DVS65 	00:10:58,00 --> 00:11:04,50 	someone turns to happy.
IRON_MAN_2.srt 	IRON_MAN_2_DVS120 	00:23:18,00 --> 00:23:25,50 	the men turn and gaze at a young woman with long dark-brown hair, who walks into the gym carrying paperwork.
IRON_MAN_2.srt 	IRON_MAN_2_DVS128 	00:24:05,00 --> 00:24:10,50 	someone glances down, then turns to someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS137 	00:25:43,00 --> 00:25:48,50 	someone stares after her, then turns to pepper.
IRON_MAN_2.srt 	IRON_MAN_2_DVS138 	00:25:47,00 --> 00:25:55,50 	pepper smiles at someone, who turns away.
IRON_MAN_2.srt 	IRON_MAN_2_DVS157 	00:29:27,00 --> 00:29:32,50 	someone turns to face someone on tv.
IRON_MAN_2.srt 	IRON_MAN_2_DVS159 	00:30:06,00 --> 00:30:16,50 	someone again turns toward the tv.
IRON_MAN_2.srt 	IRON_MAN_2_DVS164 	00:30:53,00 --> 00:31:11,50 	she turns and glances out a window behind her as the cars speed past.
IRON_MAN_2.srt 	IRON_MAN_2_DVS168 	00:31:54,00 --> 00:32:03,50 	she turns to face the entrance where someone stands holding a red case containing someone's iron man suit.
IRON_MAN_2.srt 	IRON_MAN_2_DVS171 	00:32:12,00 --> 00:32:22,50 	the car crashes through the barricade, skids sideways, and turns right onto the racing course.
IRON_MAN_2.srt 	IRON_MAN_2_DVS180 	00:33:44,00 --> 00:34:06,50 	someone turns and knocks the metal from someone's hand with a whip.
IRON_MAN_2.srt 	IRON_MAN_2_DVS193 	00:35:35,00 --> 00:36:10,50 	iron man turns and raises his left hand toward someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS224 	00:42:31,00 --> 00:42:38,50 	someone picks up a white potato-like ball of putty from the tray and turns it over.
IRON_MAN_2.srt 	IRON_MAN_2_DVS234 	00:43:11,00 --> 00:43:22,50 	as someone walks down a hallway, he passes another guard who turns toward him.
IRON_MAN_2.srt 	IRON_MAN_2_DVS236 	00:43:27,00 --> 00:43:36,50 	someone turns, punches the guard, then snaps his neck.
IRON_MAN_2.srt 	IRON_MAN_2_DVS237 	00:43:36,00 --> 00:43:44,50 	someone turns and runs back up the stairs.
IRON_MAN_2.srt 	IRON_MAN_2_DVS244 	00:44:38,00 --> 00:44:42,50 	the guard turns to someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS253 	00:47:00,00 --> 00:47:04,50 	someone turns to someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS265 	00:48:53,00 --> 00:48:59,50 	someone turns away from someone and rolls in his chair toward his desk.
IRON_MAN_2.srt 	IRON_MAN_2_DVS268 	00:49:12,00 --> 00:49:18,50 	someone sits up straight, then turns to glance at someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS308 	00:56:27,00 --> 00:56:33,50 	everyone turns to face someone, who wears the suit with the mask flipped up.
IRON_MAN_2.srt 	IRON_MAN_2_DVS310 	00:56:40,00 --> 00:56:45,50 	someone turns to the deejay.
IRON_MAN_2.srt 	IRON_MAN_2_DVS313 	00:57:09,00 --> 00:57:19,50 	someone turns.
IRON_MAN_2.srt 	IRON_MAN_2_DVS323 	00:58:14,00 --> 00:58:21,50 	with his eyes glowing, someone turns to the window and stares at the party-goers, who stand motionless.
IRON_MAN_2.srt 	IRON_MAN_2_DVS327 	00:58:39,00 --> 00:58:46,50 	balanced on one knee, he turns and raises his palm weapon toward someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS333 	00:59:46,00 --> 00:59:53,50 	someone turns, fires his thrusters, and zooms through an opening in the roof.
IRON_MAN_2.srt 	IRON_MAN_2_DVS336 	01:00:15,00 --> 01:00:24,50 	a dark-haired man, major allen, turns to his left and gazes into the distant sky.
IRON_MAN_2.srt 	IRON_MAN_2_DVS364 	01:09:02,00 --> 01:09:09,50 	with his right eye, someone stares at someone, then turns and leaves.
IRON_MAN_2.srt 	IRON_MAN_2_DVS366 	01:09:44,00 --> 01:09:50,50 	someone turns and glances down at the crate.
IRON_MAN_2.srt 	IRON_MAN_2_DVS400 	01:15:05,00 --> 01:15:09,50 	someone turns.
IRON_MAN_2.srt 	IRON_MAN_2_DVS419 	01:19:26,00 --> 01:19:31,50 	someone turns to someone, who mouths the word, "no."
IRON_MAN_2.srt 	IRON_MAN_2_DVS420 	01:19:28,00 --> 01:19:33,50 	someone turns back to pepper and someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS429 	01:20:44,00 --> 01:20:50,50 	turning toward a large object covered with a sheet,
IRON_MAN_2.srt 	IRON_MAN_2_DVS442 	01:21:51,00 --> 01:22:01,50 	as the holograph slows to a stop, it turns sideways.
IRON_MAN_2.srt 	IRON_MAN_2_DVS473 	01:25:59,00 --> 01:26:07,50 	using a pipe wrench, someone turns a wheel which rotates the prism, directing the beam outside the tubing.
IRON_MAN_2.srt 	IRON_MAN_2_DVS549 	01:37:53,00 --> 01:37:57,50 	someone turns to the tech.
IRON_MAN_2.srt 	IRON_MAN_2_DVS593 	01:41:38,00 --> 01:41:50,50 	turning as she slides across the floor, she throws taser darts at the second guard, who collapses.
IRON_MAN_2.srt 	IRON_MAN_2_DVS622 	01:46:45,00 --> 01:46:52,50 	they turn as a navy drone lands on the ledge above them.
IRON_MAN_2.srt 	IRON_MAN_2_DVS689 	01:54:02,00 --> 01:54:08,50 	someone turns to pepper.
IRON_MAN_2.srt 	IRON_MAN_2_DVS700 	01:55:48,00 --> 01:55:53,50 	someone walks off, then turns around.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS136 	00:42:43,00 --> 00:42:56,50 	he turns off the running sink faucet, then glances at the mirror, and checks his watch.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS222 	01:05:11,00 --> 01:05:18,50 	biting her lip she turns away and answers her cell.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS240 	01:09:03,00 --> 01:09:21,50 	adjusting the black belt at her narrow waist she strides out and turns off the kitchen light.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS240 	01:09:03,00 --> 01:09:21,50 	picture windows show someone trudging past and turning off lights in the house.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS253 	01:11:45,00 --> 01:11:52,50 	someone stops carving the chicken and turns in someone's direction still holding her knife.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS324 	01:32:45,00 --> 01:32:52,50 	he turns away and covers his face with one hand.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS334 	01:35:03,00 --> 01:35:07,50 	she frowns and turns her back to him.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS364 	01:42:28,00 --> 01:42:41,50 	his car turns the corner.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS96 	00:20:35,00 --> 00:20:42,50 	he turns around to find someone snuggled up against him, watching him with a big creepy smile.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS104 	00:22:11,00 --> 00:22:17,50 	with a grin plastered on his face, someone turns back to his movie.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS283 	00:53:27,00 --> 00:53:32,50 	a guy peeks up her skirt, then turns to his friend.
