21_JUMP_STREET.srt 	21_JUMP_STREET_DVS267 	00:46:28,00 --> 00:46:33,50 	now, someone's parents leave the house.
SPARKLE_2012.srt 	SPARKLE_2012_DVS556 	01:31:09,00 --> 01:31:18,50 	leaving the magazine behind, she follows the receptionist through a door.
SPARKLE_2012.srt 	SPARKLE_2012_DVS581 	01:35:04,00 --> 01:35:13,50 	someone glares reproachfully at someone, who stares ahead with an uncaring expression as her daughter leaves the house.
SPARKLE_2012.srt 	SPARKLE_2012_DVS626 	01:41:04,00 --> 01:41:09,50 	the backup singers leave the room.
SPARKLE_2012.srt 	SPARKLE_2012_DVS631 	01:43:08,00 --> 01:43:12,50 	beaming, her mother leaves.
SUPER_8.srt 	SUPER_8_DVS45 	00:06:58,00 --> 00:07:04,50 	someone glances at his blonde wife as someone leaves.
SUPER_8.srt 	SUPER_8_DVS121 	00:18:51,00 --> 00:18:57,50 	standing, someone grips the locket necklace in his shaking left hand.
SUPER_8.srt 	SUPER_8_DVS505 	01:26:01,00 --> 01:26:10,50 	leaving someone in the car the boys jump out and run through a yard and down a path.
SUPER_8.srt 	SUPER_8_DVS564 	01:33:59,00 --> 01:34:05,50 	the creature leaves someone on the ground and investigates.
SUPER_8.srt 	SUPER_8_DVS659 	01:45:32,00 --> 01:45:37,50 	as someone leaves preston picks up the phone.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS73 	00:10:11,00 --> 00:10:16,50 	grabbing his coat, someone leaves with snowy.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS123 	00:19:25,00 --> 00:19:30,50 	someone hides a pistol behind his back as his neighbor leaves.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS139 	00:21:48,00 --> 00:21:52,50 	the inspectors leave without the newspaper.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS252 	00:38:10,00 --> 00:38:15,50 	someone and the first mate someone leave the radio room.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS516 	01:13:37,00 --> 01:13:42,50 	someone leaves through his wallet then extracts the scroll.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS32 	00:06:42,00 --> 00:06:48,50 	the blond mouths thank you as she leaves.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS221 	00:42:27,00 --> 00:42:34,50 	with a knowing smile, someone leaves someone staring at the image.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS221 	00:42:27,00 --> 00:42:34,50 	someone leaves.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS253 	00:48:31,00 --> 00:48:41,50 	slack jawed, she closes the door as she leaves.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS325 	01:03:23,00 --> 01:03:30,50 	later, someone leaves the school with a tall stack of assignments.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS377 	01:13:04,00 --> 01:13:18,50 	elsewhere, someone leaves his building with his now draped canvas tucked under one arm.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS40 	00:07:14,00 --> 00:07:20,50 	she leaves.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS105 	00:21:03,00 --> 00:21:14,50 	now, someone leaves someone's building.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS345 	01:04:08,00 --> 01:04:31,50 	as he leaves the range and runs onto a green, someone drives up in a golf cart.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS442 	01:22:25,00 --> 01:22:29,50 	she leaves.
THE_CALL.srt 	THE_CALL_DVS75 	00:05:34,00 --> 00:05:38,50 	she leaves with the policeman.
THE_CALL.srt 	THE_CALL_DVS122 	00:09:25,00 --> 00:09:33,50 	he rushes inside and leaves the bedroom as our view shifts to someone, who lies under the bed behind a large box.
THE_CALL.srt 	THE_CALL_DVS146 	00:11:50,00 --> 00:11:57,50 	the man leaves and shuts the door.
THE_CALL.srt 	THE_CALL_DVS149 	00:12:24,00 --> 00:12:29,50 	she steps past her boss and leaves the room.
THE_CALL.srt 	THE_CALL_DVS798 	01:00:46,00 --> 01:00:51,50 	an officer approaches someone as he leaves with someone.
THE_CALL.srt 	THE_CALL_DVS1015 	01:17:38,00 --> 01:17:43,50 	he slides his finger from his lips, leaving his wedding ring between his teeth.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS127 	00:21:08,00 --> 00:21:20,50 	his expression growing resigned, he leaves and shuts the door.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS134 	00:22:31,00 --> 00:22:40,50 	someone glares at him, glances at the plate, and leaves with an indignant sneer.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS153 	00:25:55,00 --> 00:25:59,50 	she leaves him.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS209 	00:34:15,00 --> 00:34:19,50 	someone leaves.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS308 	00:46:52,00 --> 00:46:57,50 	someone draws himself up and leaves the room.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS540 	01:18:42,00 --> 01:18:46,50 	he leaves with someone.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS574 	01:25:37,00 --> 01:25:43,50 	with an intense stare, he heads off, leaving someone confused.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS664 	01:33:35,00 --> 01:33:41,50 	leaving the photos, someone steps out onto the lawn.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS179 	00:22:03,00 --> 00:22:09,50 	a train leaves hedestad station where a clock reads 4:30.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS294 	00:33:16,00 --> 00:33:22,50 	the search party members leave the rundown house behind.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS499 	00:56:37,00 --> 00:56:43,50 	as she leaves we spot a swollen goose egg at the corner of her mouth.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS528 	00:59:45,00 --> 00:59:50,50 	someone leaves his drink.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS810 	01:33:01,00 --> 01:33:06,50 	she leaves with a case of equipment.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS920 	01:42:16,00 --> 01:42:22,50 	someone prints out some photos and leaves with them.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1013 	01:49:34,00 --> 01:49:40,50 	she wearily rolls her neck then leaves with the keys.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1018 	01:49:52,00 --> 01:50:00,50 	he marches back out leaving the photos of someone and lena on his laptop keyboard.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1049 	01:51:52,00 --> 01:51:58,50 	as she leaves the room, the guard makes a note on a clipboard.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1190 	02:06:50,00 --> 02:06:57,50 	leaving him behind, she runs out the door through the corridor and up the darkened steps.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1231 	02:09:26,00 --> 02:09:34,50 	a hearse drives off, leaving behind the charred suv, which still lies on its side.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1240 	02:10:48,00 --> 02:10:52,50 	she leaves him lying on the bed.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1314 	02:19:45,00 --> 02:19:52,50 	someone leaves someone who wheels himself toward her, his lips curled downward.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1417 	02:32:06,00 --> 02:32:15,50 	she sees someone and someone leaving the building and watches unnoticed as he drapes an arm over her shoulders.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS81 	00:28:37,00 --> 00:28:45,50 	someone leaves the conference room, downcast, and sees someone eagerly waiting for him at the front desk.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS83 	00:29:15,00 --> 00:29:20,50 	someone leaves another meeting,
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS185 	01:01:44,00 --> 01:01:48,50 	three minutes left,
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS244 	01:19:51,00 --> 01:19:56,50 	someone leaves with someone.
THE_SITTER.srt 	THE_SITTER_DVS23 	00:12:35,00 --> 00:12:39,50 	the parents leave.
THE_SITTER.srt 	THE_SITTER_DVS56 	00:33:51,00 --> 00:33:57,50 	then she strides of leaving someone with someone.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS70 	00:17:54,00 --> 00:18:00,50 	they row through the low-lying mist, leaving the other boats far behind.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS110 	00:35:29,00 --> 00:35:35,50 	leaving someone with a puzzled look.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS293 	01:48:22,00 --> 01:48:28,50 	sobering, someone knits his brow and leaves the room.
THE_VOW.srt 	THE_VOW_DVS51 	00:04:03,00 --> 00:04:10,50 	he sees his future wife with dark chin length hair leaving the counter ahead of him.
THE_VOW.srt 	THE_VOW_DVS71 	00:06:26,00 --> 00:06:32,50 	she frowns at a box left on a table by a window.
THE_VOW.srt 	THE_VOW_DVS187 	00:20:32,00 --> 00:20:38,50 	leaving the recovery area, someone breaks into a run.
THE_VOW.srt 	THE_VOW_DVS194 	00:23:05,00 --> 00:23:10,50 	someone leaves the table and he gestures helplessly.
THE_VOW.srt 	THE_VOW_DVS228 	00:29:47,00 --> 00:29:51,50 	someone gets up and leaves the room.
THE_VOW.srt 	THE_VOW_DVS270 	00:34:20,00 --> 00:34:26,50 	left alone, she bites into a strip of bacon.
THE_VOW.srt 	THE_VOW_DVS292 	00:38:06,00 --> 00:38:12,50 	at the apartment, someone spots his wifes cellphone left on the kitchen island.
THE_VOW.srt 	THE_VOW_DVS414 	00:57:32,00 --> 00:57:38,50 	she steps back, smiles at someone and leaves.
THE_VOW.srt 	THE_VOW_DVS421 	00:58:31,00 --> 00:58:37,50 	she moves stiffly past someones doctor and leaves the room.
THE_VOW.srt 	THE_VOW_DVS436 	01:01:58,00 --> 01:02:03,50 	as he leaves, someone smiles at someone.
THE_VOW.srt 	THE_VOW_DVS559 	01:16:40,00 --> 01:16:46,50 	moving past him, someone leaves the terrace.
THE_VOW.srt 	THE_VOW_DVS589 	01:21:20,00 --> 01:21:27,50 	from the other side of the glass, someone stares at him, then leaves the room.
THE_VOW.srt 	THE_VOW_DVS596 	01:23:18,00 --> 01:23:24,50 	with a knowing shake of his head, he leaves his sorrowful friend stunned.
THE_VOW.srt 	THE_VOW_DVS613 	01:24:26,00 --> 01:24:32,50 	he twists the pen shut, drops it and leaves the table.
THE_WATCH.srt 	THE_WATCH_DVS23 	00:04:16,00 --> 00:04:22,50 	the manager leaves and the security guard heads into the store.
THE_WATCH.srt 	THE_WATCH_DVS43 	00:05:42,00 --> 00:05:46,50 	antonio leaves the circuit breaker panel.
THE_WATCH.srt 	THE_WATCH_DVS66 	00:07:55,00 --> 00:07:59,50 	she leaves in a cab.
THE_WATCH.srt 	THE_WATCH_DVS81 	00:10:43,00 --> 00:10:47,50 	players and cheerleaders leave the field,
THE_WATCH.srt 	THE_WATCH_DVS118 	00:19:34,00 --> 00:19:38,50 	she leaves.
THE_WATCH.srt 	THE_WATCH_DVS253 	00:47:39,00 --> 00:47:46,50 	they leave the bench.
THE_WATCH.srt 	THE_WATCH_DVS348 	01:01:05,00 --> 01:01:10,50 	he tosses up his hands, leaving her in the candle-filled room.
THE_WATCH.srt 	THE_WATCH_DVS433 	01:19:30,00 --> 01:19:34,50 	they nod to her and leave.
THE_WATCH.srt 	THE_WATCH_DVS436 	01:19:42,00 --> 01:19:46,50 	as he leaves, she blinks.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS226 	00:56:31,00 --> 00:56:35,50 	frowning, his mom leaves.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS264 	01:10:28,00 --> 01:10:33,50 	someone starts toward him, and someone quickly leaves.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS287 	01:16:44,00 --> 01:16:51,50 	as someone leaves the couple, he shoves one of the hors d'oeuvres into his mouth.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS318 	01:21:48,00 --> 01:21:54,50 	someone hits his car's remote, then leaves someone's side.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS396 	01:34:18,00 --> 01:34:23,50 	he kisses the top of her head, then leaves.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS513 	01:53:44,00 --> 01:53:48,50 	his two assistants leave.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS544 	01:57:29,00 --> 01:57:35,50 	butler tosses the ball down the court as he leaves with the others.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS41 	00:05:25,00 --> 00:05:29,50 	they leave the testing room.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS79 	00:13:17,00 --> 00:13:26,50 	smirking, he slaps someone's face then leaves.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS208 	00:40:05,00 --> 00:40:13,50 	as she leaves the kitchen, he darts out.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS300 	00:54:52,00 --> 00:55:03,50 	he swings away, leaving the kids staring from the bunker windows.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS345 	01:01:50,00 --> 01:01:56,50 	left behind with a pie in his hand, someone lets out a sigh.
THOR.srt 	THOR_DVS59 	00:07:05,00 --> 00:07:12,50 	his right eye covered by a patch, the grizzled king studies the two boys with his piercing left eye.
THOR.srt 	THOR_DVS77 	00:09:58,00 --> 00:10:05,50 	hidden in shadows, a blue hand slides across a thick column, leaving a thin layer of frost.
THOR.srt 	THOR_DVS463 	01:16:28,00 --> 01:16:33,50 	someone glances at someone as the guard leaves.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS99 	00:11:11,00 --> 00:11:21,50 	leaving behind a fairy's pretty tights, tutu, and satiny bodice.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS227 	00:29:31,00 --> 00:29:35,50 	she leaves.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS281 	00:34:40,00 --> 00:34:45,50 	with a quick glance over his shoulder, he leaves the rolled up dollar someone in its place.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS324 	00:37:49,00 --> 00:37:57,50 	someone grins as he leaves someone and joins his teammates on the ice.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS429 	00:45:48,00 --> 00:45:54,50 	he rolls his eyes as he leaves someone by himself.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS437 	00:46:25,00 --> 00:46:30,50 	as she leaves, someone steps closer.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS576 	01:03:36,00 --> 01:03:45,50 	he presents her with a tooth box and leaves.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS692 	01:16:22,00 --> 01:16:29,50 	someone heaves a resolute sigh and bravely leaves the wall.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS722 	01:19:51,00 --> 01:20:02,50 	with a brilliant flash of light, someone's hockey uniform vanishes, leaving him clad in his satiny tunic and tights.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS761 	01:23:02,00 --> 01:23:07,50 	someone creeps downstairs and ducks around a corner, leaving someone undisturbed on the sofa, sound asleep.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS800 	01:25:17,00 --> 01:25:22,50 	leaving the room, someone spreads his wings.
TRUE_GRIT.srt 	TRUE_GRIT_DVS125 	00:32:47,00 --> 00:32:52,50 	she drops the money on a table and leaves.
TRUE_GRIT.srt 	TRUE_GRIT_DVS435 	01:26:52,00 --> 01:26:56,50 	the men ride off on horseback leaving someone alone with someone.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS268 	00:25:48,00 --> 00:25:53,50 	she leaves without someone.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS274 	00:26:36,00 --> 00:26:41,50 	someone glares at her as she leaves.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS280 	00:27:53,00 --> 00:27:57,50 	he leaves the set.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS393 	00:47:26,00 --> 00:47:31,50 	as the boy leaves, someone passes someone.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS118 	00:19:57,00 --> 00:20:01,50 	they leave the enclosure.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS131 	00:23:36,00 --> 00:23:42,50 	he storms off, leaving his father and sister at the dinner table.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS311 	00:50:12,00 --> 00:50:22,50 	elsewhere on the property, someone rakes leaves.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS461 	01:12:53,00 --> 01:12:57,50 	he starts to leave.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS512 	01:19:20,00 --> 01:19:26,50 	she marches off, leaving someone with his mouth agape.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS724 	01:43:57,00 --> 01:44:01,50 	someone shakes his head and leaves.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS752 	01:47:32,00 --> 01:47:38,50 	someone leaves a building and uses her walkie-talkie.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS105 	00:10:21,00 --> 00:10:26,50 	as someone leaves, someone counts the entries on her list.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS127 	00:14:24,00 --> 00:14:29,50 	grinning, someone leaves with the drinks.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS205 	00:25:31,00 --> 00:25:35,50 	now she leaves with someone.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS251 	00:33:51,00 --> 00:33:56,50 	she leaves and someone follows her out.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS363 	00:52:47,00 --> 00:52:52,50 	as a woman leaves a seat across from the first,
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS505 	01:12:50,00 --> 01:12:54,50 	she leaves the room.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS593 	01:20:32,00 --> 01:20:37,50 	someone leaves his apartment in a suit.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS639 	01:28:40,00 --> 01:28:46,50 	leaving someone, someone follows him across the dance floor.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS714 	01:36:08,00 --> 01:36:14,50 	someone rides up and leaves the pizza-delivery bike with a valet.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS142 	00:09:09,00 --> 00:09:14,50 	the doctor puts the coin in someone's hand, pats his shoulder, and leaves him alone.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS164 	00:11:52,00 --> 00:11:55,50 	they leave.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS171 	00:12:48,00 --> 00:12:52,50 	she leaves the bathroom.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS217 	00:16:06,00 --> 00:16:10,50 	he leaves.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS240 	00:18:13,00 --> 00:18:21,50 	in a tux, someone's childhood tormentor leaves the record player, now 20 years younger.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS332 	00:25:06,00 --> 00:25:13,50 	he gets to his feet, leaving the former nazi pinned helplessly.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS445 	00:39:13,00 --> 00:39:20,50 	he puts it on, leaving only his eyes, nose, mouth, and chin exposed.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS559 	00:52:29,00 --> 00:52:36,50 	one cuts the statue in half, leaving flames along the sever line.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS811 	01:13:18,00 --> 01:13:23,50 	this leaves us no choice.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1009 	01:31:17,00 --> 01:31:21,50 	she leaves the table.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1033 	01:33:33,00 --> 01:33:39,50 	now as the aral sea leaves a wide wake, a word appears:
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1130 	01:41:20,00 --> 01:41:27,50 	the entire craft leaves the sea and rises into the air alongside of the jet.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1315 	01:59:15,00 --> 01:59:21,50 	she limps forward, leaving beast and the others behind.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS58 	00:08:01,00 --> 00:08:06,50 	leaving her date asleep in her bed,
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS278 	00:54:40,00 --> 00:54:43,50 	someone leaves them.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS375 	01:11:34,00 --> 01:11:38,50 	someone leaves with the baby.
ZOMBIELAND.srt 	ZOMBIELAND_DVS319 	00:36:02,00 --> 00:36:08,50 	she strolls out, leaving the manager grinning.
ZOMBIELAND.srt 	ZOMBIELAND_DVS532 	01:02:33,00 --> 01:02:39,50 	someone leaves them in the awkward aftermath.
ZOMBIELAND.srt 	ZOMBIELAND_DVS534 	01:02:52,00 --> 01:02:57,50 	she leaves him in the candlelit room.
ZOMBIELAND.srt 	ZOMBIELAND_DVS579 	01:07:18,00 --> 01:07:23,50 	leaving several zombies on the ground.
ZOOKEEPER.srt 	ZOOKEEPER_DVS71 	00:14:33,00 --> 00:14:41,50 	she leaves.
ZOOKEEPER.srt 	ZOOKEEPER_DVS222 	00:49:33,00 --> 00:49:38,50 	frowning, the waitress leaves.
ZOOKEEPER.srt 	ZOOKEEPER_DVS301 	01:06:37,00 --> 01:06:44,50 	someone leaves him alone.
ZOOKEEPER.srt 	ZOOKEEPER_DVS303 	01:06:45,00 --> 01:06:53,50 	as he leaves, someone puts down the two slices of cake and self-consciously hides her thumb.
ZOOKEEPER.srt 	ZOOKEEPER_DVS347 	01:17:54,00 --> 01:18:14,50 	he shoots the gorilla a final glance then leaves.
ZOOKEEPER.srt 	ZOOKEEPER_DVS382 	01:25:06,00 --> 01:25:14,50 	as she leaves the dealership, the band follows.
