21_JUMP_STREET.srt 	21_JUMP_STREET_DVS73 	00:08:08,00 --> 00:08:13,50 	the biker knocks him over and runs off.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS112 	00:35:37,00 --> 00:35:42,50 	he high steps through the thick snow on the ground and runs onward.
THE_VOW.srt 	THE_VOW_DVS478 	01:08:13,00 --> 01:08:20,50 	someone runs into the water up to her ankles and bids a hasty retreat.
THE_VOW.srt 	THE_VOW_DVS480 	01:08:23,00 --> 01:08:29,50 	joining hands they run further out into the glistening lake.
THE_WATCH.srt 	THE_WATCH_DVS35 	00:05:01,00 --> 00:05:08,50 	in the movie, a young woman in a blue swimsuit runs her hand through her long hair.
THE_WATCH.srt 	THE_WATCH_DVS52 	00:06:42,00 --> 00:06:49,50 	he runs out of ammo and ditches his gun, then knocks over a display of plastic bottles.
THE_WATCH.srt 	THE_WATCH_DVS159 	00:30:07,00 --> 00:30:13,50 	someone pins him down as the rest of the guys run over.
THE_WATCH.srt 	THE_WATCH_DVS319 	00:56:09,00 --> 00:56:16,50 	now, someone runs alone down a neighborhood street.
THE_WATCH.srt 	THE_WATCH_DVS322 	00:56:25,00 --> 00:56:31,50 	now, he runs in place at an intersection, checking his pulse.
THE_WATCH.srt 	THE_WATCH_DVS359 	01:03:13,00 --> 01:03:17,50 	he runs toward his truck and yells.
THE_WATCH.srt 	THE_WATCH_DVS520 	01:31:29,00 --> 01:31:35,50 	as they run through the store, the alien reaches through the grate.
THE_WATCH.srt 	THE_WATCH_DVS543 	01:33:41,00 --> 01:33:48,50 	she runs out from behind the police car and embraces her husband.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS326 	01:22:24,00 --> 01:22:30,50 	he kisses her, then runs his tongue along her knee.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS22 	00:03:05,00 --> 00:03:29,50 	someone shoots three guards as he runs to the helipad.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS232 	00:43:00,00 --> 00:43:08,50 	as he runs through a doorway, a bald man tosses someone a shotgun then attacks someone.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS511 	01:28:05,00 --> 01:28:14,50 	he runs proudly to someone.
THOR.srt 	THOR_DVS82 	00:10:48,00 --> 00:10:56,50 	three frost giants run up the corridor to the translucent box, which contains a swirling orb of glowing blue mist.
THOR.srt 	THOR_DVS168 	00:23:14,00 --> 00:23:21,50 	someone retreats a few steps, then runs forward and slides through the giants legs.
THOR.srt 	THOR_DVS255 	00:34:43,00 --> 00:34:51,50 	outside, someone, someone and someone run into the hospital then hurry up a corridor past the wrecked emergency room.
THOR.srt 	THOR_DVS316 	00:45:40,00 --> 00:45:46,50 	someone runs back to her lab now overrun with men in black suits.
THOR.srt 	THOR_DVS364 	00:55:38,00 --> 00:55:46,50 	he runs into a tunneled plastic sheathing leading to the crater's center.
THOR.srt 	THOR_DVS372 	00:56:13,00 --> 00:56:19,50 	the man runs outside and climbs into a basket dangling at the end of a crane.
THOR.srt 	THOR_DVS502 	01:22:14,00 --> 01:22:19,50 	someone runs into the diner.
THOR.srt 	THOR_DVS504 	01:22:24,00 --> 01:22:30,50 	as a woman and a child run across the street an explosion rips through a nearby building.
THOR.srt 	THOR_DVS523 	01:23:54,00 --> 01:24:02,50 	broken glass pelts someone, someone and someone as they run.
THOR.srt 	THOR_DVS542 	01:26:23,00 --> 01:26:27,50 	someone runs to his side.
THOR.srt 	THOR_DVS558 	01:28:08,00 --> 01:28:13,50 	someone runs to someone.
THOR.srt 	THOR_DVS589 	01:30:52,00 --> 01:30:57,50 	a hairline crack runs through the ice.
THOR.srt 	THOR_DVS664 	01:39:32,00 --> 01:39:39,50 	behind someone, someone stands and runs at his brother with his spear in his hands.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS306 	00:36:43,00 --> 00:36:48,50 	the tabby shoots upward then runs off.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS517 	00:57:33,00 --> 00:57:43,50 	later outside, someone runs up to a tall concrete fence, hooks his hockey stick over the top, and vaults over it.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS582 	01:04:35,00 --> 01:04:41,50 	outside, someone runs away from the obstacle course.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS257 	00:24:27,00 --> 00:24:33,50 	the well-built neighbor runs out, clutching a towel around his waist.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS412 	00:50:14,00 --> 00:50:23,50 	a text message reads: someone anderson running late.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS535 	01:11:54,00 --> 01:12:01,50 	she shimmies sexily as he runs his hands down her body.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS335 	00:54:31,00 --> 00:54:36,50 	someone runs after the truck.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS488 	01:15:40,00 --> 01:15:47,50 	now someone runs to spar's enclosure, joining someone, someone, and someone.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS626 	01:32:55,00 --> 01:33:13,50 	in the field, someone and someone spread their arms 	like wings as they run circles around him.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS653 	01:35:27,00 --> 01:35:32,50 	someone comes running in.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS772 	01:50:25,00 --> 01:50:29,50 	someone runs down the road.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS450 	01:02:51,00 --> 01:03:02,50 	she bounces the ball between his legs and runs around him.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS575 	01:19:21,00 --> 01:19:30,50 	now a couple runs through tall grass overlooking a beach.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS606 	01:21:49,00 --> 01:21:57,50 	inside, frantic bridesmaids run amok, while someone's mother struggles to zip up the bridal gown.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS679 	01:34:01,00 --> 01:34:07,50 	in slow motion, she runs across the lawn in her high heels.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS707 	01:35:39,00 --> 01:35:46,50 	someone gets out and runs through the stopped vehicles, then works her way through the lively crowd.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS716 	01:36:17,00 --> 01:36:21,50 	she runs past the paparazzi.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS722 	01:36:50,00 --> 01:36:55,50 	she runs back up the red carpet.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS413 	00:35:07,00 --> 00:35:18,50 	on the ship, someone runs along the deck, then dives from the edge.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS604 	00:56:39,00 --> 00:56:43,50 	he runs off.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS828 	01:15:35,00 --> 01:15:40,50 	now someone runs laps with someone.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1171 	01:44:45,00 --> 01:44:53,50 	he runs on board.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1261 	01:53:53,00 --> 01:54:00,50 	she runs to the crashed x-jet.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1302 	01:57:19,00 --> 01:57:27,50 	someone runs over to someone.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS360 	01:09:03,00 --> 01:09:07,50 	a small boy runs into someone.
ZOMBIELAND.srt 	ZOMBIELAND_DVS49 	00:04:12,00 --> 00:04:20,50 	a father and son team runs away from their infected competitors during a three-legged race.
ZOMBIELAND.srt 	ZOMBIELAND_DVS366 	00:41:39,00 --> 00:41:45,50 	staying out of its line of sight, someone shoots a zombie as it runs out.
ZOMBIELAND.srt 	ZOMBIELAND_DVS368 	00:41:57,00 --> 00:42:06,50 	as someone calmly tugs a rope and enters a building, a piano plummets onto a zombie running after her.
ZOMBIELAND.srt 	ZOMBIELAND_DVS408 	00:46:45,00 --> 00:46:52,50 	as someone and someone hop out, a zombie dressed as someone runs at them.
ZOMBIELAND.srt 	ZOMBIELAND_DVS572 	01:06:46,00 --> 01:06:53,50 	now the girls run from a pack of zombies.
ZOMBIELAND.srt 	ZOMBIELAND_DVS627 	01:11:31,00 --> 01:11:37,50 	as he spins it around, he runs over two zombie bodies.
ZOMBIELAND.srt 	ZOMBIELAND_DVS646 	01:13:04,00 --> 01:13:09,50 	someone stops running.
ZOMBIELAND.srt 	ZOMBIELAND_DVS650 	01:13:19,00 --> 01:13:23,50 	he runs.
ZOOKEEPER.srt 	ZOOKEEPER_DVS132 	00:28:00,00 --> 00:28:06,50 	he runs halfway up a staircase.
ZOOKEEPER.srt 	ZOOKEEPER_DVS386 	01:26:38,00 --> 01:26:42,50 	someone runs off.
