21_JUMP_STREET.srt 	21_JUMP_STREET_DVS21 	00:02:57,00 --> 00:03:02,50 	sitting on a nearby bench, the nerd looks over.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS485 	01:10:36,00 --> 01:10:45,50 	the guards leave the boy kneeling before the guests who sit in six uniform sections, all wearing black robes.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS531 	01:15:39,00 --> 01:15:43,50 	someone sits up.
GREEN_ZONE.srt 	GREEN_ZONE_DVS59 	00:13:21,00 --> 00:13:25,50 	as the personnel sit, someone scans the file.
GREEN_ZONE.srt 	GREEN_ZONE_DVS72 	00:17:16,00 --> 00:17:19,50 	there's a parked car sitting blocking the road.
GREEN_ZONE.srt 	GREEN_ZONE_DVS115 	00:27:49,00 --> 00:28:09,50 	sitting beside the general, someone lowers his gaze.
GREEN_ZONE.srt 	GREEN_ZONE_DVS197 	00:51:51,00 --> 00:51:56,50 	someone sits in a cubicle.
GREEN_ZONE.srt 	GREEN_ZONE_DVS332 	01:14:59,00 --> 01:15:12,50 	creeping along a wall, someone peeks out at compound across the street where several busses sit parked.
GREEN_ZONE.srt 	GREEN_ZONE_DVS359 	01:22:55,00 --> 01:23:02,50 	back in the sitting room, someone leans close to someone.
GREEN_ZONE.srt 	GREEN_ZONE_DVS402 	01:30:37,00 --> 01:30:42,50 	now, someone and his attachment reach the sitting room.
GROWN_UPS.srt 	GROWN_UPS_DVS38 	00:08:44,00 --> 00:08:56,50 	inside, the lanky someone sits behind the wheel.
GROWN_UPS.srt 	GROWN_UPS_DVS50 	00:15:36,00 --> 00:15:43,50 	nearby, mama ronzoni sits on her grandson's handheld video game.
GROWN_UPS.srt 	GROWN_UPS_DVS114 	00:37:09,00 --> 00:37:17,50 	now sitting outside on the porch, someone places a strip of bacon on the bug zapper.
GROWN_UPS.srt 	GROWN_UPS_DVS145 	00:44:32,00 --> 00:44:42,50 	later, someone, someone, someone, and someone sit in chairs watching as someone leans over her car to fix it.
GROWN_UPS.srt 	GROWN_UPS_DVS176 	00:50:20,00 --> 00:50:25,50 	now in a bedroom, someone sits studying in a
GROWN_UPS.srt 	GROWN_UPS_DVS183 	00:51:28,00 --> 00:51:33,50 	she sits down on a bench at the foot of the bed.
GROWN_UPS.srt 	GROWN_UPS_DVS184 	00:51:33,00 --> 00:51:40,50 	later, she sits up in bed while someone packs.
GROWN_UPS.srt 	GROWN_UPS_DVS191 	00:53:18,00 --> 00:53:32,50 	the string leads to a chair where mama ronzoni sits knitting.
GROWN_UPS.srt 	GROWN_UPS_DVS199 	00:54:55,00 --> 00:55:03,50 	now someone stands by the suv composing a text message as someone sits buried inside
HUGO.srt 	HUGO_DVS130 	00:17:24,00 --> 00:17:33,50 	he turns and yanks a sheet off a doll-sized mechanical man - or automaton - sitting at a small table.
HUGO.srt 	HUGO_DVS134 	00:17:40,00 --> 00:17:46,50 	someone sits across from the automaton and stares at its solid black eyes.
HUGO.srt 	HUGO_DVS245 	00:35:07,00 --> 00:35:12,50 	the automaton sits motionless.
HUGO.srt 	HUGO_DVS273 	00:40:11,00 --> 00:40:18,50 	inside the darkened theatre, someone and someone sit together.
HUGO.srt 	HUGO_DVS364 	00:55:52,00 --> 00:55:57,50 	someone steps down a hallway then turns into a sitting room.
HUGO.srt 	HUGO_DVS365 	00:55:59,00 --> 00:56:04,50 	someone kisses someone, who sits and sews.
HUGO.srt 	HUGO_DVS374 	00:56:57,00 --> 00:57:02,50 	still staring at the drawing, someone slowly sits.
HUGO.srt 	HUGO_DVS401 	01:00:16,00 --> 01:00:23,50 	smiling, she hands the panel to someone then turns toward a wooden box sitting in the exposed space.
HUGO.srt 	HUGO_DVS425 	01:02:22,00 --> 01:02:28,50 	someone sits on a bed.
HUGO.srt 	HUGO_DVS425 	01:02:22,00 --> 01:02:28,50 	someone grasps his arm then sits next to him.
HUGO.srt 	HUGO_DVS481 	01:10:27,00 --> 01:10:42,50 	buster keaton sits on the coupling rod of a locomotive's wheels.
HUGO.srt 	HUGO_DVS507 	01:14:41,00 --> 01:14:47,50 	they stop before three women sitting on a seashell throne.
HUGO.srt 	HUGO_DVS517 	01:15:45,00 --> 01:15:57,50 	knights wearing helmets hold their arms out to a man with a long white beard holding a trident, who sits above the seashell throne.
HUGO.srt 	HUGO_DVS527 	01:18:06,00 --> 01:18:14,50 	later she sits against a wall as someone rotates a large crank.
HUGO.srt 	HUGO_DVS552 	01:22:02,00 --> 01:22:09,50 	wearing a nightgown, someone gazes at the automaton, which sits across the room from him.
HUGO.srt 	HUGO_DVS580 	01:24:25,00 --> 01:24:29,50 	someone awakes and sits up in bed.
HUGO.srt 	HUGO_DVS592 	01:25:34,00 --> 01:25:42,50 	again, someone awakes and sits up in bed.
HUGO.srt 	HUGO_DVS594 	01:25:45,00 --> 01:25:52,50 	sitting on his bed, staring back at the automaton, someone holds a small oil lamp.
HUGO.srt 	HUGO_DVS619 	01:30:24,00 --> 01:30:30,50 	she leads them into the sitting room where someone sets up a projector.
HUGO.srt 	HUGO_DVS620 	01:30:36,00 --> 01:30:42,50 	the others sit as someone threads a film through the projector.
HUGO.srt 	HUGO_DVS634 	01:31:58,00 --> 01:32:02,50 	a woman sits on a crescent moon.
HUGO.srt 	HUGO_DVS635 	01:32:03,00 --> 01:32:09,50 	a young someone sits on the crescent moon as snow falls on the sleepers.
HUGO.srt 	HUGO_DVS646 	01:32:52,00 --> 01:32:58,50 	someone sits with her mouth open then shakes her head and smiles.
HUGO.srt 	HUGO_DVS699 	01:42:50,00 --> 01:43:00,50 	nearby, the news vendor carries a wicker basket toward the cafe where the owner sits outside with her small dog in her lap.
HUGO.srt 	HUGO_DVS750 	01:49:46,00 --> 01:49:53,50 	someone sits on the bottom of the clock with his feet resting on a small ledge covered in snow.
HUGO.srt 	HUGO_DVS786 	01:53:55,00 --> 01:54:03,50 	the inspector sits nearby with someone and the bookseller, labisse.
HUGO.srt 	HUGO_DVS787 	01:54:33,00 --> 01:54:39,50 	sitting with someone and someone, someone smiles as he applauds.
IN_TIME.srt 	IN_TIME_DVS56 	00:06:15,00 --> 00:06:24,50 	someone sits at the far end.
IN_TIME.srt 	IN_TIME_DVS144 	00:15:54,00 --> 00:16:01,50 	the working class man looks around, finds himself alone, and sits up.
IN_TIME.srt 	IN_TIME_DVS148 	00:16:07,00 --> 00:16:17,50 	peering out a broken pane next to it, someone spots someone sitting on the railing of a high stone bridge, his feet dangling over the side.
IN_TIME.srt 	IN_TIME_DVS270 	00:27:47,00 --> 00:27:52,50 	awaking, he sits up and looks around.
IN_TIME.srt 	IN_TIME_DVS308 	00:31:47,00 --> 00:31:52,50 	sitting beside someone, she stares at someone.
IN_TIME.srt 	IN_TIME_DVS461 	00:49:37,00 --> 00:49:43,50 	beside her, someone sits up clutching his head painfully.
IN_TIME.srt 	IN_TIME_DVS534 	00:57:40,00 --> 00:57:45,50 	someone sits on the edge of the couch.
IN_TIME.srt 	IN_TIME_DVS589 	01:02:57,00 --> 01:03:06,50 	with his gun in one hand, someone sits on a street corner's curb, scanning the area as someone dials at a pay phone.
IN_TIME.srt 	IN_TIME_DVS613 	01:05:38,00 --> 01:05:45,50 	now, someone and someone wait in their stolen vehicle which sits parked on a side street.
IN_TIME.srt 	IN_TIME_DVS795 	01:23:47,00 --> 01:23:53,50 	someone sits by someone and forcefully holds her close.
IN_TIME.srt 	IN_TIME_DVS798 	01:24:23,00 --> 01:24:28,50 	the minutemen force the couple to sit at a table.
IN_TIME.srt 	IN_TIME_DVS801 	01:25:03,00 --> 01:25:08,50 	rolling up his shirt sleeve, he sits facing someone.
IN_TIME.srt 	IN_TIME_DVS971 	01:42:12,00 --> 01:42:23,50 	someone and someone sit in front.
INSIDE_MAN.srt 	INSIDE_MAN_DVS92 	00:23:58,00 --> 00:24:05,50 	now, the black security guard sits with his back to a concrete wall.
INSIDE_MAN.srt 	INSIDE_MAN_DVS97 	00:25:14,00 --> 00:25:31,50 	amid the contents on the back wall, four dell computer boxes sit stacked on the lowest shelf.
INSIDE_MAN.srt 	INSIDE_MAN_DVS116 	00:33:45,00 --> 00:33:50,50 	someone sits motionless, one hand on top of the desk.
INSIDE_MAN.srt 	INSIDE_MAN_DVS144 	00:43:15,00 --> 00:43:23,50 	in the bank, the hostages sit in an office.
INSIDE_MAN.srt 	INSIDE_MAN_DVS185 	00:52:55,00 --> 00:53:12,50 	sets it on the floor like a stool and sits across from the boy.
INSIDE_MAN.srt 	INSIDE_MAN_DVS210 	00:59:05,00 --> 00:59:12,50 	someone and the judge sit pleasantly before him.
INSIDE_MAN.srt 	INSIDE_MAN_DVS220 	01:02:18,00 --> 01:02:32,50 	someone sits patiently at a counter, looking out toward the bank.
INSIDE_MAN.srt 	INSIDE_MAN_DVS252 	01:17:44,00 --> 01:17:50,50 	someone sits up in his chair and reaches for a phone.
INSIDE_MAN.srt 	INSIDE_MAN_DVS261 	01:20:15,00 --> 01:20:41,50 	more hostages sit in the next office.
INSIDE_MAN.srt 	INSIDE_MAN_DVS262 	01:20:43,00 --> 01:21:07,50 	the unmasked boy sits beside his disguised father.
INSIDE_MAN.srt 	INSIDE_MAN_DVS338 	01:37:55,00 --> 01:38:02,50 	three trash bags sit in the middle of the floor.
INSIDE_MAN.srt 	INSIDE_MAN_DVS355 	01:41:39,00 --> 01:41:49,50 	guys sit among other hostages.
INSIDE_MAN.srt 	INSIDE_MAN_DVS370 	01:47:14,00 --> 01:47:24,50 	mr. case sits in a chair as a barber sweeps hair off his shoulders.
INSIDE_MAN.srt 	INSIDE_MAN_DVS384 	01:51:46,00 --> 01:51:55,50 	now, office supplies sit neatly shelved along the new back wall.
INSIDE_MAN.srt 	INSIDE_MAN_DVS391 	01:52:25,00 --> 01:52:37,50 	across the street and around the corner, a black suv sits parked at the curb.
INSIDE_MAN.srt 	INSIDE_MAN_DVS394 	01:52:50,00 --> 01:53:07,50 	someone sits at the wheel.
INSIDE_MAN.srt 	INSIDE_MAN_DVS427 	02:01:24,00 --> 02:01:31,50 	wearing sexy lingerie, someone's girlfriend sits up and kisses him passionately.
IRON_MAN_2.srt 	IRON_MAN_2_DVS72 	00:12:28,00 --> 00:12:35,50 	sitting nearby, brown-haired someone raises a water glass toward someone and takes a sip.
IRON_MAN_2.srt 	IRON_MAN_2_DVS76 	00:13:56,00 --> 00:14:00,50 	someone sits between someone and someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS112 	00:22:13,00 --> 00:22:19,50 	someone sits beside pepper.
IRON_MAN_2.srt 	IRON_MAN_2_DVS129 	00:24:11,00 --> 00:24:17,50 	someone steps out of the ring and sits beside pepper.
IRON_MAN_2.srt 	IRON_MAN_2_DVS158 	00:29:31,00 --> 00:29:40,50 	sitting alone at a table, pepper watches the tv as another uniformed man throws down his helmet and stomps off as someone approaches a blue and white racecar.
IRON_MAN_2.srt 	IRON_MAN_2_DVS159 	00:30:06,00 --> 00:30:16,50 	someone, wearing a helmet, sits in the racecar driver's seat and points toward the camera.
IRON_MAN_2.srt 	IRON_MAN_2_DVS207 	00:37:49,00 --> 00:37:57,50 	the officer closes the door behind someone who walks into the room where a handcuffed someone, wearing only underwear, sits on a bench.
IRON_MAN_2.srt 	IRON_MAN_2_DVS208 	00:38:29,00 --> 00:38:34,50 	someone sits on the opposite end of the bench.
IRON_MAN_2.srt 	IRON_MAN_2_DVS217 	00:42:04,00 --> 00:42:12,50 	elsewhere in his cell, someone sits leaning against a sink.
IRON_MAN_2.srt 	IRON_MAN_2_DVS221 	00:42:25,00 --> 00:42:32,50 	sitting on the bed, someone reads the note, which is written in a foreign language.
IRON_MAN_2.srt 	IRON_MAN_2_DVS241 	00:44:02,00 --> 00:44:09,50 	handcuffed, he walks toward someone, who sits eating at a table beside a large white jet.
IRON_MAN_2.srt 	IRON_MAN_2_DVS268 	00:49:12,00 --> 00:49:18,50 	someone sits up straight, then turns to glance at someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS281 	00:52:24,00 --> 00:52:32,50 	someone sits on the arm of someone's chair.
IRON_MAN_2.srt 	IRON_MAN_2_DVS344 	01:01:27,00 --> 01:01:36,50 	as he sits inside a giant donut perched atop a building's roof.
IRON_MAN_2.srt 	IRON_MAN_2_DVS348 	01:02:26,00 --> 01:02:31,50 	someone sits beside someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS351 	01:03:25,00 --> 01:03:29,50 	someone sits beside someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS361 	01:06:53,00 --> 01:07:01,50 	elsewhere, someone and someone sit on a patio overlooking the ocean.
IRON_MAN_2.srt 	IRON_MAN_2_DVS389 	01:13:13,00 --> 01:13:19,50 	in the film, someone stark sits on the front of a large desk.
IRON_MAN_2.srt 	IRON_MAN_2_DVS450 	01:22:55,00 --> 01:23:01,50 	the sphere expands so that someone is sitting inside it.
IRON_MAN_2.srt 	IRON_MAN_2_DVS559 	01:38:59,00 --> 01:39:09,50 	someone sits in the driver's seat while someone climbs behind him in the back seat.
IRON_MAN_2.srt 	IRON_MAN_2_DVS687 	01:53:34,00 --> 01:53:38,50 	someone sits nearby.
IRON_MAN_2.srt 	IRON_MAN_2_DVS691 	01:54:14,00 --> 01:54:20,50 	headquarters, a remote warehouse, someone sits at a desk.
IRON_MAN_2.srt 	IRON_MAN_2_DVS695 	01:54:33,00 --> 01:54:37,50 	someone sits facing someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS698 	01:55:40,00 --> 01:55:45,50 	someone stands, then sits on the desk by someone.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS42 	00:10:45,00 --> 00:10:49,50 	the doctor sits across from her.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS61 	00:17:43,00 --> 00:17:49,50 	hotel room, she lies on a bed then resolutely sits up.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS121 	00:36:34,00 --> 00:36:39,50 	she sits on the edge of the bed.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS140 	00:44:07,00 --> 00:44:12,50 	they sit side-by-side at the kitchen island.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS150 	00:49:44,00 --> 00:49:54,50 	later, someone reclines in a bubble bath while someone sits on the floor leaning on the tub eating ice cream.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS180 	00:57:38,00 --> 00:57:57,50 	now at the fertility center, a middle-aged man sits on a waiting room couch texting while a younger woman at his side reads a magazine.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS237 	01:08:36,00 --> 01:08:45,50 	sitting on the edge of the boy's bed he leans over his
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS239 	01:08:51,00 --> 01:09:05,50 	she sits on her kitchen wearing the silky crimson dress.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS338 	01:35:37,00 --> 01:35:42,50 	he sits between someone and someone with the third bowl and they smile at the tv.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS362 	01:41:43,00 --> 01:41:56,50 	as her brother sits in the front passenger seat someone climbs behind the wheel.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS374 	01:44:02,00 --> 01:44:23,50 	someone taps her brother and they sit up.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS392 	01:49:55,00 --> 01:50:03,50 	someone treads closer, someone scoots over inviting her to sit beside him.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS36 	00:03:27,00 --> 00:03:35,50 	now at a commercial shoot, a dark-haired man sits in the producer's chair, followed by a bespectacled assistant.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS62 	00:10:35,00 --> 00:10:40,50 	the girl sits beside a matching doll.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS107 	00:22:22,00 --> 00:22:28,50 	sitting between them, someone notices their identical mannerisms.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS151 	00:30:38,00 --> 00:30:44,50 	someone gets out of the shower and finds his sister sitting on the toilet.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS171 	00:34:19,00 --> 00:34:25,50 	awhile later, someone sits alone in front of two uneaten salads on the table.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS190 	00:37:18,00 --> 00:37:23,50 	someone sits down beside someone.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS269 	00:52:32,00 --> 00:52:38,50 	someone's grandma sits forward and glares, baring her one tooth.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS428 	01:18:40,00 --> 01:18:46,50 	someone emerges from the crowd and sits alone at a table by a pillar.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS40 	00:04:48,00 --> 00:04:53,50 	they sit side by side on the kitchen floor.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS61 	00:06:38,00 --> 00:06:45,50 	now, she sits in a cluttered cubicle surrounded by other workers wearing headsets.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS125 	00:21:37,00 --> 00:21:50,50 	now in a millinery workshop, someone sits before an unadorned hat on a stand.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS149 	00:25:48,00 --> 00:25:53,50 	five pounds of it sit in her fridge.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS193 	00:36:42,00 --> 00:36:46,50 	someone sits at the head of the table.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS211 	00:40:16,00 --> 00:40:21,50 	she sits down.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS245 	00:45:26,00 --> 00:45:31,50 	they playfully slap hands, then sit back down.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS252 	00:46:39,00 --> 00:46:45,50 	inside, someone sits at a vanity, smoking a cigarette.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS273 	00:52:58,00 --> 00:53:03,50 	she sits on the floor, someone notices.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS276 	00:53:44,00 --> 00:53:48,50 	someone sits up.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS316 	01:01:41,00 --> 01:02:00,50 	they wave at someone, who sits with someone and her parents.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS372 	01:10:18,00 --> 01:10:26,50 	back in paris, someone sits at a typewriter and lays carbon paper between two clean white pages.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS386 	01:14:01,00 --> 01:14:06,50 	now a maid leads them into a sitting room.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS391 	01:15:52,00 --> 01:16:04,50 	she sits at the small entryway table, where someone turns on a lamp, and sets down his hat.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS406 	01:18:37,00 --> 01:18:41,50 	she sits on the couch.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS439 	01:27:08,00 --> 01:27:12,50 	someone sits on the edge of the bed.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS451 	01:28:19,00 --> 01:28:24,50 	later she sits at her laptop.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS460 	01:29:26,00 --> 01:29:30,50 	someone nods and sits down.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS465 	01:30:06,00 --> 01:30:12,50 	later she sits at a bar with someone, holding a half-drunk martini.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS473 	01:31:54,00 --> 01:32:02,50 	she sits on the bed with the handset to her ear.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS481 	01:32:36,00 --> 01:32:45,50 	now, someone sits at his work computer, eyes trained on someone's blog.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS484 	01:33:36,00 --> 01:33:41,50 	with a resolute look, she sits up.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS486 	01:33:41,00 --> 01:33:49,50 	she sits up, swings her legs off the bed, and marches into the kitchen.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS496 	01:35:11,00 --> 01:35:17,50 	they set down their luggage and sit on a bench.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS501 	01:36:32,00 --> 01:36:40,50 	now in a conference room, the three of them sit with three male executives and a female editor.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS518 	01:42:26,00 --> 01:42:31,50 	someone sits next to the reader on the subway.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS532 	01:45:55,00 --> 01:46:01,50 	someone hangs up and looks at someone sitting up attentively.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS534 	01:46:02,00 --> 01:46:07,50 	back in the 50s, someone sits on a couch with her feet up.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS573 	01:52:41,00 --> 01:52:46,50 	they sit face to face.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS576 	01:53:07,00 --> 01:53:11,50 	she sits back up.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS148 	00:57:06,00 --> 00:57:15,50 	sitting behind someone, someone gawks at the exposed crack of her rear.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS211 	01:13:53,00 --> 01:14:02,50 	reclining on a sofa, someone struggles to sit up.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS309 	01:38:56,00 --> 01:39:05,50 	the bed-headed boy drops his shorts, then sits on the bowl hunched forward with his arms dangling between his knees.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS326 	01:43:58,00 --> 01:44:03,50 	someone sits beside someone.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS333 	01:46:12,00 --> 01:46:17,50 	someone sits next to them.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS343 	01:48:49,00 --> 01:48:53,50 	someone sits alone.
KARATE_KID.srt 	KARATE_KID_DVS150 	00:13:03,00 --> 00:13:08,50 	someone notices a pre-teen chinese girl sitting on a bench, practicing finger positions on a violin.
KARATE_KID.srt 	KARATE_KID_DVS179 	00:15:12,00 --> 00:15:17,50 	sitting on a basketball, someone sneaks a look at the girl.
KARATE_KID.srt 	KARATE_KID_DVS338 	00:30:48,00 --> 00:30:53,50 	the instructor sits at the piano and nods.
KARATE_KID.srt 	KARATE_KID_DVS532 	00:48:05,00 --> 00:48:10,50 	sitting on the couch, someone leans forward.
KARATE_KID.srt 	KARATE_KID_DVS552 	00:49:58,00 --> 00:50:12,50 	their instructor sits on a bench and watches.
KARATE_KID.srt 	KARATE_KID_DVS591 	00:52:08,00 --> 00:52:14,50 	in unison, his students sit at the platform's perimeter.
KARATE_KID.srt 	KARATE_KID_DVS704 	00:59:19,00 --> 00:59:25,50 	later, someone sits on his patio, fanning himself.
KARATE_KID.srt 	KARATE_KID_DVS798 	01:07:20,00 --> 01:07:29,50 	now in the terrace courtyard, they sit on a bench.
KARATE_KID.srt 	KARATE_KID_DVS939 	01:16:59,00 --> 01:17:08,50 	now, monks in snowy robes and canary-yellow scarves sit in lotus position, along the rim of a stone dam.
KARATE_KID.srt 	KARATE_KID_DVS962 	01:18:45,00 --> 01:18:51,50 	venturing onward, the boy spies a third monk sitting in the lotus pose.
KARATE_KID.srt 	KARATE_KID_DVS1040 	01:24:16,00 --> 01:24:26,50 	sitting at a sunlit desk, someone hunches over a sketchbook and shades in the woman's hair.
KARATE_KID.srt 	KARATE_KID_DVS1164 	01:36:05,00 --> 01:36:13,50 	the boy stares, slack-jawed, then notices a half-empty bottle of liquor sitting nearby.
KARATE_KID.srt 	KARATE_KID_DVS1194 	01:37:46,00 --> 01:37:50,50 	the teacher and student sit motionless, side by side.
KARATE_KID.srt 	KARATE_KID_DVS1482 	02:00:48,00 --> 02:00:53,50 	master someone sits with a grim smirk.
KARATE_KID.srt 	KARATE_KID_DVS1561 	02:06:20,00 --> 02:06:32,50 	the boy bravely sits up.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS111 	00:26:56,00 --> 00:27:07,50 	later someone steps into a car and kisses someone, who sits in the driver seat.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS156 	00:44:55,00 --> 00:45:02,50 	wearing a wig cap over her hair, someone runs backstage then sits and talks with bradford.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS232 	00:57:33,00 --> 00:57:38,50 	someone sits atop a dancer's shoulders.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS283 	01:05:14,00 --> 01:05:18,50 	someone sits up.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS286 	01:06:12,00 --> 01:06:19,50 	performing on stage, someone wears a long striped dress as she sits on a dangling swing.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS344 	01:20:48,00 --> 01:20:53,50 	sitting in the shop, someone dabs away a tear.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS355 	01:24:26,00 --> 01:24:32,50 	sitting nearby, someone's grandmother smiles wide.
KNOCKED_UP.srt 	KNOCKED_UP_DVS29 	00:21:45,00 --> 00:21:49,50 	someone sits back down.
KNOCKED_UP.srt 	KNOCKED_UP_DVS35 	00:23:33,00 --> 00:23:38,50 	someone slowly sits back up.
KNOCKED_UP.srt 	KNOCKED_UP_DVS39 	00:26:11,00 --> 00:26:15,50 	they sit by the pool.
KNOCKED_UP.srt 	KNOCKED_UP_DVS67 	00:40:23,00 --> 00:40:31,50 	as someone leaves the room someone sits.
KNOCKED_UP.srt 	KNOCKED_UP_DVS76 	00:44:28,00 --> 00:44:34,50 	someone sits on the bed and pulls someone down beside her.
KNOCKED_UP.srt 	KNOCKED_UP_DVS106 	01:08:03,00 --> 01:08:07,50 	later someone sits in the living room.
KNOCKED_UP.srt 	KNOCKED_UP_DVS143 	01:29:50,00 --> 01:29:54,50 	someone and someone sit on the curb.
KNOCKED_UP.srt 	KNOCKED_UP_DVS145 	01:31:08,00 --> 01:31:13,50 	someone sits on a bed.
KNOCKED_UP.srt 	KNOCKED_UP_DVS171 	01:48:24,00 --> 01:48:30,50 	now he returns to the bathroom and sits on the edge of the tub.
KNOCKED_UP.srt 	KNOCKED_UP_DVS182 	01:55:15,00 --> 01:55:21,50 	someone leaves someone sits beside someone.
KNOCKED_UP.srt 	KNOCKED_UP_DVS183 	01:56:05,00 --> 01:56:10,50 	now someone and someone sit in.. wheelchair.
KNOCKED_UP.srt 	KNOCKED_UP_DVS192 	02:00:10,00 --> 02:00:15,50 	shakes his head and sits down.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS32 	00:11:28,00 --> 00:11:34,50 	at the cave entrance, someone and someone sit on a raft with the store clerk.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS43 	00:15:17,00 --> 00:15:32,50 	an orange life jacket from the raft still sits on his shoulders.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS83 	00:27:36,00 --> 00:27:43,50 	someone takes a piece of someone's pants over to a blanket, where he sits and flails around.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS128 	00:44:23,00 --> 00:44:28,50 	someone sits on a rock, pointing.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS148 	00:53:44,00 --> 00:53:53,50 	someone crosses to someone, who sits forlornly on his own.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS23 	00:06:57,00 --> 00:07:21,50 	a doorway on the opposite end of the cluttered room frames someone as he sits on the edge of his bed.
