21_JUMP_STREET.srt 	21_JUMP_STREET_DVS25 	00:03:10,00 --> 00:03:15,50 	the nerd wipes his own tears and stands.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS426 	00:49:14,00 --> 00:49:28,50 	the hyena briefly leans over the edge the resumes its wild laps as someone stands ready with the oar.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS533 	00:58:06,00 --> 00:58:13,50 	someone stands from the center of his raft and throws the can with all his might.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS567 	01:03:00,00 --> 01:03:06,50 	standing on the raft, someone rocks the boat by its prow.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS645 	01:09:10,00 --> 01:09:16,50 	standing on his hand-crafted flotation vessel,
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS706 	01:13:45,00 --> 01:13:53,50 	he pushes himself along the hull, standing on a new triangular version of the raft.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS714 	01:14:28,00 --> 01:14:32,50 	the teen stands at the bow.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS731 	01:16:04,00 --> 01:16:14,50 	grabbing the handle of the boat hook, someone stands tall atop the canvas.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS740 	01:17:12,00 --> 01:17:18,50 	now, standing on the canvas, he challenges someone someone.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS787 	01:20:29,00 --> 01:20:34,50 	later, he stands on the raft.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS795 	01:21:37,00 --> 01:21:45,50 	someone quickly stands and moves around the raft gazing at a massive school of dolphins.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS907 	01:31:06,00 --> 01:31:13,50 	sunlight shines on someone who stands atop the canvas covering the lifeboat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS921 	01:32:05,00 --> 01:32:11,50 	standing back, he reaches out and tilts the container over someone's head.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS973 	01:36:08,00 --> 01:36:16,50 	thousands of meerkats stand up straight with their tawny fur covered chests pumped out.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1073 	01:48:16,00 --> 01:48:21,50 	he stands and approaches a cabinet.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS149 	00:53:24,00 --> 00:53:29,50 	someone stands by.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS191 	01:09:40,00 --> 01:09:50,50 	now in the new house, someone stands alone in the middle of an unfinished room.
MORNING_GLORY.srt 	MORNING_GLORY_DVS39 	00:05:09,00 --> 00:05:17,50 	the studio, now empty, someone stands in it with a pile of papers in one hand and two mugs in the other.
MORNING_GLORY.srt 	MORNING_GLORY_DVS117 	00:26:34,00 --> 00:26:41,50 	a man stands on the crest of the hill she's climbing with a shotgun in his hands.
MORNING_GLORY.srt 	MORNING_GLORY_DVS130 	00:30:53,00 --> 00:31:01,50 	someone stands at the other side of it, his hand in his pockets, gazing down at the floor.
MORNING_GLORY.srt 	MORNING_GLORY_DVS153 	00:35:00,00 --> 00:35:04,50 	they stand close.
MORNING_GLORY.srt 	MORNING_GLORY_DVS189 	00:43:16,00 --> 00:43:19,50 	he stands up.
MORNING_GLORY.srt 	MORNING_GLORY_DVS238 	00:52:29,00 --> 00:52:36,50 	someone stands over her with a rain stick which makes the sound reminiscent of rain.
MORNING_GLORY.srt 	MORNING_GLORY_DVS377 	01:22:47,00 --> 01:22:51,50 	she stands by a monument.
MORNING_GLORY.srt 	MORNING_GLORY_DVS404 	01:29:04,00 --> 01:29:09,50 	they all stand and clap as the pair enter.
MORNING_GLORY.srt 	MORNING_GLORY_DVS418 	01:30:37,00 --> 01:30:44,50 	someone stands gazing in from outside.
MORNING_GLORY.srt 	MORNING_GLORY_DVS419 	01:30:41,00 --> 01:30:47,50 	someone stands on the street outside with someone.
MORNING_GLORY.srt 	MORNING_GLORY_DVS429 	01:33:27,00 --> 01:33:33,50 	someone stands on the plaza, her chest heaving, her eyes wet with tears.
MORNING_GLORY.srt 	MORNING_GLORY_DVS431 	01:33:34,00 --> 01:33:42,50 	in the daybreak offices, she stands in a doorway staring down, and puts her hand on her hip.
MORNING_GLORY.srt 	MORNING_GLORY_DVS444 	01:34:31,00 --> 01:34:38,50 	someone stands outside the nbc building and examines the note in her hands.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS73 	00:11:38,00 --> 00:11:44,50 	now the city's buildings stand against a muted dawn sky.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS91 	00:13:34,00 --> 00:13:39,50 	someone stands upright, gazing at it.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS248 	00:35:59,00 --> 00:36:03,50 	she stands.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS287 	00:38:04,00 --> 00:38:09,50 	someone stands awkwardly.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS424 	00:49:13,00 --> 00:49:19,50 	standing in a row, someone and the penguins dance in sync.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS553 	01:05:44,00 --> 01:05:48,50 	standing nearby,
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS558 	01:06:00,00 --> 01:06:06,50 	later, he stands on the terrace with his back to the open doorway.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS594 	01:10:26,00 --> 01:10:32,50 	he stands and slips his finger under the envelope's flap.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS601 	01:11:32,00 --> 01:11:38,50 	someone stands at a podium.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS19 	00:05:02,00 --> 00:05:17,50 	the elevator drops down to one and the piglets stand.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS151 	00:34:02,00 --> 00:34:07,50 	as he stands to walk away, one of his feet slips into the hole and he falls flat.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS179 	00:40:14,00 --> 00:40:21,50 	now someone stands on a hilltop.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS253 	00:52:54,00 --> 00:54:08,50 	they stand in the mud.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS266 	00:58:40,00 --> 00:58:50,50 	standing apart, someone steps forward.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS303 	01:06:07,00 --> 01:06:13,50 	jeffreys spins his rifle, then shoulders it and stands at attention.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS312 	01:07:51,00 --> 01:08:07,50 	a mustached man in a military uniform stands behind it.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS375 	01:19:41,00 --> 01:19:48,50 	someone sadly eyes her daughter as someone stands and uncaps the pen.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS399 	01:23:51,00 --> 01:24:06,50 	now in the barley field, the bomb stands lodged, nose first in the ground.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS399 	01:23:51,00 --> 01:24:06,50 	someone stands on a ladder over its steaming tail vent.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS406 	01:24:55,00 --> 01:25:04,50 	outside, someone stands on the ladder and peers through a circular opening in the bomb that has louvers like a window shutter.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS458 	01:34:24,00 --> 01:34:33,50 	our view sweeps out to the field where someone stands among a vast and tidy arrangement of the baled and bundled crops.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS40 	00:04:09,00 --> 00:04:14,50 	standing beside his buddy, someone, someone stares at someone.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS56 	00:06:44,00 --> 00:06:50,50 	someone's mother, someone, is standing outside by a pretty rose garden.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS129 	00:20:31,00 --> 00:20:36,50 	he goes to stand but stops himself.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS162 	00:26:35,00 --> 00:26:39,50 	someone stands up.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS306 	00:54:41,00 --> 00:54:46,50 	and stands face-to-face with someone.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS417 	01:16:30,00 --> 01:16:34,50 	someone stands leaning against the worktop in a kitchen area.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS486 	01:29:33,00 --> 01:29:38,50 	she stands and unbuttons her shirt.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS488 	01:30:14,00 --> 01:30:18,50 	someone stands with her shirt hanging off and clicks her fingers.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS112 	00:29:06,00 --> 00:29:14,50 	now a friend stands by as someone fits her violin case in her locker.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS120 	00:30:54,00 --> 00:31:02,50 	now we gaze out over atlanta's skyscrapers which stand interwoven with thick sections of woodlands.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS264 	01:03:01,00 --> 01:03:07,50 	someone hustled someone to one end of the announcers stand.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS337 	01:20:16,00 --> 01:20:25,50 	standing beside someone, someone's gaze sinks to the ground.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS214 	00:55:25,00 --> 00:55:30,50 	standing she peers quizzically at her reflection.
PROMETHEUS.srt 	PROMETHEUS_DVS461 	00:48:47,00 --> 00:48:55,50 	inside someone stands by a sleep pod.
PROMETHEUS.srt 	PROMETHEUS_DVS559 	01:02:31,00 --> 01:02:35,50 	the cockpit stands empty.
PROMETHEUS.srt 	PROMETHEUS_DVS624 	01:08:15,00 --> 01:08:23,50 	the probes dart past two humanoid figures standing on either side in suits and masks.
PROMETHEUS.srt 	PROMETHEUS_DVS800 	01:25:45,00 --> 01:25:50,50 	someone stands upright.
PROMETHEUS.srt 	PROMETHEUS_DVS849 	01:32:50,00 --> 01:32:54,50 	two guards stand outside.
PROMETHEUS.srt 	PROMETHEUS_DVS864 	01:35:05,00 --> 01:35:09,50 	someone stands.
PROMETHEUS.srt 	PROMETHEUS_DVS874 	01:36:30,00 --> 01:36:35,50 	someone stands at the layout table.
PROMETHEUS.srt 	PROMETHEUS_DVS876 	01:36:43,00 --> 01:36:48,50 	an alarmed someone stands upright.
PROMETHEUS.srt 	PROMETHEUS_DVS914 	01:40:58,00 --> 01:41:03,50 	the engineer stands upright.
PROMETHEUS.srt 	PROMETHEUS_DVS932 	01:42:23,00 --> 01:42:34,50 	she rises to her feet, standing beside one of the erupting plumes.
PROMETHEUS.srt 	PROMETHEUS_DVS955 	01:45:41,00 --> 01:45:48,50 	in the cockpit, someone stands at the helm, his shipmate seated behind him.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS35 	00:05:51,00 --> 00:05:55,50 	standing on the running board he sticks to his arm as they drive away.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS44 	00:07:17,00 --> 00:07:41,50 	now, someone stands below an overcast sky.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS124 	00:23:00,00 --> 00:23:23,50 	the gang leader sips his drink and stands, keeping his eyes locked on the exotic woman.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS268 	00:50:55,00 --> 00:51:01,50 	he stands and ambles toward the bars.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS317 	01:00:51,00 --> 01:01:18,50 	later outside the jail, a cluster of national guards stand watch by a waist-high wall of sandbags.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS338 	01:04:53,00 --> 01:05:11,50 	he stops for a red traffic light on a corner where more national guardsmen stand together talking, their guns strapped over their shoulders.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS356 	01:07:52,00 --> 01:07:58,50 	someone stands inside a phone booth with a faint, tender smile.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS434 	01:22:56,00 --> 01:23:09,50 	someone and someone stand shoulder-to-shoulder as they spot the lodge a few hundred yards off.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS475 	01:30:07,00 --> 01:30:16,50 	now, someone accost an average man standing outside a cabin.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS520 	01:38:11,00 --> 01:38:22,50 	in the outer office, the solemn burly agent stands with his partner.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS528 	01:39:02,00 --> 01:39:16,50 	as an agent stands by, two female operators work an adjacent switchboard.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS555 	01:43:57,00 --> 01:44:05,50 	he flings her head to the side and stands upright.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS568 	01:45:48,00 --> 01:45:57,50 	standing outside an apartment door, one shoots the top and bottom hinges.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS579 	01:47:49,00 --> 01:47:57,50 	he stands upright.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS580 	01:47:58,00 --> 01:48:18,50 	in the hall, the rest of the agents stand aside as he passes with the weakened woman.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS657 	02:04:09,00 --> 02:04:20,50 	the patrons stand, filing out of their rows.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS658 	02:04:19,00 --> 02:04:26,50 	a few rows down, someone stands with polly and someone his straw hat.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS687 	02:08:50,00 --> 02:09:04,50 	someone stands as someone enters.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS31 	00:04:47,00 --> 00:05:01,50 	beyond the encampments stands a stone fortress.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS56 	00:15:49,00 --> 00:15:58,50 	someone's friends stand.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS113 	00:28:55,00 --> 00:29:04,50 	someone stands staring at it thoughtfully.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS116 	00:30:11,00 --> 00:30:19,50 	later, at the head of a fresh grave, a simple wooden cross stands marked with a j.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS156 	00:38:53,00 --> 00:38:59,50 	someone glances heavily at someone, then stands.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS169 	00:40:59,00 --> 00:41:06,50 	the goateed man stands.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS256 	00:59:16,00 --> 00:59:25,50 	the archer stands stiff as she unbuttons a clasp at this throat.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS305 	01:14:00,00 --> 01:14:19,50 	from a copper pot standing over an open flame, he lifts away a stick tied with mulling sacks and gives his concoction a stir.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS358 	01:28:28,00 --> 01:28:34,50 	the messenger stands, gives a slight bow and strides off.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS391 	01:36:55,00 --> 01:37:10,50 	the intricately carved stone cross stands unharmed in the deserted village center.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS396 	01:37:40,00 --> 01:37:45,50 	he stands and draws his sword.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS426 	01:46:21,00 --> 01:46:25,50 	someone stands in the shadows.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS450 	01:52:07,00 --> 01:52:31,50 	as servants stand ready with lit torches, she climbs down from the pyre.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS498 	02:05:15,00 --> 02:05:24,50 	standing beside her, he raises his bow.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS511 	02:07:23,00 --> 02:07:46,50 	someone occupies one throne while king someone stands in front of his and reads the charter.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS139 	00:24:02,00 --> 00:24:10,50 	someone stands in his kitchen, eating a bowl of cereal.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS335 	00:54:26,00 --> 00:54:33,50 	someone stands on a roof near a waterfall flowing into the pool.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS494 	01:15:36,00 --> 01:15:41,50 	someone stands across the water.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS620 	01:30:20,00 --> 01:30:27,50 	without standing upright, someone braces himself on the walls and creeps downstairs.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS634 	01:31:25,00 --> 01:31:30,50 	he picks up the stack as he stands upright.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS649 	01:32:55,00 --> 01:32:59,50 	someone stands by.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS655 	01:34:01,00 --> 01:34:05,50 	standing at a window.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS680 	01:39:06,00 --> 01:39:13,50 	someone stands up straight then gestures to her blanket.
SALT.srt 	SALT_DVS254 	00:43:39,00 --> 00:44:13,50 	st. bartholomew's cathedral stands almost directly across the street, softly illuminated by outdoor flood lamps.
SALT.srt 	SALT_DVS258 	00:45:18,00 --> 00:45:43,50 	at the cathedral entrance, someone stands between someone and a balding man.
SALT.srt 	SALT_DVS274 	00:48:07,00 --> 00:48:20,50 	he eases past her and stands at her side.
SALT.srt 	SALT_DVS344 	01:01:23,00 --> 01:01:33,50 	a henchman wielding a rifle stands guard on its deck.
SANCTUM.srt 	SANCTUM_DVS107 	00:21:39,00 --> 00:21:51,50 	meanwhile, someone climbs out of shallow water onto a rock ledge where someone stands filming a cavern with a video camera.
SANCTUM.srt 	SANCTUM_DVS155 	00:32:51,00 --> 00:32:58,50 	someone stands.
SANCTUM.srt 	SANCTUM_DVS420 	01:21:00,00 --> 01:21:12,50 	he stands, sniffing the air.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS234 	00:16:18,00 --> 00:16:23,50 	someone stands in the doorway with a servant.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS362 	00:24:17,00 --> 00:24:22,50 	standing there, madame someone gives someone an expectant look.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS404 	00:27:07,00 --> 00:27:14,50 	standing in a hallway, a pregnant someone eavesdrops on the conversation.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS565 	00:37:54,00 --> 00:37:59,50 	now, someone stands at a window.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS621 	00:41:14,00 --> 00:41:21,50 	a lone three-story house stands in the middle of a construction site.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS753 	00:49:49,00 --> 00:49:56,50 	mrs. wei storms off, leaving her daughter standing alone on the balcony with her head down.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS771 	00:51:30,00 --> 00:51:37,50 	now dressed for an interview, someone stands up as sebastian walks another female applicant out of his office.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS784 	00:52:36,00 --> 00:52:42,50 	the image dissolves to a  river, beyond which stands a high cliff.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS802 	00:53:33,00 --> 00:53:39,50 	the friends pass a single cow standing off to the side.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1002 	01:05:30,00 --> 01:05:37,50 	beyond them, a vast mass of skyscrapers stands mostly darkened.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1018 	01:06:31,00 --> 01:06:36,50 	someone stands close by in the corridor.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1054 	01:10:01,00 --> 01:10:08,50 	now at a fancy dinner club, someone stands in the spotlight before a band.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1089 	01:14:30,00 --> 01:14:35,50 	her laotong stands motionless.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1201 	01:21:04,00 --> 01:21:09,50 	while someone stands in attendance nearby.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1238 	01:23:09,00 --> 01:23:14,50 	someone averts her wounded gaze and stands.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1327 	01:31:21,00 --> 01:31:26,50 	a rectangular wooden plaque stands upright
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1346 	01:32:20,00 --> 01:32:25,50 	within the story, a girl stands in the doorway of someone's home.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS89 	00:17:52,00 --> 00:18:07,50 	now in a posh apartment, the someone dynasty urn stands by a hall doorway.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS101 	00:20:30,00 --> 00:20:35,50 	someone stands inside a protective chamber.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS118 	00:23:31,00 --> 00:23:38,50 	he then stands and races outside.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS214 	00:41:05,00 --> 00:41:15,50 	later, he stands with someone
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS301 	01:02:26,00 --> 01:02:35,50 	the mop stands, then bobs up and down.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS302 	01:02:38,00 --> 01:02:43,50 	both join the mop and the mop stands alertly on three
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS346 	01:12:22,00 --> 01:12:28,50 	someone stands on the catwalk, using someone's ring.
SOUL_SURFER.srt 	SOUL_SURFER_DVS17 	00:02:43,00 --> 00:02:50,50 	now standing together on one surfboard, the girls ride a gentle wave.
SOUL_SURFER.srt 	SOUL_SURFER_DVS223 	01:10:35,00 --> 01:10:42,50 	the blonde teen stands and gives her older friend a tentative smile.
SOUL_SURFER.srt 	SOUL_SURFER_DVS254 	01:15:48,00 --> 01:16:01,50 	someone approaches a boy who stands on one the donated surfboards.
SPARKLE_2012.srt 	SPARKLE_2012_DVS242 	00:37:45,00 --> 00:37:54,50 	audience members stand.
SPARKLE_2012.srt 	SPARKLE_2012_DVS260 	00:40:20,00 --> 00:40:27,50 	the sisters end on a hop, then stand hand in hand, beaming for the crowd.
SPARKLE_2012.srt 	SPARKLE_2012_DVS377 	01:03:42,00 --> 01:03:46,50 	sister sighs and stands up.
SPARKLE_2012.srt 	SPARKLE_2012_DVS484 	01:18:35,00 --> 01:18:42,50 	someone stands over him, gripping the poker in both hands.
SPARKLE_2012.srt 	SPARKLE_2012_DVS645 	01:46:51,00 --> 01:46:56,50 	she stands at a microphone.
SUPER_8.srt 	SUPER_8_DVS104 	00:17:32,00 --> 00:17:39,50 	someone stands rooted.
SUPER_8.srt 	SUPER_8_DVS126 	00:19:24,00 --> 00:19:31,50 	with its headlights still on someone's car stands undamaged a few feet away.
SUPER_8.srt 	SUPER_8_DVS189 	00:31:46,00 --> 00:31:51,50 	someone stands beside someone.
SUPER_8.srt 	SUPER_8_DVS201 	00:34:35,00 --> 00:34:41,50 	later at the police station, someone stands beside the sheriff's desk.
SUPER_8.srt 	SUPER_8_DVS261 	00:44:27,00 --> 00:44:33,50 	standing in a lift bucket someone repairs a high power transformer.
SUPER_8.srt 	SUPER_8_DVS271 	00:45:57,00 --> 00:46:02,50 	at a town meeting, someone stands on a small stage.
SUPER_8.srt 	SUPER_8_DVS310 	00:55:12,00 --> 00:55:20,50 	inside a temporary military hospital, colonel someone stands beside dr.
SUPER_8.srt 	SUPER_8_DVS320 	00:57:11,00 --> 00:57:16,50 	someone opens his window for someone who stands outside.
SUPER_8.srt 	SUPER_8_DVS345 	01:02:05,00 --> 01:02:10,50 	the children stands and peer through the hole
SUPER_8.srt 	SUPER_8_DVS352 	01:02:48,00 --> 01:02:53,50 	a whisky bottle stands on the chair's armrest.
SUPER_8.srt 	SUPER_8_DVS394 	01:10:34,00 --> 01:10:39,50 	later, someone stands with his four friends.
SUPER_8.srt 	SUPER_8_DVS420 	01:15:16,00 --> 01:15:21,50 	in a move, men in white lab coats stand in a huge hangar.
SUPER_8.srt 	SUPER_8_DVS460 	01:21:06,00 --> 01:21:13,50 	standing under the bus flickering lights someone lifts the rifle.
SUPER_8.srt 	SUPER_8_DVS469 	01:22:08,00 --> 01:22:14,50 	someone hangs by his seat belt as the other boys stand.
SUPER_8.srt 	SUPER_8_DVS472 	01:22:24,00 --> 01:22:31,50 	lying a mid-broken glass someone gazes at the dead soldier beside him and stands.
SUPER_8.srt 	SUPER_8_DVS500 	01:25:10,00 --> 01:25:16,50 	someone stands as someone pulls up and steps out of his car.
SUPER_8.srt 	SUPER_8_DVS519 	01:28:02,00 --> 01:28:06,50 	someone stands.
SUPER_8.srt 	SUPER_8_DVS587 	01:36:27,00 --> 01:36:32,50 	someone stands still and stares at the creature.
SUPER_8.srt 	SUPER_8_DVS658 	01:45:24,00 --> 01:45:30,50 	someone puts on his hat and stands then shakes preston's hand.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS118 	00:17:50,00 --> 00:17:56,50 	someone crouches and peers under the cabinet, then stands and moves it away from the wall.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS247 	00:37:18,00 --> 00:37:24,50 	snowy stands on the thug's chest and growls, then trots after the others.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS390 	00:57:40,00 --> 00:57:44,50 	someone slowly stands.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS430 	01:02:30,00 --> 01:02:34,50 	snowy stands on a ridge and barks.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS457 	01:06:50,00 --> 01:06:56,50 	standing he swings his sword, then points the weapon toward sir someone.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS490 	01:10:33,00 --> 01:10:39,50 	deep in water, red someone stands on the burning sinking ship.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS538 	01:15:39,00 --> 01:15:47,50 	a domed structure stands against the backdrop of rugged mountains.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS568 	01:18:56,00 --> 01:19:00,50 	he stands.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS589 	01:20:43,00 --> 01:20:48,50 	someone picks up a rocket launcher, hitting the guard as he stands.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS646 	01:26:56,00 --> 01:27:00,50 	someone stands.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS707 	01:34:16,00 --> 01:34:22,50 	as the sun rises, someone stands on the deck of the karaboudjan with someone.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS21 	00:03:59,00 --> 00:04:19,50 	he stands alone in his dark coat before a backdrop of buildings and a stonewall.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS122 	00:28:05,00 --> 00:28:18,50 	he flips back several pages and studies a red hued painting of a figure standing under bare trees before a distant building.
