21_JUMP_STREET.srt 	21_JUMP_STREET_DVS29 	00:03:22,00 --> 00:03:31,50 	the nerd enters the metropolitan city police academy wearing a blue uniform and takes his place in a registration line.
DISTRICT_9.srt 	DISTRICT_9_DVS826 	01:37:23,00 --> 01:37:39,50 	on the ground, the robot takes a few faltering steps, then falls.
DISTRICT_9.srt 	DISTRICT_9_DVS838 	01:39:00,00 --> 01:39:12,50 	strides over, draws a pistol and takes aim.
EASY_A.srt 	EASY_A_DVS67 	00:24:23,00 --> 00:24:30,50 	lounging on the hood of an old vw bug, someone reaches through the window and takes out her cellphone.
EASY_A.srt 	EASY_A_DVS153 	00:48:21,00 --> 00:48:26,50 	she takes a seat facing his desk.
EASY_A.srt 	EASY_A_DVS169 	00:54:34,00 --> 00:54:41,50 	someone takes a seat beside someone, and awkwardly pats the sobbing girl's head.
EASY_A.srt 	EASY_A_DVS285 	01:24:39,00 --> 01:24:44,50 	someone takes someone's arm and scampers out with him.
EASY_A.srt 	EASY_A_DVS305 	01:27:16,00 --> 01:27:22,50 	someone takes someone's hand, then leads her to the lawnmower.
EASY_A.srt 	EASY_A_DVS306 	01:27:19,00 --> 01:27:26,50 	she climbs onto the rear grass-bagger as someone takes a seat at the wheel.
FLIGHT.srt 	FLIGHT_DVS55 	00:09:59,00 --> 00:10:03,50 	someone takes the yoke and pulls back.
FLIGHT.srt 	FLIGHT_DVS64 	00:13:01,00 --> 00:13:06,50 	someone takes the phone.
FLIGHT.srt 	FLIGHT_DVS77 	00:15:33,00 --> 00:15:39,50 	he takes a long drink as someone exits the toilet, and he goes in.
FLIGHT.srt 	FLIGHT_DVS147 	00:27:10,00 --> 00:27:17,50 	watches in a daze, as the church folk stand and take in the scene from a distance,
FLIGHT.srt 	FLIGHT_DVS156 	00:31:18,00 --> 00:31:23,50 	craig takes his recorder, and leaves with the others,
FLIGHT.srt 	FLIGHT_DVS162 	00:34:23,00 --> 00:34:29,50 	then shakes his head, and takes his cell phone from the plastic bag.
FLIGHT.srt 	FLIGHT_DVS194 	00:45:53,00 --> 00:45:58,50 	someone opens a beer, and takes a swig.
FLIGHT.srt 	FLIGHT_DVS222 	00:48:43,00 --> 00:48:50,50 	he takes a case of corona and some other beer cans from the fridge, and also drains them.
FLIGHT.srt 	FLIGHT_DVS224 	00:49:01,00 --> 00:49:08,50 	he takes a bag of marijuana from a wooden box in a drawer, and flushes it.
FLIGHT.srt 	FLIGHT_DVS237 	00:50:11,00 --> 00:50:17,50 	then takes a picture of a young african american boy, wedged in a frame.
FLIGHT.srt 	FLIGHT_DVS346 	00:57:46,00 --> 00:57:50,50 	he picks it up, and takes a drink.
FLIGHT.srt 	FLIGHT_DVS373 	01:00:17,00 --> 01:00:22,50 	someone takes out some money.
FLIGHT.srt 	FLIGHT_DVS384 	01:01:44,00 --> 01:01:52,50 	someone fresh from taking a shower, exits the bathroom.
FLIGHT.srt 	FLIGHT_DVS391 	01:02:46,00 --> 01:02:52,50 	he raises the glass, as if to take a drink, but stops midway.
FLIGHT.srt 	FLIGHT_DVS396 	01:02:59,00 --> 01:03:06,50 	she takes the glass from his hand, and sets it carefully on the nearby table.
FLIGHT.srt 	FLIGHT_DVS409 	01:05:04,00 --> 01:05:11,50 	someone takes a pair of binoculars, and watches a woman step out of a black suv.
FLIGHT.srt 	FLIGHT_DVS504 	01:12:45,00 --> 01:12:51,50 	someone sits in a chair on the veranda, taking pictures.
FLIGHT.srt 	FLIGHT_DVS609 	01:26:51,00 --> 01:26:56,50 	he takes someone's hand.
FLIGHT.srt 	FLIGHT_DVS662 	01:29:50,00 --> 01:29:57,50 	someone takes a large swig before setting the bottle on a table, and entering the bedroom.
FLIGHT.srt 	FLIGHT_DVS691 	01:33:21,00 --> 01:33:29,50 	rain falls steadily as someone sits in the car and pours alcohol into a bottle of juice, and takes a drink.
FLIGHT.srt 	FLIGHT_DVS1150 	02:04:11,00 --> 02:04:15,50 	he takes a sip of water.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS24 	00:06:03,00 --> 00:06:17,50 	she takes the card and writes someone on the back with lipstick.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS32 	00:08:58,00 --> 00:09:11,50 	someone takes a sip, then spits it out.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS82 	00:20:34,00 --> 00:20:40,50 	someone takes a look at the inch-thick stack of documents.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS201 	00:53:29,00 --> 00:53:35,50 	she takes someone's hands and pounds them against her chest.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS271 	01:10:11,00 --> 01:10:16,50 	someone lets someone take his
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS304 	01:20:45,00 --> 01:20:52,50 	someone takes a resigned breath.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS336 	01:28:48,00 --> 01:28:53,50 	he takes someone aside.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS352 	01:33:38,00 --> 01:33:50,50 	someone takes a heavy breath.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS353 	01:33:48,00 --> 01:33:55,50 	he removes his shoes, pulls out a chair at the table, and takes off his own pants.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS357 	01:34:22,00 --> 01:34:28,50 	someone snaps out of his reverie and takes a few deeps breaths.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS383 	01:40:39,00 --> 01:40:47,50 	he takes her hand and leads her to a balcony, overlooking the ballroom dancing flash mob.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS57 	00:32:53,00 --> 00:33:00,50 	someone frowns at the flask, then takes a drink.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS60 	00:33:19,00 --> 00:33:24,50 	takes another drag and reels.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS69 	00:40:58,00 --> 00:41:01,50 	he takes someone's cell.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS80 	00:47:00,00 --> 00:47:04,50 	he takes the phone.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS136 	01:20:52,00 --> 01:20:58,50 	the stunned woman takes in the romantic setting.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS139 	01:22:16,00 --> 01:22:24,50 	someone flops onto the couch and take his sunglasses off.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS27 	00:04:10,00 --> 00:04:29,50 	in slow motion, someone twists his body and takes aim at the suv with only the distant forest floor below him.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS51 	00:08:19,00 --> 00:08:27,50 	he stands upright then reaches into his jacket pocket and takes out a photo of someone.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS58 	00:09:57,00 --> 00:10:05,50 	in a cafe, someone sits alone at a table, watching a man in a grey suit take off his wedding ring.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS124 	00:20:07,00 --> 00:20:26,50 	he takes two handfuls of pill bottles.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS170 	00:27:38,00 --> 00:27:48,50 	the truck takes an exit.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS215 	00:34:45,00 --> 00:35:01,50 	his nose and eyes take skull form and he blows fire from his nostrils.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS294 	00:45:27,00 --> 00:45:34,50 	he clears the inside of his cheek with his tongue, then takes another drink.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS313 	00:47:33,00 --> 00:47:42,50 	as they stare, the emt furrows his brow and takes a step back.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS371 	00:54:32,00 --> 00:54:36,50 	he takes a swig.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS381 	00:56:09,00 --> 00:56:15,50 	at a cubby hole, he takes out an ancient bottle of ruddy wine.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS393 	00:58:21,00 --> 00:58:26,50 	someone takes it from him.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS394 	00:58:25,00 --> 00:58:31,50 	he takes a bite then shifts his gaze.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS428 	01:01:46,00 --> 01:01:51,50 	"take them away until the thing is done."
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS467 	01:07:56,00 --> 01:08:02,50 	she takes the sniper rifle.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS481 	01:09:43,00 --> 01:09:54,50 	someone takes a knee.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS502 	01:12:41,00 --> 01:12:46,50 	someone reloads and takes aim at a third.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS506 	01:13:15,00 --> 01:13:21,50 	he takes a swig of 2000 year old wine.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS507 	01:13:22,00 --> 01:13:27,50 	he hands the bottle to someone who takes a sip as well.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS556 	01:19:02,00 --> 01:19:36,50 	ghost rider rises, taking out the acolytes with a circular sweep of his red hot chain.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS564 	01:20:37,00 --> 01:20:55,50 	ghost rider leaps onto the driver's seat and takes the wheel.
GREEN_ZONE.srt 	GREEN_ZONE_DVS18 	00:06:19,00 --> 00:06:26,50 	in the warehouse, the others run away and take cover beside an exit.
GREEN_ZONE.srt 	GREEN_ZONE_DVS144 	00:34:57,00 --> 00:35:02,50 	he takes out the black notebook.
GREEN_ZONE.srt 	GREEN_ZONE_DVS164 	00:43:26,00 --> 00:43:30,50 	he undoes his chinstrap and takes off his helmet and eyes the palace.
GREEN_ZONE.srt 	GREEN_ZONE_DVS167 	00:44:02,00 --> 00:44:15,50 	the soldier heads to someone's small patio table and takes a seat.
GREEN_ZONE.srt 	GREEN_ZONE_DVS183 	00:47:10,00 --> 00:47:42,50 	as his eyes scan the text, he takes note of specific phrases.
GREEN_ZONE.srt 	GREEN_ZONE_DVS335 	01:15:45,00 --> 01:15:52,50 	a dog trots across a street and takes cover under a parked bus.
GREEN_ZONE.srt 	GREEN_ZONE_DVS339 	01:16:19,00 --> 01:16:27,50 	as a camera flashes, a pentagon official struts in and takes his place.
GREEN_ZONE.srt 	GREEN_ZONE_DVS340 	01:16:29,00 --> 01:17:03,50 	nearby, three of his men take positions around other buses, all hold their weapons at the ready.
GREEN_ZONE.srt 	GREEN_ZONE_DVS348 	01:18:48,00 --> 01:19:14,50 	now, his four team members emerge from the alley and take up positions.
GREEN_ZONE.srt 	GREEN_ZONE_DVS405 	01:31:00,00 --> 01:31:05,50 	as someone takes the stairs, someone and his aide exit.
GREEN_ZONE.srt 	GREEN_ZONE_DVS454 	01:39:52,00 --> 01:39:57,50 	near the entrance, he gravely takes in the crowd of journalists.
GROWN_UPS.srt 	GROWN_UPS_DVS22 	00:06:43,00 --> 00:06:46,50 	takes the phone.
GROWN_UPS.srt 	GROWN_UPS_DVS134 	00:41:55,00 --> 00:42:00,50 	he takes a handful of ashes and tosses them.
GROWN_UPS.srt 	GROWN_UPS_DVS181 	00:51:16,00 --> 00:51:21,50 	with a guilty stare, she takes a deep breath.
HUGO.srt 	HUGO_DVS47 	00:05:39,00 --> 00:05:49,50 	glaring at the man, he takes out a small notebook and slaps it onto the counter.
HUGO.srt 	HUGO_DVS57 	00:07:31,00 --> 00:07:40,50 	the boy spins around then takes off into the crowd.
HUGO.srt 	HUGO_DVS75 	00:09:54,00 --> 00:10:01,50 	reaching into a pocket, the boy takes out a set of keys as he approaches another metal door.
HUGO.srt 	HUGO_DVS155 	00:21:20,00 --> 00:21:26,50 	claude takes a drag from his cigarette, burns his finger, and drops it.
HUGO.srt 	HUGO_DVS161 	00:22:05,00 --> 00:22:11,50 	claude takes a swig from a flask, as he leads someone to the station.
HUGO.srt 	HUGO_DVS177 	00:24:50,00 --> 00:24:57,50 	he freezes as the inspector takes out a pocket watch and checks the time.
HUGO.srt 	HUGO_DVS210 	00:31:33,00 --> 00:31:40,50 	he takes off the toy' outer shell and uses a small hammer to pound it back into shape.
HUGO.srt 	HUGO_DVS266 	00:39:17,00 --> 00:39:24,50 	someone stares at someone then smiles and takes his hand as they walk around a giant stack of books.
HUGO.srt 	HUGO_DVS272 	00:39:56,00 --> 00:40:02,50 	taking out a set of small tools, someone picks the lock.
HUGO.srt 	HUGO_DVS290 	00:43:12,00 --> 00:43:18,50 	someone takes off someone's beret and places it over his own head.
HUGO.srt 	HUGO_DVS315 	00:49:06,00 --> 00:49:11,50 	someone takes off the key from around her neck
HUGO.srt 	HUGO_DVS379 	00:57:52,00 --> 00:57:56,50 	someone takes the drawing.
HUGO.srt 	HUGO_DVS388 	00:59:01,00 --> 00:59:09,50 	someone searches through stacks of towels, while someone helps someone take off his coat in the next room.
HUGO.srt 	HUGO_DVS518 	01:16:25,00 --> 01:16:31,50 	someone slides open a drawer and takes out a film canister.
HUGO.srt 	HUGO_DVS549 	01:21:43,00 --> 01:21:50,50 	someone stops and takes someone's briefcase from him.
HUGO.srt 	HUGO_DVS649 	01:33:06,00 --> 01:33:11,50 	someone stands then walks to someone and takes his hand.
HUGO.srt 	HUGO_DVS652 	01:33:27,00 --> 01:33:34,50 	someone takes someone's other hand and the women lead him to a sofa.
HUGO.srt 	HUGO_DVS666 	01:36:59,00 --> 01:37:08,50 	someone and someone pose in front of a glass building as a photographer takes their picture inside a set of a smoking cave.
HUGO.srt 	HUGO_DVS775 	01:52:34,00 --> 01:52:39,50 	someone takes off his hat as he steps forward with someone.
HUGO.srt 	HUGO_DVS803 	01:57:18,00 --> 01:57:28,50 	he takes off his own head and throws it onto the wires where it hovers like a musical note.
IN_TIME.srt 	IN_TIME_DVS36 	00:04:14,00 --> 00:04:19,50 	someone takes the time with a smile.
IN_TIME.srt 	IN_TIME_DVS39 	00:04:36,00 --> 00:04:42,50 	someone sticks his wrist in a scanner that takes minutes off his timer.
IN_TIME.srt 	IN_TIME_DVS73 	00:08:29,00 --> 00:08:36,50 	the wealthy man takes a few steps forward, then shifts his uneasy gaze and loosens his tie.
IN_TIME.srt 	IN_TIME_DVS100 	00:11:09,00 --> 00:11:15,50 	someone takes out a flask and unscrews its cap.
IN_TIME.srt 	IN_TIME_DVS102 	00:11:17,00 --> 00:11:22,50 	taking it, someone sips.
IN_TIME.srt 	IN_TIME_DVS104 	00:11:27,00 --> 00:11:32,50 	someone reluctantly takes another swig.
IN_TIME.srt 	IN_TIME_DVS186 	00:19:56,00 --> 00:20:01,50 	then takes off down a desolate street.
IN_TIME.srt 	IN_TIME_DVS191 	00:20:21,00 --> 00:20:27,50 	finding only 20 minutes on her clock, she takes off at a sprint.
IN_TIME.srt 	IN_TIME_DVS195 	00:20:36,00 --> 00:20:45,50 	his thoughtful eyes shift to a truck heading in the opposite direction and he drops his flowers taking off after it.
IN_TIME.srt 	IN_TIME_DVS360 	00:37:57,00 --> 00:38:01,50 	he abruptly takes one.
IN_TIME.srt 	IN_TIME_DVS367 	00:38:33,00 --> 00:38:39,50 	smiling appreciatively at the ocean, someone takes his clothes off.
IN_TIME.srt 	IN_TIME_DVS397 	00:41:28,00 --> 00:41:35,50 	from the far side of the room, someone strolls over and takes a seat on the other side of the desk.
IN_TIME.srt 	IN_TIME_DVS421 	00:45:17,00 --> 00:45:25,50 	he takes the guard's gun and gets in is car.
IN_TIME.srt 	IN_TIME_DVS467 	00:50:33,00 --> 00:50:39,50 	someone takes someone's gloved hand and they run off down the basin.
IN_TIME.srt 	IN_TIME_DVS510 	00:54:45,00 --> 00:54:51,50 	taking it, someone casually leans against someone's desk.
IN_TIME.srt 	IN_TIME_DVS583 	01:02:27,00 --> 01:02:33,50 	he takes the gun hidden at his back and places her hand around it.
IN_TIME.srt 	IN_TIME_DVS585 	01:02:37,00 --> 01:02:43,50 	then takes a few steps toward the pay phone across the street.
IN_TIME.srt 	IN_TIME_DVS631 	01:07:23,00 --> 01:07:28,50 	later, he and someone take off in the limo.
IN_TIME.srt 	IN_TIME_DVS645 	01:09:11,00 --> 01:09:17,50 	as someone enters, someone takes the phone off speaker.
IN_TIME.srt 	IN_TIME_DVS658 	01:11:27,00 --> 01:11:33,50 	someone gently takes the gun from her.
IN_TIME.srt 	IN_TIME_DVS683 	01:14:05,00 --> 01:14:10,50 	taking a garment from her basket, she pauses and stares inside.
IN_TIME.srt 	IN_TIME_DVS688 	01:14:20,00 --> 01:14:25,50 	someone arrives and takes her capsule.
IN_TIME.srt 	IN_TIME_DVS721 	01:17:10,00 --> 01:17:16,50 	someone takes someone's blouse off, lays her down, and leans over her.
IN_TIME.srt 	IN_TIME_DVS738 	01:18:22,00 --> 01:18:27,50 	the couple takes off running.
IN_TIME.srt 	IN_TIME_DVS749 	01:19:18,00 --> 01:19:28,50 	drawing near, someone takes cover and fires at them.
IN_TIME.srt 	IN_TIME_DVS808 	01:25:56,00 --> 01:26:02,50 	as he reaches his other hand out, someone takes a deep breath.
IN_TIME.srt 	IN_TIME_DVS877 	01:33:00,00 --> 01:33:06,50 	someone takes a shaky breath as she watches from a doorway.
IN_TIME.srt 	IN_TIME_DVS894 	01:34:52,00 --> 01:34:59,50 	taking shelter behind them, timekeepers aim their weapons over the hoods.
IN_TIME.srt 	IN_TIME_DVS899 	01:35:19,00 --> 01:35:24,50 	someone briefly takes someone's hand.
IN_TIME.srt 	IN_TIME_DVS949 	01:39:56,00 --> 01:40:04,50 	they take off toward the cruiser.
INSIDE_MAN.srt 	INSIDE_MAN_DVS38 	00:08:28,00 --> 00:08:36,50 	as someone leaves him and re-secures the door, the officer takes out his own gun, then radios in.
INSIDE_MAN.srt 	INSIDE_MAN_DVS41 	00:11:01,00 --> 00:11:09,50 	as his partner gets in, keith takes the wheel.
INSIDE_MAN.srt 	INSIDE_MAN_DVS62 	00:16:58,00 --> 00:17:12,50 	someone reaches into the sack of employee phones, takes one out and scrolls through its contacts list.
INSIDE_MAN.srt 	INSIDE_MAN_DVS96 	00:24:49,00 --> 00:25:13,50 	entering the vault cage, they take a quick look at the stacks of money.
INSIDE_MAN.srt 	INSIDE_MAN_DVS142 	00:42:18,00 --> 00:42:23,50 	one of the policemen steps forward, takes the paper and passes it back to someone.
INSIDE_MAN.srt 	INSIDE_MAN_DVS184 	00:52:48,00 --> 00:52:56,50 	as the young hostage takes the pizza slice in hand, someone takes another bale of cash off a shelf.
INSIDE_MAN.srt 	INSIDE_MAN_DVS184 	00:52:48,00 --> 00:52:56,50 	as the young hostage takes the pizza slice in hand, someone takes another bale of cash off a shelf.
INSIDE_MAN.srt 	INSIDE_MAN_DVS191 	00:54:49,00 --> 00:55:09,50 	his green eyes take in the shelves of baled cash.
INSIDE_MAN.srt 	INSIDE_MAN_DVS202 	00:57:54,00 --> 00:58:11,50 	he smokes as she takes a set of picks to a second lock set in the small door.
INSIDE_MAN.srt 	INSIDE_MAN_DVS237 	01:09:28,00 --> 01:09:35,50 	someone strides forward in her taupe heels, she takes off the nypd jacket.
INSIDE_MAN.srt 	INSIDE_MAN_DVS287 	01:28:33,00 --> 01:28:42,50 	the detective takes a breath and nods.
INSIDE_MAN.srt 	INSIDE_MAN_DVS351 	01:41:02,00 --> 01:41:06,50 	taking photographs of the busty woman.
INSIDE_MAN.srt 	INSIDE_MAN_DVS355 	01:41:39,00 --> 01:41:49,50 	someone and the lanky robber take shallow breaths.
INSIDE_MAN.srt 	INSIDE_MAN_DVS430 	02:01:49,00 --> 02:02:01,50 	he takes off his pistol, unloads it and places it in a lock box.
IRON_MAN_2.srt 	IRON_MAN_2_DVS63 	00:10:43,00 --> 00:10:47,50 	happy takes a subpoena from the woman.
IRON_MAN_2.srt 	IRON_MAN_2_DVS72 	00:12:28,00 --> 00:12:35,50 	sitting nearby, brown-haired someone raises a water glass toward someone and takes a sip.
IRON_MAN_2.srt 	IRON_MAN_2_DVS116 	00:22:43,00 --> 00:22:48,50 	he takes out the envelope and opens it.
IRON_MAN_2.srt 	IRON_MAN_2_DVS154 	00:28:41,00 --> 00:28:49,50 	in the restaurant bathroom, someone takes a blood-level reading with a scanner, then sticks his pricked finger in his mouth.
IRON_MAN_2.srt 	IRON_MAN_2_DVS155 	00:28:49,00 --> 00:28:57,50 	he takes out his finger, leans against the sink counter with his head lowered, pauses, then stares at his reflection in the mirror.
IRON_MAN_2.srt 	IRON_MAN_2_DVS264 	00:48:47,00 --> 00:48:53,50 	someone takes the reactor and removes the smoking ingot.
IRON_MAN_2.srt 	IRON_MAN_2_DVS279 	00:52:03,00 --> 00:52:08,50 	he takes a sip.
IRON_MAN_2.srt 	IRON_MAN_2_DVS294 	00:54:25,00 --> 00:54:32,50 	smiling, pepper steps onstage and takes the microphone from someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS358 	01:05:58,00 --> 01:06:03,50 	someone takes the control unit from someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS368 	01:09:51,00 --> 01:10:03,50 	standing beside someone, major allen and another man watch as someone removes the chest plate from the suit, then takes out the glowing arc reactor.
IRON_MAN_2.srt 	IRON_MAN_2_DVS387 	01:13:07,00 --> 01:13:13,50 	someone opens a round canister's lid and takes out a reel of film.
IRON_MAN_2.srt 	IRON_MAN_2_DVS458 	01:24:01,00 --> 01:24:10,50 	he takes out the tubes and assembles them.
IRON_MAN_2.srt 	IRON_MAN_2_DVS654 	01:49:43,00 --> 01:49:47,50 	grinning, someone takes one step forward.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS25 	00:06:56,00 --> 00:07:28,50 	as she takes out the other earring she notices uncleared plates on the kitchen island.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS37 	00:09:11,00 --> 00:09:16,50 	she takes off her glasses.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS66 	00:18:35,00 --> 00:18:38,50 	over and takes a seat
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS133 	00:42:26,00 --> 00:42:30,50 	someone takes out her cell.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS181 	00:57:57,00 --> 00:58:04,50 	the nurse takes someone to a private room,
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS190 	01:00:07,00 --> 01:00:16,50 	then shakes her head, takes a breath, and steps out from behind the bed.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS201 	01:00:59,00 --> 01:01:04,50 	taking a breath someone beams at him.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS211 	01:03:24,00 --> 01:03:33,50 	someone starts to salt his, but someone takes the shaker away.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS220 	01:04:54,00 --> 01:05:08,50 	as she starts to get up someone takes her hand and she waits.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS230 	01:07:33,00 --> 01:07:52,50 	he surreptitiously takes the phone, creeps toward the door leaving someone typing on her laptop by a sleeping someone.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS241 	01:09:23,00 --> 01:09:36,50 	as she takes off her earrings she plods down a hall and shuts off its light as well.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS254 	01:11:52,00 --> 01:11:56,50 	someone takes the knife as she leaves.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS258 	01:14:16,00 --> 01:14:25,50 	as someone lingers in the doorway she takes her place at the table.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS282 	01:18:47,00 --> 01:18:54,50 	he takes another hit.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS374 	01:44:02,00 --> 01:44:23,50 	someone sets her purse on a chair then takes a seat on the edge of the bed.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS146 	00:29:45,00 --> 00:29:52,50 	he takes another look at his sister who sleeps soundly atop the covers, fully clothed.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS196 	00:38:02,00 --> 00:38:08,50 	ignoring him, someone takes a long sip of his drink through a straw.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS234 	00:47:13,00 --> 00:47:17,50 	he takes out a four-foot stick.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS274 	00:52:51,00 --> 00:52:56,50 	blindfolded, someone takes the stick from someone.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS315 	01:00:16,00 --> 01:00:20,50 	someone takes his feet off someone's desk.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS321 	01:01:12,00 --> 01:01:16,50 	he takes the call.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS340 	01:05:56,00 --> 01:06:03,50 	he pulls a dress off its hanger then takes a pair of shoes, a purse, and jewelry.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS423 	01:18:10,00 --> 01:18:14,50 	then reaches in her bag and takes out
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS45 	00:05:23,00 --> 00:05:37,50 	she smiles, takes in a savoring breath, then inspects the rest of the apartment.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS80 	00:11:13,00 --> 00:11:19,50 	as two of the women take calls, the redhaired friend faces someone.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS82 	00:11:27,00 --> 00:11:36,50 	cassie takes it away.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS185 	00:34:51,00 --> 00:34:56,50 	he takes her into the bedroom.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS206 	00:39:18,00 --> 00:39:22,50 	she takes out a souffl.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS208 	00:39:49,00 --> 00:39:58,50 	an employee takes a live lobster from a tank and bags it, someone and someone swap a look.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS213 	00:40:51,00 --> 00:40:59,50 	she dons a rubber glove, removes the lid from a pot of boiling water, and takes a lobster out of the bag.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS221 	00:41:50,00 --> 00:41:57,50 	as she cautiously approaches the kitchen, someone grabs an apple and takes a bite.
