21_JUMP_STREET.srt 	21_JUMP_STREET_DVS282 	00:48:55,00 --> 00:49:00,50 	he passes it off to the nerds and follows.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS405 	01:17:59,00 --> 01:18:08,50 	someone's eyes follow her.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS416 	01:19:13,00 --> 01:19:26,50 	someone follows her example with a hopeful gaze.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS26 	00:03:22,00 --> 00:03:44,50 	someone follows.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS55 	00:11:13,00 --> 00:11:19,50 	the judge follows someone's gaze to the closed double-doors.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS64 	00:12:18,00 --> 00:12:40,50 	as he follows the sidewalk, he roots around in the pocket of his cargo shorts and pulls out a set of keys.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS255 	00:48:53,00 --> 00:49:01,50 	she sees someone following her.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS332 	01:00:53,00 --> 01:01:08,50 	now, someone's ragtop follows a winding road toward a mansion perched atop an immaculately landscaped hill.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS335 	01:01:50,00 --> 01:01:54,50 	they follow her through the lobby.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS386 	01:13:10,00 --> 01:13:14,50 	someone follows suit.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS480 	01:26:50,00 --> 01:27:05,50 	scanning the office, she follows the sound around a corner and finds a louvered door locked by a deadbolt.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS535 	01:37:21,00 --> 01:37:33,50 	someone follows.
THE_CALL.srt 	THE_CALL_DVS733 	00:55:34,00 --> 00:55:38,50 	he follows an officer.
THE_CALL.srt 	THE_CALL_DVS894 	01:09:11,00 --> 01:09:17,50 	another follows, coming down the mountain road.
THE_CALL.srt 	THE_CALL_DVS1138 	01:25:46,00 --> 01:25:51,50 	someone follows someone's gaze.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS30 	00:05:52,00 --> 00:05:56,50 	someone follows someone in.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS38 	00:06:57,00 --> 00:07:03,50 	now the woman follows the visitors out to her porch.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS135 	00:22:38,00 --> 00:22:44,50 	someone follows her outside and finds her on her cellphone,
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS184 	00:29:55,00 --> 00:30:03,50 	he follows it at a sprint, his brow furrowed and his arms pumping furiously.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS186 	00:30:03,00 --> 00:30:10,50 	he reaches a hairpin curve and follows it onto a street canopied with lush trees.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS272 	00:43:08,00 --> 00:43:14,50 	the sedan follows the winding residential road downhill.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS382 	00:58:17,00 --> 00:58:22,50 	as the group continues up the dirt road, our view turns to follow them.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS395 	01:00:06,00 --> 01:00:12,50 	the jeep drives by, following a bend in the road.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS614 	01:30:41,00 --> 01:30:48,50 	someone gestures to someone and someone and they follow him into the corridor.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS717 	01:40:09,00 --> 01:40:17,50 	someone flashes a polite smile at someone, who follows someone and someone out.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS53 	00:03:34,00 --> 00:03:38,50 	they follow outside.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS165 	00:19:16,00 --> 00:19:22,50 	a young blonde woman follows harriet upstairs.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS172 	00:21:03,00 --> 00:21:08,50 	someone follows someone upstairs.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS621 	01:08:27,00 --> 01:08:33,50 	she turns, her gaze following something in the parade.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS661 	01:12:34,00 --> 01:12:40,50 	later, the ambulance speeds back followed by cars.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS742 	01:23:35,00 --> 01:23:40,50 	someone follows him into a file room.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS778 	01:29:49,00 --> 01:29:57,50 	following his gaze she finds the cat lying just outside the door with its head cut off.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS877 	01:37:45,00 --> 01:37:49,50 	someone follows.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS932 	01:43:35,00 --> 01:43:41,50 	as she wheels it out of view someone follows.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1092 	01:54:37,00 --> 01:54:45,50 	someone stares after him with a furrowed brow then reluctantly follows with a slight limp.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1134 	01:58:35,00 --> 01:58:43,50 	someone follows and turns on a light revealing a torture chamber with a white tiled center.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1207 	02:07:58,00 --> 02:08:06,50 	she follows him down a hill peering ahead with a determined gaze.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1243 	02:11:28,00 --> 02:11:33,50 	she follows him into the living room.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1256 	02:12:15,00 --> 02:12:21,50 	followed by a tall young man who shuts the railing gate.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1321 	02:20:13,00 --> 02:20:19,50 	someone heads out a back door and someone follows.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS229 	01:14:49,00 --> 01:14:55,50 	he picks up his briefcase and follows the man through the partition doors.
THE_SITTER.srt 	THE_SITTER_DVS78 	00:42:10,00 --> 00:42:20,50 	someone looks at a framed photo of his father, someone, and their young son, then punches in another four-digit code, followed by the pound key.
THE_SITTER.srt 	THE_SITTER_DVS81 	00:43:44,00 --> 00:43:49,50 	someone follows him back into the showroom.
THE_SITTER.srt 	THE_SITTER_DVS91 	00:48:44,00 --> 00:48:50,50 	later, the silver sedan follows the minivan down.
THE_SITTER.srt 	THE_SITTER_DVS142 	01:13:44,00 --> 01:13:50,50 	as she follows the kids upstairs, someone heads to the door.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS67 	00:17:22,00 --> 00:17:27,50 	they pass under a bridge followed by a small motor boat.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS86 	00:26:36,00 --> 00:26:47,50 	someone grins and follows someone outside into an alley.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS114 	00:36:00,00 --> 00:36:11,50 	someone follows someone in.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS189 	01:16:15,00 --> 01:16:20,50 	at an intersection, he turns and follows the noise.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS211 	01:25:53,00 --> 01:25:58,50 	harvard's boat follows.
THE_VOW.srt 	THE_VOW_DVS219 	00:28:10,00 --> 00:28:17,50 	someone follows his wife.
THE_VOW.srt 	THE_VOW_DVS485 	01:08:47,00 --> 01:08:52,50 	someone hurries back into his car and he follows.
THE_VOW.srt 	THE_VOW_DVS569 	01:18:22,00 --> 01:18:30,50 	someone looks down at someone, who sprawls on the floor with a bleeding nose, then follows someone outside.
THE_VOW.srt 	THE_VOW_DVS640 	01:28:56,00 --> 01:29:02,50 	someone and a young woman follow the sidewalk in front of his apartment building.
THE_VOW.srt 	THE_VOW_DVS701 	01:37:43,00 --> 01:37:47,50 	he follows her gaze skyward.
THE_WATCH.srt 	THE_WATCH_DVS257 	00:48:17,00 --> 00:48:22,50 	someone slips through, followed by someone.
THE_WATCH.srt 	THE_WATCH_DVS341 	00:59:46,00 --> 00:59:52,50 	at night, the guys follow someone to his front door.
THE_WATCH.srt 	THE_WATCH_DVS372 	01:05:22,00 --> 01:05:28,50 	someone follows them into the basement stairwell, locking the door behind him.
THE_WATCH.srt 	THE_WATCH_DVS415 	01:14:43,00 --> 01:14:49,50 	in someone's basement, someone turns to see someone and someone following someone inside.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS420 	01:36:43,00 --> 01:36:51,50 	following the bartender's gaze, someone sees a woman at the end of the bar.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS472 	01:46:37,00 --> 01:46:43,50 	as he glances at someone, some patrons follow his gaze.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS473 	01:46:44,00 --> 01:46:49,50 	someone follows her outside.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS116 	00:20:25,00 --> 00:20:30,50 	she struts pass him and he follows.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS520 	01:29:28,00 --> 01:29:35,50 	with a tearful smile, she gestures someone to follow her as she goes over to her son.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS523 	01:29:44,00 --> 01:29:50,50 	he follows with a hopeful gaze.
THOR.srt 	THOR_DVS107 	00:16:06,00 --> 00:16:11,50 	as his friends follow, someone glances at someone.
THOR.srt 	THOR_DVS124 	00:18:16,00 --> 00:18:21,50 	someone sighs as he follows someone and the others.
THOR.srt 	THOR_DVS334 	00:49:48,00 --> 00:49:52,50 	and follows her friends.
THOR.srt 	THOR_DVS588 	01:30:41,00 --> 01:30:52,50 	they follow someone toward the city passing someone, still encased in ice with his face frozen in a scream.
THOR.srt 	THOR_DVS681 	01:41:23,00 --> 01:41:29,50 	someone glances at someone then turns and follows someone.
THOR.srt 	THOR_DVS682 	01:41:31,00 --> 01:41:36,50 	someone stands motionless then slowly follows the others.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS66 	00:08:12,00 --> 00:08:16,50 	and someone follows the guys.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS397 	00:43:12,00 --> 00:43:16,50 	and follows his gaze to the wing.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS235 	00:21:57,00 --> 00:22:01,50 	someone follows the boy outside.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS306 	00:32:00,00 --> 00:32:07,50 	as someone heads off, someone follows.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS461 	00:56:28,00 --> 00:56:37,50 	someone shakes someone's hand, then follows someone out.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS484 	00:59:50,00 --> 00:59:58,50 	the producer follows his gaze and sneers.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS543 	01:12:46,00 --> 01:13:01,50 	as someone follows her off the dance floor, someone brushes a strand of hair away from her face.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS110 	00:17:54,00 --> 00:17:58,50 	he follows someone upstairs.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS120 	00:20:13,00 --> 00:20:19,50 	the real estate agent follows him up a set of stairs set into a hillside.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS137 	00:24:27,00 --> 00:24:35,50 	now the family's suv drives through the neighborhood, followed by a mayflower moving truck.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS324 	00:52:32,00 --> 00:52:44,50 	they follow someone across the property.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS382 	01:00:29,00 --> 01:00:36,50 	he follows her outside.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS523 	01:20:31,00 --> 01:20:38,50 	later, someone takes the little girl upstairs, followed by someone and someone.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS525 	01:20:39,00 --> 01:20:45,50 	someone follows at a leisurely swagger, his sketchbook in hand.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS548 	01:24:22,00 --> 01:24:27,50 	someone follows him upstairs.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS607 	01:31:45,00 --> 01:31:49,50 	more images follow.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS615 	01:32:11,00 --> 01:32:16,50 	more images follow.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS673 	01:38:46,00 --> 01:38:51,50 	someone and someone follow worriedly.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS773 	01:50:29,00 --> 01:50:33,50 	the others follow him.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS776 	01:50:44,00 --> 01:50:49,50 	someone, someone, and someone follow suit.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS251 	00:33:51,00 --> 00:33:56,50 	she leaves and someone follows her out.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS458 	01:04:28,00 --> 01:04:34,50 	following him, someone drops her high heels and loses the button-down shirt.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS639 	01:28:40,00 --> 01:28:46,50 	leaving someone, someone follows him across the dance floor.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS224 	00:17:08,00 --> 00:17:15,50 	someone leads them through a doorway, followed by the parade of lingerie-clad women.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS228 	00:17:24,00 --> 00:17:35,50 	wearing a black someone ensemble of bra, panties, and garter belt, she breezes past a bouncer, who follows her dutifully into the casino and shuts the door.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS275 	00:22:03,00 --> 00:22:08,50 	a few yards behind them, mactaggert follow
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS681 	01:02:02,00 --> 01:02:07,50 	as he strides to the window, someone follows.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS906 	01:23:03,00 --> 01:23:10,50 	now as the russian cargo ship glides over the ocean, someone's sub follows underwater.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1015 	01:31:32,00 --> 01:31:37,50 	someone and the other mutants follow him inside.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1127 	01:41:12,00 --> 01:41:17,50 	followed by four tail fins.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1273 	01:54:43,00 --> 01:54:52,50 	our view follows the rockets.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS296 	00:57:04,00 --> 00:57:09,50 	a black sedan slowly follows her as she turns a corner.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS303 	00:58:13,00 --> 00:58:18,50 	later, someone follows her mother, hedda, into her home.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS361 	01:09:14,00 --> 01:09:20,50 	someone follows someone through a doorway then up several steps.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS394 	01:16:39,00 --> 01:16:44,50 	someone shuts the door then follows her into his bedroom.
ZOMBIELAND.srt 	ZOMBIELAND_DVS133 	00:11:40,00 --> 00:11:45,50 	the young man follows him down into the ditch.
ZOMBIELAND.srt 	ZOMBIELAND_DVS219 	00:23:51,00 --> 00:23:56,50 	someone follows her toward the back.
ZOMBIELAND.srt 	ZOMBIELAND_DVS263 	00:29:10,00 --> 00:29:19,50 	someone follows, toting their bags.
ZOMBIELAND.srt 	ZOMBIELAND_DVS375 	00:42:40,00 --> 00:42:46,50 	someone follows someone's gaze to someone.
ZOMBIELAND.srt 	ZOMBIELAND_DVS510 	00:59:19,00 --> 00:59:26,50 	someone shoots a glance back then follows.
ZOMBIELAND.srt 	ZOMBIELAND_DVS541 	01:03:34,00 --> 01:03:42,50 	now the hollywood sign shows in the distance as the hummer follows a boulevard past an old tank and some rubble.
ZOMBIELAND.srt 	ZOMBIELAND_DVS655 	01:13:49,00 --> 01:13:57,50 	a zombie follows close behind.
ZOOKEEPER.srt 	ZOOKEEPER_DVS208 	00:47:04,00 --> 00:47:12,50 	someone follows, now wearing a yellow polo.
ZOOKEEPER.srt 	ZOOKEEPER_DVS382 	01:25:06,00 --> 01:25:14,50 	as she leaves the dealership, the band follows.
ZOOKEEPER.srt 	ZOOKEEPER_DVS403 	01:29:15,00 --> 01:29:22,50 	he follows someone over to the wall.
