21_JUMP_STREET.srt 	21_JUMP_STREET_DVS87 	00:11:40,00 --> 00:11:44,50 	stepping inside.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS512 	01:13:04,00 --> 01:13:09,50 	two robed figures stepped through an archway.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS643 	01:25:29,00 --> 01:25:35,50 	the robed manager steps out of the hotel and gazes ahead at the canal.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS50 	00:11:50,00 --> 00:11:55,50 	someone steps away.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS76 	00:17:24,00 --> 00:17:39,50 	as someone pretends to resume his homework, a pleased someone steps out.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS133 	00:29:44,00 --> 00:29:52,50 	stepping into a doorway, he sees someone hunched over paperwork in an office across the hall.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS398 	01:16:47,00 --> 01:16:59,50 	as the teen accepts it the principal pats him on the arm and steps away.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS81 	00:15:53,00 --> 00:16:20,50 	with a grin, he steps to the side dragging his foot and tracking a long smear.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS122 	00:24:30,00 --> 00:24:35,50 	standing, he steps before her.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS139 	00:27:35,00 --> 00:27:39,50 	he steps in close.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS246 	00:48:02,00 --> 00:48:09,50 	in the bathroom, someone steps out of the shower, tucking a towel around his waist.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS258 	00:49:15,00 --> 00:49:20,50 	he steps up to the doors.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS339 	01:03:23,00 --> 01:03:29,50 	the couple steps out back and wanders through a festive picnic.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS400 	01:15:40,00 --> 01:15:47,50 	as he unlocks the door, he steps in close and leans his face toward hers.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS425 	01:20:09,00 --> 01:20:18,50 	now, she steps out wrapped tightly in a bathrobe.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS585 	01:45:52,00 --> 01:46:00,50 	they step up to the bars.
THE_CALL.srt 	THE_CALL_DVS120 	00:09:18,00 --> 00:09:24,50 	the intruder rushes to it and steps onto a small balcony.
THE_CALL.srt 	THE_CALL_DVS867 	01:05:51,00 --> 01:05:56,50 	she steps forward, her jaw hanging slack.
THE_CALL.srt 	THE_CALL_DVS975 	01:14:53,00 --> 01:15:00,50 	someone hesitantly steps down the hall and inspects the underground structure.
THE_CALL.srt 	THE_CALL_DVS985 	01:15:41,00 --> 01:15:49,50 	as she steps forward, the woman cautiously puts out a hand and lightly leans on a dingy wooden partition.
THE_CALL.srt 	THE_CALL_DVS997 	01:16:30,00 --> 01:16:36,50 	someone steps farther into the space and fixes her gaze.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS104 	00:18:46,00 --> 00:18:52,50 	indoors, three figures step into view in a long corridor.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS137 	00:23:11,00 --> 00:23:17,50 	someone steps away, picks up a skimmer, and scoops some of the leaves out.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS238 	00:37:51,00 --> 00:37:59,50 	getting to his feet, the older man steps away from the table in his beige knee socks and sandals.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS307 	00:46:42,00 --> 00:46:48,50 	catching his breath, he smooths his graying hair and steps away.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS378 	00:57:59,00 --> 00:58:04,50 	someone steps out.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS421 	01:04:22,00 --> 01:04:28,50 	someone steps out from a bathroom and shuts off the light.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS750 	01:44:47,00 --> 01:44:53,50 	someone steps out, her eyes puffy and red.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS69 	00:05:33,00 --> 00:05:39,50 	as someone steps further in, she shuts the door.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS115 	00:11:15,00 --> 00:11:20,50 	she steps back out onto the sidewalk.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS128 	00:13:22,00 --> 00:13:26,50 	she steps away.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS193 	00:24:12,00 --> 00:24:17,50 	he steps around her and she sets down her bag.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS209 	00:25:46,00 --> 00:25:53,50 	he steps away from the train and waves to a driver waiting outside a taxi.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS228 	00:27:22,00 --> 00:27:29,50 	later, he steps out front with a grocery bag and a cigarette hanging from his mouth.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS245 	00:28:57,00 --> 00:29:04,50 	gunnar grabs one of many file boxes from his cart then steps inside.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS313 	00:37:58,00 --> 00:38:09,50 	now, someone hurries out of the office and steps into an elevator.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS353 	00:42:27,00 --> 00:42:32,50 	she steps into the cottage and he closes the door.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS446 	00:52:49,00 --> 00:52:53,50 	someone steps closer.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS501 	00:56:43,00 --> 00:56:49,50 	someone reaches the staircase and someone steps back inside.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS527 	00:59:34,00 --> 00:59:40,50 	she steps through the french doors into the bedroom.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS564 	01:02:41,00 --> 01:02:45,50 	later, he steps out onto a balcony overlooking the historic parade route.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS777 	01:29:45,00 --> 01:29:50,50 	with a cigarette between his lips he steps outside.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS828 	01:34:35,00 --> 01:34:43,50 	stepping closer to the postings he examines a photograph in a newspaper article about gottfried's death.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS860 	01:36:21,00 --> 01:36:26,50 	she steps away to reveal the camera's aim at the door.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS959 	01:46:24,00 --> 01:46:30,50 	as the manager steps away the visitor selects a catalog card.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1055 	01:52:15,00 --> 01:52:19,50 	stepping into the center of the study
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1117 	01:57:18,00 --> 01:57:23,50 	he steps out from behind the island.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1143 	01:59:21,00 --> 01:59:29,50 	someone steps away setting his gun on a monitor displaying a feed from the video camera.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1198 	02:07:20,00 --> 02:07:30,50 	stepping outside someone spots its headlights over a ridge.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1260 	02:12:33,00 --> 02:12:37,50 	he steps out.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1312 	02:19:37,00 --> 02:19:44,50 	as someone wheels someone into the hall someone steps inside,
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1359 	02:26:03,00 --> 02:26:12,50 	later, in her posh disguise someone steps out of a rolls royce.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS90 	00:30:21,00 --> 00:30:26,50 	someone steps up to the hotel's front desk.
THE_SITTER.srt 	THE_SITTER_DVS16 	00:08:20,00 --> 00:08:25,50 	answering a phone, she steps away.
THE_SITTER.srt 	THE_SITTER_DVS94 	00:49:00,00 --> 00:49:09,50 	up ahead someone's former schoolmate steps out of the minivan with a group of guys.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS64 	00:16:51,00 --> 00:17:03,50 	someone's attorney steps away.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS64 	00:16:51,00 --> 00:17:03,50 	someone's attorney steps out.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS216 	01:27:58,00 --> 01:28:02,50 	someone steps away.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS292 	01:47:52,00 --> 01:47:59,50 	they step inside, shining their flashlights.
THE_VOW.srt 	THE_VOW_DVS242 	00:30:45,00 --> 00:30:50,50 	someone steps away from the mirror.
THE_VOW.srt 	THE_VOW_DVS438 	01:02:04,00 --> 01:02:10,50 	as he steps away, someone beams after him.
THE_VOW.srt 	THE_VOW_DVS645 	01:29:33,00 --> 01:29:37,50 	he steps closer.
THE_VOW.srt 	THE_VOW_DVS695 	01:36:34,00 --> 01:36:39,50 	grinning, she steps closer.
THE_WATCH.srt 	THE_WATCH_DVS70 	00:08:13,00 --> 00:08:18,50 	someone steps out of his vehicle and shuts the door.
THE_WATCH.srt 	THE_WATCH_DVS199 	00:36:19,00 --> 00:36:23,50 	they step off the road.
THE_WATCH.srt 	THE_WATCH_DVS477 	01:25:51,00 --> 01:25:56,50 	he steps onto the wet basement floor.
THE_WATCH.srt 	THE_WATCH_DVS481 	01:26:07,00 --> 01:26:12,50 	someone steps out and someone lowers his weapon.
THE_WATCH.srt 	THE_WATCH_DVS483 	01:26:47,00 --> 01:26:54,50 	someone steps out and fires.
THE_WATCH.srt 	THE_WATCH_DVS495 	01:28:21,00 --> 01:28:30,50 	with someone still stepping on his throat, someone reaches up through the young man's gym shorts and grabs hold of his genitals.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS57 	00:14:40,00 --> 00:14:48,50 	someone steps up to the register.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS235 	00:59:13,00 --> 00:59:20,50 	as someone steps down the hall, someone flips through her collection of record albums.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS237 	00:59:33,00 --> 00:59:36,50 	stepping back,
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS275 	01:15:33,00 --> 01:15:38,50 	he steps close, offering a glass.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS501 	01:52:03,00 --> 01:52:10,50 	stepping out of one, someone brings a tray to his friends and their significant others.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS510 	01:53:20,00 --> 01:53:27,50 	she trudges away and the customer steps up.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS83 	00:14:10,00 --> 00:14:15,50 	he steps away from the suv.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS163 	00:31:27,00 --> 00:31:32,50 	he steps aside with his hands in his pockets.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS515 	01:28:39,00 --> 01:28:46,50 	as someone steps away, someone shyly approaches his ex who waits for him in a doorway.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS518 	01:28:58,00 --> 01:29:05,50 	leaning against the door frame, she steps forward and extends a hand.
THOR.srt 	THOR_DVS105 	00:15:45,00 --> 00:15:51,50 	someone steps past someone and glares at someone.
THOR.srt 	THOR_DVS109 	00:16:23,00 --> 00:16:31,50 	someone steps onto a dayus behind them and slides his sword into a slot on the floor.
THOR.srt 	THOR_DVS138 	00:20:19,00 --> 00:20:25,50 	thick spikes of ice form over frost giants fists as they step out of hiding.
THOR.srt 	THOR_DVS270 	00:36:17,00 --> 00:36:24,50 	a man with short brown hair and wearing a black suit steps out.
THOR.srt 	THOR_DVS382 	00:57:12,00 --> 00:57:17,50 	a large agent steps out and punches someone to the ground.
THOR.srt 	THOR_DVS399 	00:59:47,00 --> 00:59:53,50 	an agent steps up and handcuffs someone, who offers no resistance.
THOR.srt 	THOR_DVS408 	01:02:23,00 --> 01:02:31,50 	as he steps out of the mirrored room and into the main command center, someone appears in front of someone.
THOR.srt 	THOR_DVS417 	01:05:05,00 --> 01:05:10,50 	an agent steps into the interrogation room.
THOR.srt 	THOR_DVS479 	01:18:16,00 --> 01:18:23,50 	the faceless guardian made of ribbed armor, the destroyer, steps forward.
THOR.srt 	THOR_DVS581 	01:29:58,00 --> 01:30:04,50 	stepping out of a car, agent someone approaches someone.
THOR.srt 	THOR_DVS606 	01:32:34,00 --> 01:32:41,50 	someone steps away, then rises into the sky with the other asgardians in a streak of light.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS25 	00:03:05,00 --> 00:03:13,50 	the muscle-bound someone steps out.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS252 	00:32:45,00 --> 00:32:50,50 	with a frightened look, he steps out and stares at a sleeping cat.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS377 	00:41:15,00 --> 00:41:20,50 	he throws amnesia dust then steps inside.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS415 	00:44:47,00 --> 00:44:53,50 	someone wears his earphones as he steps into the living room,
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS466 	00:50:12,00 --> 00:50:19,50 	now, someone's footprints appear on a carpet as he steps into a den.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS533 	00:58:43,00 --> 00:58:49,50 	he halts just outside and the father steps closer.
TRUE_GRIT.srt 	TRUE_GRIT_DVS392 	01:19:08,00 --> 01:19:14,50 	a figure steps out from behind a thicket with his back to her.
TRUE_GRIT.srt 	TRUE_GRIT_DVS584 	01:41:15,00 --> 01:41:21,50 	the train stops and she steps down onto a railway platform,
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS44 	00:07:10,00 --> 00:07:14,50 	the waiter steps away.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS54 	00:08:38,00 --> 00:08:42,50 	the cat steps on it.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS254 	00:24:08,00 --> 00:24:14,50 	she clutches a branch for balance as he steps outside, flossing.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS556 	01:14:12,00 --> 01:14:18,50 	someone steps back into the elevator.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS566 	01:15:10,00 --> 01:15:14,50 	he steps inside and kisses her.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS171 	00:29:40,00 --> 00:29:46,50 	one of the tigers steps past two others lounging in the grass.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS197 	00:33:47,00 --> 00:33:52,50 	he steps down from the porch.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS361 	00:58:22,00 --> 00:58:26,50 	someone steps closer.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS521 	01:20:26,00 --> 01:20:31,50 	she pats his hand and steps away.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS640 	01:34:27,00 --> 01:34:34,50 	as someone steps away, our view drifts closer to the touching memorial
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS727 	01:44:27,00 --> 01:44:33,50 	he fills someone's and someone's whisky glasses, then steps away.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS52 	00:03:48,00 --> 00:03:58,50 	a strikingly handsome man steps out naked, covering his genitals with a dishrag.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS94 	00:08:14,00 --> 00:08:22,50 	she steps out of the shower, obscured by steam, bends over her open notebook, and adds the name to the list.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS221 	00:28:21,00 --> 00:28:26,50 	she steps closer, averting her gaze.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS236 	00:31:23,00 --> 00:31:29,50 	someone rolls her eyes in a good-humored sneer, then steps away.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS359 	00:52:35,00 --> 00:52:41,50 	moments later, she casually steps out, pretending to read a book.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS396 	00:57:21,00 --> 00:57:27,50 	behind her, a neighbor steps out of an apartment with his dog.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS592 	01:20:28,00 --> 01:20:35,50 	now someone's apartment door opens and she steps out carrying a white garment bag.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS734 	01:06:44,00 --> 01:06:52,50 	the young man lowers his arm as she steps through the window with someone and the cyclone-maker.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS773 	01:09:19,00 --> 01:09:23,50 	he steps in close to someone and removes the marker.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS830 	01:16:03,00 --> 01:16:09,50 	someone steps out and closes a heavy-duty hatch.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1016 	01:31:35,00 --> 01:31:40,50 	someone steps past toppled workstations.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1221 	01:49:06,00 --> 01:49:14,50 	as the point of someone's tail nears beast's left eye, someone steps out of the sub.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1304 	01:57:32,00 --> 01:57:39,50 	gripping the chain, she steps backward.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS153 	00:27:32,00 --> 00:27:37,50 	someone smiles as someone steps away from the table.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS215 	00:40:20,00 --> 00:40:26,50 	she steps up to a dark-haired employee writing on a clipboard.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS247 	00:47:05,00 --> 00:47:10,50 	the red-haired guitarist steps up to the microphone.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS263 	00:50:15,00 --> 00:50:19,50 	someone steps next to someone.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS272 	00:52:35,00 --> 00:52:40,50 	a short-haired man steps out of the house.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS335 	01:04:59,00 --> 01:05:03,50 	someone steps away.
ZOMBIELAND.srt 	ZOMBIELAND_DVS141 	00:12:20,00 --> 00:12:25,50 	as he steps away, someone swipes another snack cake.
ZOMBIELAND.srt 	ZOMBIELAND_DVS231 	00:25:18,00 --> 00:25:23,50 	he gravely steps forward, accepting the weapon.
ZOMBIELAND.srt 	ZOMBIELAND_DVS433 	00:49:37,00 --> 00:49:43,50 	and shifts around in his oxford shoes then steps off.
ZOOKEEPER.srt 	ZOOKEEPER_DVS83 	00:16:08,00 --> 00:16:18,50 	a lion steps out.
ZOOKEEPER.srt 	ZOOKEEPER_DVS101 	00:21:09,00 --> 00:21:14,50 	lion steps away.
ZOOKEEPER.srt 	ZOOKEEPER_DVS237 	00:54:11,00 --> 00:54:16,50 	venom steps a little closer to someone.
ZOOKEEPER.srt 	ZOOKEEPER_DVS347 	01:17:54,00 --> 01:18:14,50 	stepping into the corridor, he slides the door closed and starts.
ZOOKEEPER.srt 	ZOOKEEPER_DVS371 	01:22:54,00 --> 01:23:00,50 	stepping closer, shane rests his stick on his shoulder.
ZOOKEEPER.srt 	ZOOKEEPER_DVS406 	01:29:36,00 --> 01:29:41,50 	meanwhile, someone steps out of her apartment.
ZOOKEEPER.srt 	ZOOKEEPER_DVS431 	01:33:45,00 --> 01:33:51,50 	someone steps up beside him.
