21_JUMP_STREET.srt 	21_JUMP_STREET_DVS70 	00:07:48,00 --> 00:07:55,50 	pulling out in front of the bearded bikers, someone gets off his bike and draws his gun.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS161 	00:53:28,00 --> 00:53:33,50 	someone pulls away from him.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS198 	01:00:41,00 --> 01:00:47,50 	as she pulls the robe off her other shoulder she looks up and
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS225 	01:06:11,00 --> 01:06:24,50 	at the firm, someone pulls two tickets from his pocket then faces a young coworker.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS235 	01:08:12,00 --> 01:08:26,50 	she pulls off her t-shirt and smiles at him in her amply filled black bra.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS351 	01:39:07,00 --> 01:39:14,50 	then pulls the laptop closer.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS85 	00:18:58,00 --> 00:19:02,50 	she pulls a slip of paper from her bra.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS211 	00:41:28,00 --> 00:41:32,50 	she pulls a hunk of wax from her ear.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS340 	01:05:56,00 --> 01:06:03,50 	he pulls a dress off its hanger then takes a pair of shoes, a purse, and jewelry.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS418 	01:17:58,00 --> 01:18:04,50 	now, a car pulls up across the street from a neighborhood restaurant.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS33 	00:03:39,00 --> 00:03:59,50 	the jeep pulls up to a small two-story brick building.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS125 	00:21:37,00 --> 00:21:50,50 	she picks up a ribbon and pulls one end through the other with a dissatisfied pout.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS139 	00:24:38,00 --> 00:24:45,50 	someone nibbles her neck, then pulls her in for another passionate kiss.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS184 	00:34:49,00 --> 00:34:54,50 	someone pulls her unto his lap, and kisses her.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS343 	01:05:20,00 --> 01:05:25,50 	someone pulls out documents.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS396 	01:17:00,00 --> 01:17:07,50 	now in queens, someone writes in her blog, as someone pulls on his jacket.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS428 	01:23:31,00 --> 01:23:37,50 	someone poses, pulling the sewn flaps of the duck together.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS583 	01:54:42,00 --> 01:54:50,50 	later she pulls a golden dough wrapped loaf from the even.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS606 	01:57:14,00 --> 01:57:20,50 	opening her purse, she pulls out a pound of butter, and shows to the portrait.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS626 	01:58:51,00 --> 01:58:57,50 	she pulls out a hardcover copy of her book.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS224 	01:17:36,00 --> 01:17:43,50 	now a hybrid car pulls up to a dilapidated outdoor barbecue restaurant.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS348 	01:49:49,00 --> 01:50:00,50 	grinning, someone pulls him close.
KARATE_KID.srt 	KARATE_KID_DVS322 	00:28:55,00 --> 00:29:02,50 	someone crosses to a window separating the lobby from the house, pulls a curtain aside, and peers through.
KARATE_KID.srt 	KARATE_KID_DVS470 	00:41:37,00 --> 00:42:00,50 	someone races through a set of double doors in a six-foot-high wall, then pulls them shut.
KARATE_KID.srt 	KARATE_KID_DVS505 	00:45:15,00 --> 00:45:37,50 	he pulls the young kicker in, uses him as a shield against the tall boy, then flips the younger into a trash barrel.
KARATE_KID.srt 	KARATE_KID_DVS522 	00:47:22,00 --> 00:47:30,50 	someone extinguishes his bowl of flames and pulls the heated cups from someone's side.
KARATE_KID.srt 	KARATE_KID_DVS683 	00:58:27,00 --> 00:58:33,50 	scowling, someone obediently pulls the jacket off his shoulders and arms.
KARATE_KID.srt 	KARATE_KID_DVS853 	01:10:22,00 --> 01:10:30,50 	he pulls the garment down, flings it to the ground, then picks it up and whirls it around his shoulders.
KARATE_KID.srt 	KARATE_KID_DVS1212 	01:39:15,00 --> 01:39:22,50 	someone stares at the photo, then pulls a stack of rumpled snapshots out of the glove box.
KARATE_KID.srt 	KARATE_KID_DVS1241 	01:41:33,00 --> 01:41:37,50 	he glances at someone, who pulls on the poles.
KARATE_KID.srt 	KARATE_KID_DVS1271 	01:42:55,00 --> 01:43:02,50 	later, he pulls someone forward, the boys hands crooked into snake-like hooks.
KARATE_KID.srt 	KARATE_KID_DVS1272 	01:43:00,00 --> 01:43:07,50 	now, the student grips the poles, allowing his teacher to pull his arms upward.
KARATE_KID.srt 	KARATE_KID_DVS1410 	01:53:51,00 --> 01:53:57,50 	the official pulls the fighting someone off the defeated boy.
KARATE_KID.srt 	KARATE_KID_DVS1445 	01:57:33,00 --> 01:57:40,50 	the referee pulls someone ping aside, and someone's pounding fist hits the mat.
KARATE_KID.srt 	KARATE_KID_DVS1570 	02:07:24,00 --> 02:07:50,50 	someone pulls his fist back, extending his flattened hand forward.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS295 	01:09:53,00 --> 01:09:58,50 	someone pulls off one of someone's boots.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS309 	01:11:21,00 --> 01:11:27,50 	a woman pulls a sheer wig cap over someone's scalp.
KNOCKED_UP.srt 	KNOCKED_UP_DVS63 	00:39:29,00 --> 00:39:34,50 	now someone pulls into the driveway of the rental house.
KNOCKED_UP.srt 	KNOCKED_UP_DVS75 	00:43:57,00 --> 00:44:01,50 	someone pulls away.
KNOCKED_UP.srt 	KNOCKED_UP_DVS76 	00:44:28,00 --> 00:44:34,50 	someone sits on the bed and pulls someone down beside her.
KNOCKED_UP.srt 	KNOCKED_UP_DVS78 	00:45:19,00 --> 00:45:28,50 	pulling away slightly.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS130 	00:44:53,00 --> 00:45:01,50 	our view pulls back through the broken window of a british phone booth.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS192 	01:09:17,00 --> 01:09:24,50 	she pulls one of the eggs from the mound and clear goo drips from its bottom.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS249 	01:29:01,00 --> 01:29:08,50 	someone pulls away, cupping someone's head in her hand.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS53 	00:15:56,00 --> 00:16:01,50 	she pulls into a space in the parking lot.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS270 	01:04:55,00 --> 01:05:00,50 	he raps against the trunk, the cab pulls away.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS285 	01:08:00,00 --> 01:08:23,50 	chain swings from someone's pocket as he pulls his bag over his shoulder.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS194 	00:25:28,00 --> 00:25:35,50 	someone winces and someone pulls someone against her as someone remains completely still.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS195 	00:25:33,00 --> 00:25:40,50 	with the goat now on the other side of the bars, someone pulls it back toward his cage.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS254 	00:33:24,00 --> 00:33:30,50 	the sailors pull someone away from the crazy-eyed cook.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS275 	00:36:50,00 --> 00:36:57,50 	someone quickly pulls himself into his bunk as his mother rolls over.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS311 	00:39:23,00 --> 00:39:31,50 	someone hangs onto the door frame and tries futilely to pull himself into his family's quarters.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS565 	01:02:54,00 --> 01:02:59,50 	he pulls the boat close.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS759 	01:18:30,00 --> 01:18:38,50 	he reaches into a yellow pouch tied around his waist and pulls out a slab of fish.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS801 	01:22:01,00 --> 01:22:07,50 	he pulls a flare gun from his survival pack and checks the chamber.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS872 	01:28:05,00 --> 01:28:19,50 	he stares into the sky with a huge smile then pulls himself to a crouching position on the bench.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS886 	01:29:31,00 --> 01:29:38,50 	someone glances behind him and pulls himself up, then crawls to his feet at the bow.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS887 	01:29:36,00 --> 01:29:45,50 	up ahead, the violent ocean surface pulls the raft farther from the boat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS931 	01:32:51,00 --> 01:32:57,50 	he holds his hand still for a moment then pulls away.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1046 	01:43:49,00 --> 01:43:56,50 	underwater, his feet graze the sand as he pulls the boat to shore.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS88 	00:33:49,00 --> 00:34:00,50 	later, they pull up to the new house where some construction workers take a break in the yard.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS181 	01:03:28,00 --> 01:03:32,50 	someone pulls him aside.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS209 	01:15:11,00 --> 01:15:16,50 	straining with effort, he pulls himself up.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS253 	01:23:42,00 --> 01:23:47,50 	pulled over, someone kicks his leg back and hits again to a bouncy castle.
MORNING_GLORY.srt 	MORNING_GLORY_DVS18 	00:02:52,00 --> 00:02:58,50 	someone drives through dark streets and pulls into a car park.
MORNING_GLORY.srt 	MORNING_GLORY_DVS198 	00:44:31,00 --> 00:44:35,50 	she pulls the door closed.
MORNING_GLORY.srt 	MORNING_GLORY_DVS205 	00:47:03,00 --> 00:47:11,50 	suddenly, someone pulls back.
MORNING_GLORY.srt 	MORNING_GLORY_DVS217 	00:48:32,00 --> 00:48:38,50 	she pulls open the doors of the 21 club in manhattan.
MORNING_GLORY.srt 	MORNING_GLORY_DVS222 	00:49:31,00 --> 00:49:37,50 	it pulls up outside an apartment building.
MORNING_GLORY.srt 	MORNING_GLORY_DVS362 	01:19:59,00 --> 01:20:04,50 	then pulls a face.
MORNING_GLORY.srt 	MORNING_GLORY_DVS378 	01:22:51,00 --> 01:22:57,50 	an ibs van pulls up and she runs to it.
MORNING_GLORY.srt 	MORNING_GLORY_DVS381 	01:24:08,00 --> 01:24:11,50 	they pull up.
MORNING_GLORY.srt 	MORNING_GLORY_DVS392 	01:25:51,00 --> 01:25:56,50 	squad cars pull up outside the mansion.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS150 	00:22:00,00 --> 00:22:06,50 	he pulls up security footage of someone tossing the penguin down the hallway.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS204 	00:30:15,00 --> 00:30:25,50 	later, a cab pulls up outside.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS459 	00:54:19,00 --> 00:54:25,50 	at a nearby table, he pulls a chair out for someone.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS471 	00:56:31,00 --> 00:56:37,50 	falling back he pulls someone down with him.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS566 	01:06:35,00 --> 01:06:41,50 	someone backs into the apartment and pulls the terrace door shut.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS595 	01:10:30,00 --> 01:10:35,50 	opening it, he pulls out a letter and reads.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS645 	01:18:25,00 --> 01:18:33,50 	someone grabs it and pulls it through the bars of the gate.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS700 	01:27:02,00 --> 01:27:09,50 	someone wraps his arm around his daughter, and someone pulls her son in close.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS150 	00:33:58,00 --> 00:34:04,50 	his feet flail in the air, they flop over and he pulls himself out.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS251 	00:52:13,00 --> 00:52:33,50 	she admiringly sets the lid aside, reaches into the rosy tissue paper, and pulls out a graceful pale pink slipper.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS252 	00:52:33,00 --> 00:52:52,50 	someone pulls out some brown velveteen pants and a crisp white blouse, both neatly folded.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS378 	01:19:59,00 --> 01:20:04,50 	someone pulls someone aside.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS436 	01:30:49,00 --> 01:30:57,50 	someone and someone pull an iv bottle of pink fluid from their medical bag.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS132 	00:21:24,00 --> 00:21:30,50 	someone turns away someone sits on her bed and pulls on his jeans.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS141 	00:23:28,00 --> 00:23:34,50 	he lays her on her back, gets on top of her, and pulls off her robe.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS409 	01:15:55,00 --> 01:15:59,50 	in someone's bedroom, he pulls a chair up for her.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS527 	01:38:12,00 --> 01:38:17,50 	someone cups her hands around the back of someone's neck and pulls him closer.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS558 	01:42:01,00 --> 01:42:08,50 	in a sunny park, someone pulls someone close and they kiss passionately,
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS37 	00:08:29,00 --> 00:08:35,50 	the wavy haired man pulls his wife across the patio and kisses her.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS60 	00:14:36,00 --> 00:14:43,50 	she pulls them all into a hug.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS60 	00:14:36,00 --> 00:14:43,50 	the taxi pulls into the driveway.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS85 	00:22:41,00 --> 00:22:49,50 	someone clings to someone as someone struggles to pull her away.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS91 	00:24:36,00 --> 00:24:42,50 	pulling them from a toaster oven, someone tosses them to someone.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS108 	00:28:07,00 --> 00:28:21,50 	now the family suv pulls up outside another school.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS118 	00:30:44,00 --> 00:30:50,50 	someone pulls up and faces her through the window.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS308 	01:12:30,00 --> 01:12:41,50 	someone pulls someone into the bathroom.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS318 	01:15:36,00 --> 01:15:42,50 	someone twirls her then pulls her close for a picture.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS326 	01:17:38,00 --> 01:17:43,50 	as the officer looks under the car a taxi pulls up.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS76 	00:19:34,00 --> 00:20:19,50 	someone pulls out the horn tip and stabs the charging beast in the chest.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS164 	00:36:14,00 --> 00:36:21,50 	then pulls someone's sword from her grasp and turns its blade against the back of her neck.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS191 	00:46:54,00 --> 00:47:00,50 	a greyhound bus pulls over at a deserted stop.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS211 	00:53:57,00 --> 00:54:05,50 	as someone reaches for his sword, someone kicks it away, hauls him to his feet and pulls him close.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS242 	01:04:32,00 --> 01:04:40,50 	later someone drags the janitor across the polished floor, pulling him behind a line of columns.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS288 	01:11:53,00 --> 01:12:01,50 	below the pickup pulls into an extravagantly lit drop-off area with limos and taxis.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS363 	01:29:42,00 --> 01:29:47,50 	which grows longer as he pulls it out.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS385 	01:35:22,00 --> 01:35:31,50 	the lightning thief pulls out his sword.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS394 	01:36:35,00 --> 01:36:41,50 	someone scrambles to his backpack and pulls out his own pair of flying sneakers.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS468 	01:51:54,00 --> 01:52:05,50 	we keep pulling back until our view encompasses the entire clearing, the surrounding forest and the lakeshore, which meanders off into the distance.
PROMETHEUS.srt 	PROMETHEUS_DVS92 	00:05:24,00 --> 00:05:30,50 	a woman pulls more rock away increasing its size.
PROMETHEUS.srt 	PROMETHEUS_DVS103 	00:06:11,00 --> 00:06:19,50 	holloway pulls a plastic curtain aside and his female colleague steps through with a flashlight.
PROMETHEUS.srt 	PROMETHEUS_DVS116 	00:07:01,00 --> 00:07:07,50 	holloway pulls off his fur trimmed hat.
PROMETHEUS.srt 	PROMETHEUS_DVS285 	00:28:14,00 --> 00:28:20,50 	the transport pulls out alongside two atvs.
PROMETHEUS.srt 	PROMETHEUS_DVS294 	00:29:07,00 --> 00:29:12,50 	the survey vehicles pull up around the dome and park.
PROMETHEUS.srt 	PROMETHEUS_DVS341 	00:33:17,00 --> 00:33:26,50 	holloway unlatches his helmet then bends over and pulls it off.
PROMETHEUS.srt 	PROMETHEUS_DVS341 	00:33:17,00 --> 00:33:26,50 	straightening he inhales deeply and pulls off his skullcap.
PROMETHEUS.srt 	PROMETHEUS_DVS431 	00:43:46,00 --> 00:44:00,50 	he makes it over to holloway and helps him pull someone back into a recess made by the forked landing strut.
PROMETHEUS.srt 	PROMETHEUS_DVS433 	00:44:06,00 --> 00:44:13,50 	he lifts a remote control and the line pulls them back towards the open door in the ship.
PROMETHEUS.srt 	PROMETHEUS_DVS434 	00:44:12,00 --> 00:44:23,50 	a crew member helps pull them on board.
PROMETHEUS.srt 	PROMETHEUS_DVS534 	00:59:20,00 --> 00:59:26,50 	reaching down, someone pulls holloway's shirt up his torso, revealing his toned sun-kissed back.
PROMETHEUS.srt 	PROMETHEUS_DVS590 	01:05:56,00 --> 01:06:03,50 	as the transport pulls out, someone rides beside it on an atv.
PROMETHEUS.srt 	PROMETHEUS_DVS777 	01:23:34,00 --> 01:23:44,50 	the forceps slowly pull the creature out.
PROMETHEUS.srt 	PROMETHEUS_DVS808 	01:26:41,00 --> 01:26:52,50 	as the men escape into a transport, the mutant lodges a metal tool into ones back and pulls him out.
PROMETHEUS.srt 	PROMETHEUS_DVS937 	01:42:48,00 --> 01:42:53,50 	she pulls herself up, then finds her path blocked for certain.
PROMETHEUS.srt 	PROMETHEUS_DVS1025 	01:51:42,00 --> 01:51:49,50 	in the lifeboat, the engineer snarls at the creature pulling him ever closer.
PROMETHEUS.srt 	PROMETHEUS_DVS1029 	01:51:58,00 --> 01:52:04,50 	it pulls him close, then lowers itself on top of him.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS19 	00:02:46,00 --> 00:03:13,50 	they each pull out a gun and using the spools to conceal them, pass them to the young inmate and man sitting next to him.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS67 	00:11:35,00 --> 00:11:40,50 	trigger handle and pulls out a coil.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS195 	00:37:03,00 --> 00:37:13,50 	later, the pierce-arrow pulls up to a curb.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS222 	00:41:19,00 --> 00:41:24,50 	pulling out.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS225 	00:41:39,00 --> 00:41:46,50 	outside, two agents pull their car up as their superior exits the building.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS253 	00:47:39,00 --> 00:47:50,50 	he pulls away.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS258 	00:48:44,00 --> 00:49:19,50 	later, he opens a window and pulls the sheer curtains closed.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS358 	01:08:27,00 --> 01:08:46,50 	a tan car pulls to a stop, and someone and someone climb out.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS361 	01:09:06,00 --> 01:09:11,50 	he pulls out his machine gun.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS392 	01:15:32,00 --> 01:15:44,50 	on the far side of the square, a policeman pulls up on a motorcycle.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS400 	01:17:30,00 --> 01:17:55,50 	with its doors still open, the car pulls out of the town square leaving the hostages lying helplessly in the street.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS403 	01:18:30,00 --> 01:18:38,50 	as baby face pulls the car to a halt, someone addresses him with a frown.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS615 	01:55:48,00 --> 01:55:54,50 	now, someone pulls up to a building with polly.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS31 	00:04:47,00 --> 00:05:01,50 	chalice castle, france, 1199 a.d. now, with his hood pulled off his
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS45 	00:09:52,00 --> 00:09:57,50 	she pulls the sheet over the girl's face.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS270 	01:04:56,00 --> 01:04:59,50 	he pulls out a pigeon.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS282 	01:07:07,00 --> 01:07:41,50 	someone's silhouette pulls another layer off over her head, leaving her clad only in her chamois.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS341 	01:23:21,00 --> 01:23:42,50 	the frenchman advances, pulling his hood back.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS447 	01:51:24,00 --> 01:51:29,50 	someone sees a cart arriving, pulled by her clydesdales.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS503 	02:05:50,00 --> 02:06:03,50 	someone pulls her closer and her helmet falls off revealing a leather
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS505 	02:06:05,00 --> 02:06:15,50 	he pulls away and strokes her face.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS203 	00:34:03,00 --> 00:34:09,50 	someone pulls back, his brow knitted emotionally.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS229 	00:35:28,00 --> 00:35:34,50 	from the top of her dress, someone pulls out panties and twirls them on her finger.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS284 	00:44:24,00 --> 00:44:30,50 	he holds his brother's gaze then pulls the door shut.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS394 	01:03:11,00 --> 01:03:15,50 	he pulls out the manuscript.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS483 	01:13:29,00 --> 01:13:33,50 	someone pulls someone away.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS522 	01:21:19,00 --> 01:21:23,50 	he pulls in his chair.
SALT.srt 	SALT_DVS130 	00:24:10,00 --> 00:24:20,50 	pulls the pin from a gas canister.
SALT.srt 	SALT_DVS185 	00:32:13,00 --> 00:32:22,50 	back in the present, she walks down a sidewalk, a knit cap pulled over her hair.
SALT.srt 	SALT_DVS254 	00:43:39,00 --> 00:44:13,50 	someone crosses to a window, pulls the drapes aside a few inches and peers out.
SANCTUM.srt 	SANCTUM_DVS151 	00:31:41,00 --> 00:31:49,50 	he sits heavily beside his son, pulls the cork from his tequila bottle, and takes a swig.
SANCTUM.srt 	SANCTUM_DVS200 	00:44:54,00 --> 00:45:05,50 	someone rushes to a floating body bag and gently pulls it open to reveal someone' lifeless face.
SANCTUM.srt 	SANCTUM_DVS211 	00:46:41,00 --> 00:46:49,50 	pulling him into the light, someone finds someone's face pulverized beyond recognition.
SANCTUM.srt 	SANCTUM_DVS237 	00:50:43,00 --> 00:51:01,50 	someone swims into view, pulling at the rocks beneath him.
SANCTUM.srt 	SANCTUM_DVS271 	00:55:08,00 --> 00:55:17,50 	on to the rocky bank, he pulls of an elastic band strapping a flashlight to his arm and turns on his helmet's secondary light.
SANCTUM.srt 	SANCTUM_DVS282 	00:56:45,00 --> 00:57:00,50 	stepping away, someone reaches into his supply pack and pulls out a knife with a six inch blade.
SANCTUM.srt 	SANCTUM_DVS387 	01:16:41,00 --> 01:16:47,50 	pulling someone close, he hugs him.
SANCTUM.srt 	SANCTUM_DVS390 	01:17:03,00 --> 01:17:08,50 	shifting his jaw, someone pulls away.
SANCTUM.srt 	SANCTUM_DVS438 	01:23:25,00 --> 01:23:29,50 	someone pulls himself onto the ledge.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS163 	00:12:10,00 --> 00:12:20,50 	now, someone's hand gingerly pulls open a large black leather satchel and finds the items within encased in clear plastic bags.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS167 	00:12:24,00 --> 00:12:30,50 	digging deeper in the satchel, she pulls out a dark gray garment.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS171 	00:12:36,00 --> 00:12:41,50 	next, she pulls out a manuscript.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS216 	00:15:19,00 --> 00:15:24,50 	her mother grabs her hand and pulls her forward.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS395 	00:26:20,00 --> 00:26:26,50 	someone tries to pull it away, but he holds tight.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS399 	00:26:40,00 --> 00:26:45,50 	someone tries to pull it away but he holds firm.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS999 	01:05:18,00 --> 01:05:25,50 	staring off, she shifts her attention to the traffic ahead and pulls her car forward.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1068 	01:12:09,00 --> 01:12:18,50 	as someone stares tensely, someone seizes the club owner's head and pulls him into a long, sensual kiss.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1282 	01:27:25,00 --> 01:27:30,50 	she pulls it out.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1300 	01:29:56,00 --> 01:30:03,50 	looking down, she pulls out a small brass key with a circular toggle
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS252 	00:50:38,00 --> 00:50:49,50 	opening it, he pulls a canvas bag from compartment, reaches inside, and pulls out a roll of muslin.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS252 	00:50:38,00 --> 00:50:49,50 	opening it, he pulls a canvas bag from compartment, reaches inside, and pulls out a roll of muslin.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS399 	01:23:51,00 --> 01:24:02,50 	a winch reels in the chain, pulling him free.
