21_JUMP_STREET.srt 	21_JUMP_STREET_DVS84 	00:11:25,00 --> 00:11:34,50 	getting out with him, someone reads a sign at the entrance printed in korean and english.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS235 	00:31:17,00 --> 00:31:26,50 	wearing a t-shirt that reads "free licks," someone looks down at the sandwich, then takes an enormous bite.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS359 	00:52:35,00 --> 00:52:41,50 	moments later, she casually steps out, pretending to read a book.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS495 	01:10:33,00 --> 01:10:40,50 	she picks up a cell phone and reads a string of text messages starting with someone's phone number.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS501 	01:11:07,00 --> 01:11:13,50 	he hops on the couch, then grabs a magazine from a coffee table and starts to read.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS288 	00:22:44,00 --> 00:22:49,50 	it reads, "caspartina, miami."
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS318 	00:24:18,00 --> 00:24:26,50 	he plunges the knife at someone, who disarms him, pins his wrist on the table, and reads an inscription on the blade "blood and honor".
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS495 	00:45:20,00 --> 00:45:36,50 	emerging on a blanket of clouds, his gaze sweeps from three girls, to a man reading a book, to a dark-skinned girl with white hair.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS29 	00:03:13,00 --> 00:03:17,50 	it reads "look who's arrived.
ZOMBIELAND.srt 	ZOMBIELAND_DVS36 	00:03:27,00 --> 00:03:34,50 	zombies accost a man wearing a sandwich board that reads, the end is near.
ZOMBIELAND.srt 	ZOMBIELAND_DVS42 	00:03:49,00 --> 00:03:55,50 	with a crowbar, a man smashes a window that reads, zombieland.
ZOMBIELAND.srt 	ZOMBIELAND_DVS357 	00:40:55,00 --> 00:40:59,50 	someone reads a billboard.
ZOMBIELAND.srt 	ZOMBIELAND_DVS407 	00:46:38,00 --> 00:46:46,50 	a sign reads, stop contagion.
ZOMBIELAND.srt 	ZOMBIELAND_DVS510 	00:59:19,00 --> 00:59:26,50 	later, he reads a label by candlelight.
ZOOKEEPER.srt 	ZOOKEEPER_DVS46 	00:07:49,00 --> 00:07:56,50 	that night, a banner hanging over a party over the zoo reads, congratulations.
ZOOKEEPER.srt 	ZOOKEEPER_DVS354 	01:19:19,00 --> 01:19:24,50 	which reads, the eagles have landed.
