21_JUMP_STREET.srt 	21_JUMP_STREET_DVS57 	00:06:00,00 --> 00:06:04,50 	they pass a joint around.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1071 	01:36:47,00 --> 01:36:52,50 	the jet barrel rolls for it to pass over.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1094 	01:38:50,00 --> 01:38:56,50 	trapdoors swing open, giving the mutants a view of the passing sea below.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS349 	01:07:26,00 --> 01:07:32,50 	she passes a rack of items resembling teddy bears then rows of pink dresses.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS357 	01:08:10,00 --> 01:08:15,50 	carrying a plate of food, someone passes someone.
ZOMBIELAND.srt 	ZOMBIELAND_DVS127 	00:11:05,00 --> 00:11:14,50 	someone passes through a break in the guard rail and peers into the steep ditch.
ZOMBIELAND.srt 	ZOMBIELAND_DVS198 	00:20:59,00 --> 00:21:05,50 	as he passes the zombie, he bashes her with his door.
ZOMBIELAND.srt 	ZOMBIELAND_DVS400 	00:45:41,00 --> 00:45:46,50 	they pass the california border.
ZOMBIELAND.srt 	ZOMBIELAND_DVS401 	00:45:53,00 --> 00:45:59,50 	later on a highway, the hummer passes a welcome to los angeles sign.
ZOMBIELAND.srt 	ZOMBIELAND_DVS406 	00:46:17,00 --> 00:46:21,50 	later, they pass theaters in hollywood.
ZOMBIELAND.srt 	ZOMBIELAND_DVS668 	01:14:34,00 --> 01:14:40,50 	someone fires his shotgun as he passes zombies.
ZOMBIELAND.srt 	ZOMBIELAND_DVS677 	01:15:06,00 --> 01:15:15,50 	bobbing his head at the sheet covered prop, he passes the closet and heads into a room resembling a dingy cellar.
ZOOKEEPER.srt 	ZOOKEEPER_DVS109 	00:22:46,00 --> 00:22:51,50 	a couple passes by.
