21_JUMP_STREET.srt 	21_JUMP_STREET_DVS32 	00:03:46,00 --> 00:03:50,50 	someone lifts the former nerd.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS571 	01:03:29,00 --> 01:03:34,50 	she lifts her miserable gaze.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1140 	01:59:09,00 --> 01:59:17,50 	handcuffs and chains prevent him from lifting his hands any higher than his abdomen.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1166 	02:04:44,00 --> 02:04:49,50 	he clutches the neck brace, lifting someone.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1169 	02:05:09,00 --> 02:05:16,50 	someone flips a switch and a cable lifts someone a few feet off the floor.
THE_SITTER.srt 	THE_SITTER_DVS9 	00:06:37,00 --> 00:06:41,50 	she lifts her brows.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS178 	01:10:11,00 --> 01:10:16,50 	lifts his chin.
THE_VOW.srt 	THE_VOW_DVS74 	00:06:35,00 --> 00:06:42,50 	she lifts her gaze and sees her handsome companion standing outside in the pouring rain.
THE_VOW.srt 	THE_VOW_DVS159 	00:16:32,00 --> 00:16:39,50 	someone lifts her hand and stares at the gold rope designed wedding ring on her finger.
THE_VOW.srt 	THE_VOW_DVS482 	01:08:30,00 --> 01:08:37,50 	someone lifts both her feet and her upper body dunks up to her chin.
THE_VOW.srt 	THE_VOW_DVS700 	01:37:40,00 --> 01:37:46,50 	she nods then lifts her eyes to the falling snow.
THE_WATCH.srt 	THE_WATCH_DVS104 	00:14:15,00 --> 00:14:20,50 	he lifts the top off another one and grins.
THE_WATCH.srt 	THE_WATCH_DVS474 	01:25:32,00 --> 01:25:40,50 	someone lifts the metal grate off the floor.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS64 	00:16:45,00 --> 00:16:54,50 	steadying himself on someone, someone lifts his leg and shoots the ball with one hand.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS103 	00:30:01,00 --> 00:30:07,50 	he self-consciously lifts a finger signaling her to wait.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS148 	00:39:03,00 --> 00:39:08,50 	lifting her brow, she drinks innocently.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS150 	00:39:35,00 --> 00:39:40,50 	he lifts his wine glass.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS343 	01:24:37,00 --> 01:24:45,50 	a gentle breeze lifts someone's hair as she watches a tall, handsome man exit the porsche.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS461 	01:45:31,00 --> 01:45:37,50 	someone lifts his glistening eyes to hers.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS489 	01:49:57,00 --> 01:50:01,50 	someone lifts his brow at someone.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS35 	00:04:32,00 --> 00:04:38,50 	he takes it then lifts his gaze to the helipad.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS59 	00:08:12,00 --> 00:08:19,50 	lifting her face from the towel, someone sees someone and someone.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS69 	00:12:03,00 --> 00:12:10,50 	entering his bachelor pad, someone lifts his gaze to the swimmer.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS354 	01:04:16,00 --> 01:04:33,50 	she straddles his thighs as he lifts her onto the kitchen island.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS355 	01:04:34,00 --> 01:04:42,50 	someone lifts someone's dress off over her head.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS369 	01:08:23,00 --> 01:08:30,50 	someone closes his eyes and lifts his brow then returns to the living room.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS395 	01:11:21,00 --> 01:11:30,50 	as someone lifts someone up onto a console table, he discreetly removes the bug from the lamp and throws it on the floor.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS407 	01:13:08,00 --> 01:13:13,50 	she lifts her son onto her lap.
THOR.srt 	THOR_DVS503 	01:22:20,00 --> 01:22:26,50 	someone lifts children into the back of a pickup truck as the destroyer walk into town.
THOR.srt 	THOR_DVS569 	01:28:51,00 --> 01:28:59,50 	lifting its head, the destroyer fires again, but someone flies into storm clouds swirling in the sky.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS236 	00:31:22,00 --> 00:31:27,50 	he lifts the tube to his lips.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS277 	00:34:25,00 --> 00:34:29,50 	he lifts it.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS327 	00:38:11,00 --> 00:38:23,50 	in the center of the rink, someone raises his arms to the crowd and lifts a gloved hand to his ear.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS381 	00:41:26,00 --> 00:41:33,50 	now, someone lifts a pillow and the head of the child sleeping on it, takes the tooth, and tosses down a dollar.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS409 	00:44:25,00 --> 00:44:29,50 	someone lifts his brow.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS448 	00:47:33,00 --> 00:47:37,50 	the boy lifts his brow expectantly.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS689 	01:16:14,00 --> 01:16:19,50 	someone brightly lifts his brow and cocks his head.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS699 	01:17:18,00 --> 01:17:25,50 	his teammates cheer and someone's dad lifts the boy in his arms.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS719 	01:19:33,00 --> 01:19:40,50 	his brow lifted, he eyes the people filling the stands all around him.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS728 	01:20:21,00 --> 01:20:29,50 	in slow motion, someone's wings give a powerful flap and his skates lift off the ice.
TRUE_GRIT.srt 	TRUE_GRIT_DVS420 	01:22:14,00 --> 01:22:19,50 	he sneers and lifts his gaze.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS184 	00:13:53,00 --> 00:13:58,50 	someone haughtily lifts her chin.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS588 	01:18:25,00 --> 01:18:30,50 	as it fades, she lifts her eyes to his.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS42 	00:06:50,00 --> 00:06:55,50 	the silver-haired editor lifts his brow.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS68 	00:12:20,00 --> 00:12:27,50 	entering the room, someone gently lifts his son's hand and takes the book.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS82 	00:13:14,00 --> 00:13:24,50 	later in a bathroom, he dabs his mouth with a towel and wipes his hands, then lifts his eyes to a mirror above the 	sink.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS99 	00:16:13,00 --> 00:16:20,50 	now, someone lifts the camera as they cruise past a tudor-style house.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS183 	00:32:36,00 --> 00:32:41,50 	he lifts his eyes and earnestly meets her gaze.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS274 	00:44:06,00 --> 00:44:13,50 	someone screws her mouth to one side, lifts her brow, and tilts her head.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS281 	00:44:43,00 --> 00:44:50,50 	he lifts the lid to reveal a writhing tangle of intertwined snakes.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS319 	00:52:11,00 --> 00:52:15,50 	someone lifts his brow.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS380 	01:00:20,00 --> 01:00:27,50 	then lifts his eyes to the tables where his staff members drink and chat.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS387 	01:01:15,00 --> 01:01:25,50 	lifting his head, he looks over and finds her swirling her fingers over the flashlight, as she stares at the sky with a 	dreamy expression.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS399 	01:03:09,00 --> 01:03:17,50 	pulling it on, he lifts his eyes to a framed black-and-white photo of his wife on the dresser.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS420 	01:06:49,00 --> 01:06:56,50 	he lifts his excited gaze to someone.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS456 	01:11:19,00 --> 01:11:24,50 	she lifts her brow high.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS504 	01:17:58,00 --> 01:18:02,50 	someone lifts her brow.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS714 	01:43:02,00 --> 01:43:09,50 	facing someone, the inspector lifts his brow, smirks, and marks the report.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS739 	01:45:32,00 --> 01:45:38,50 	the pretty teen puts down her work, kneels at the window, and lifts the sash.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS782 	01:51:21,00 --> 01:51:29,50 	with crystal perched on his shoulder, someone lifts a boy off the tree and sets him on the ground.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS824 	01:55:29,00 --> 01:55:38,50 	she lifts her brow in an impressed look.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS837 	01:57:42,00 --> 01:57:53,50 	someone lifts her brow in an expectant look and someone 	smiles.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS839 	01:58:02,00 --> 01:58:09,50 	as the pretty brunette lifts her gaze to his, he watches with longing eyes.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS57 	00:04:44,00 --> 00:04:52,50 	as she reaches the other side, our view lifts to the densely packed skyscrapers lining the street.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS223 	00:28:26,00 --> 00:28:32,50 	he lifts the dishrag covering his genitals and dabs at his mouth.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS341 	00:50:05,00 --> 00:50:09,50 	he lifts the guitar.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS337 	00:25:30,00 --> 00:25:36,50 	someone laughs and lifts her arms as he finishes.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS398 	00:33:30,00 --> 00:33:39,50 	in the water, someone lifts his arms.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS515 	00:47:22,00 --> 00:47:29,50 	sitting on a bench inside, a brawny young man with blonde hair lifts his gaze.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS524 	00:48:06,00 --> 00:48:12,50 	they approach the troubled man as he lifts a cigar to his lips.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS541 	00:50:44,00 --> 00:50:49,50 	he grins at the others, then lifts his head out.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS575 	00:54:14,00 --> 00:54:21,50 	lifting a hatch, they peer into the cab, where someone sits beside someone.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS615 	00:57:32,00 --> 00:57:40,50 	someone directs a gate to lift and sprints underneath.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS696 	01:02:57,00 --> 01:03:02,50 	someone lifts him by the throat.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS850 	01:17:42,00 --> 01:17:49,50 	now as someone does bench presses, the barbell lifts out of her hands.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS935 	01:26:21,00 --> 01:26:27,50 	someone lifts his gaze to his and frown
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1066 	01:36:30,00 --> 01:36:36,50 	on the russian ship, an officer suddenly lifts his head.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1129 	01:41:17,00 --> 01:41:23,50 	someone shakes from the strain of lifting the vessel.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS286 	00:55:32,00 --> 00:55:36,50 	someone lifts her head.
ZOMBIELAND.srt 	ZOMBIELAND_DVS236 	00:25:35,00 --> 00:25:40,50 	someone lifts the barrel away from the girl.
ZOMBIELAND.srt 	ZOMBIELAND_DVS452 	00:51:57,00 --> 00:52:01,50 	he lifts his wig.
ZOMBIELAND.srt 	ZOMBIELAND_DVS722 	01:18:31,00 --> 01:18:40,50 	he lifts it and the seats descend the tower.
ZOOKEEPER.srt 	ZOOKEEPER_DVS137 	00:29:36,00 --> 00:29:40,50 	someone lifts his hands.
ZOOKEEPER.srt 	ZOOKEEPER_DVS161 	00:36:03,00 --> 00:36:08,50 	the wolf lifts his paw.
ZOOKEEPER.srt 	ZOOKEEPER_DVS325 	01:13:00,00 --> 01:13:06,50 	the corner of his mouth lifts into an.
ZOOKEEPER.srt 	ZOOKEEPER_DVS341 	01:16:24,00 --> 01:16:34,50 	as someone watches expectantly, he lifts his eyes to hers and nods.
