21_JUMP_STREET.srt 	21_JUMP_STREET_DVS120 	00:17:54,00 --> 00:18:02,50 	the captain opens his office window.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS249 	00:43:23,00 --> 00:43:30,50 	someone opens the lobby door and hurries upstairs holding a box of cupcakes.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS250 	00:43:27,00 --> 00:43:32,50 	someone opens the apartment door
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS271 	00:49:06,00 --> 00:49:11,50 	he opens the passenger door for someone
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS273 	00:49:17,00 --> 00:49:23,50 	and then opens the door again, someone smiles - touched.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS508 	01:33:25,00 --> 01:33:31,50 	someone opens his cardigan and puts freckles on the bed.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS548 	01:41:31,00 --> 01:41:38,50 	the door opens and she stares distastefully at an elderly gentleman.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS65 	00:15:50,00 --> 00:15:54,50 	he opens his bag.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS108 	00:28:07,00 --> 00:28:21,50 	as someone hops out and opens the side door, we glimpse a sign.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS203 	00:50:55,00 --> 00:51:03,50 	opening it, he finds someone facing him with a coy smile.
PROMETHEUS.srt 	PROMETHEUS_DVS183 	00:12:41,00 --> 00:12:45,50 	someone opens a pair of doors.
PROMETHEUS.srt 	PROMETHEUS_DVS429 	00:43:32,00 --> 00:43:39,50 	as they take each other's hands amid the whirling shards, an outer door opens on the ship.
PROMETHEUS.srt 	PROMETHEUS_DVS453 	00:47:53,00 --> 00:47:59,50 	the engineer's eyes twitch and open slightly.
PROMETHEUS.srt 	PROMETHEUS_DVS479 	00:50:24,00 --> 00:50:31,50 	opening one,
PROMETHEUS.srt 	PROMETHEUS_DVS722 	01:17:03,00 --> 01:17:09,50 	someone opens her mouth wide in a grief stricken wail.
PROMETHEUS.srt 	PROMETHEUS_DVS736 	01:19:24,00 --> 01:19:29,50 	her mouth opens wide and she doubles over.
PROMETHEUS.srt 	PROMETHEUS_DVS773 	01:23:19,00 --> 01:23:29,50 	someone's mouth opens wide in a pained someone.
PROMETHEUS.srt 	PROMETHEUS_DVS785 	01:24:21,00 --> 01:24:30,50 	the lid slowly opens.
PROMETHEUS.srt 	PROMETHEUS_DVS791 	01:24:48,00 --> 01:24:54,50 	she quickly opens the room's door and hurries out of vickers' life boat.
PROMETHEUS.srt 	PROMETHEUS_DVS805 	01:26:16,00 --> 01:26:28,50 	a door to another corridor opens for her.
PROMETHEUS.srt 	PROMETHEUS_DVS888 	01:38:13,00 --> 01:38:17,50 	it opens.
PROMETHEUS.srt 	PROMETHEUS_DVS912 	01:40:50,00 --> 01:40:58,50 	the center of the disc drops, then rotates counter clockwise and opens for a head and pillar to emerge.
PROMETHEUS.srt 	PROMETHEUS_DVS934 	01:42:34,00 --> 01:42:40,50 	we glimpse the ceiling opening up over the crescent shaped ship.
PROMETHEUS.srt 	PROMETHEUS_DVS944 	01:44:25,00 --> 01:44:35,50 	reaching the escape pods she opens a pod door and grabs a space suit.
PROMETHEUS.srt 	PROMETHEUS_DVS1024 	01:51:41,00 --> 01:51:45,50 	someone opens the air locked doors with her back and hand, then jumps out and lands in a hard roll.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS26 	00:04:30,00 --> 00:04:34,50 	someone opens the steel door.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS200 	00:38:06,00 --> 00:38:16,50 	it opens, revealing a young woman in a demure house dress, her strawberry blonde hair frames her face in a curly someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS258 	00:48:44,00 --> 00:49:19,50 	now, in a hotel room, he opens the suitcase, takes out his someone gun, and cocks it.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS258 	00:48:44,00 --> 00:49:19,50 	later, he opens a window and pulls the sheer curtains closed.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS258 	00:48:44,00 --> 00:49:19,50 	as he opens the door all the way, she seductively slides her hands up the porcelain, out of the water, then lifts one shapely leg and caresses the tub's rim with her foot.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS318 	01:01:17,00 --> 01:01:27,50 	carrying a mop and bucket, he crosses a hallway and waits for another guard to open the door.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS330 	01:02:45,00 --> 01:02:59,50 	as he opens the door, someone shoves him into max and his accomplice hits bryant with his pipe.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS334 	01:03:41,00 --> 01:04:03,50 	with his rifle raised, someone cautiously opens a metal door in the hallway.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS400 	01:17:30,00 --> 01:17:55,50 	with its doors still open, the car pulls out of the town square leaving the hostages lying helplessly in the street.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS430 	01:22:11,00 --> 01:22:21,50 	someone picks up his pocket watch off the nightstand, opens it, and admires a photo of someone on the inside of the cover.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS448 	01:26:06,00 --> 01:26:18,50 	someone stares, stunned, then opens a rear door.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS466 	01:29:11,00 --> 01:29:16,50 	someone kneels and opens fire.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS473 	01:29:47,00 --> 01:29:59,50 	agent hurt opens fire from uphill.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS476 	01:30:17,00 --> 01:30:24,50 	someone opens the heisted car's door for him.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS584 	01:48:50,00 --> 01:48:57,50 	a door opens across the room.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS633 	01:59:18,00 --> 01:59:25,50 	he finishes shaving and opens his pocket watch, eyeing someone's photo and the time.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS638 	02:00:03,00 --> 02:00:38,50 	they find adjacent seats as opening titles appear on the screen featuring the stars' pictures.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS650 	02:02:34,00 --> 02:02:57,50 	blinking back tears, she opens the door and hurries out.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS687 	02:08:50,00 --> 02:09:04,50 	in the visiting room, the door opens.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS690 	02:09:28,00 --> 02:09:43,50 	someone opens a gold cigarette case and briefly thumbs the contents.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS112 	00:28:46,00 --> 00:28:56,50 	he opens it.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS140 	00:35:43,00 --> 00:35:47,50 	his mouth opened as he sleeps.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS269 	01:04:49,00 --> 01:04:57,50 	he opens a hatch on top, then reaches inside.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS424 	01:45:44,00 --> 01:45:47,50 	he struggles to open it.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS504 	02:06:02,00 --> 02:06:06,50 	touches her face and she opens her
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS95 	00:16:42,00 --> 00:16:49,50 	he opens the cabinet, revealing a woman's razor on the shelf.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS115 	00:20:31,00 --> 00:20:39,50 	he opens the drawer, stashing the mysterious woman's items then gently runs his fingertips over them.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS165 	00:28:12,00 --> 00:28:17,50 	opening a drawer, he finds another number.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS283 	00:44:16,00 --> 00:44:21,50 	someone opens the passenger door.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS310 	00:49:09,00 --> 00:49:17,50 	the gate opens automatically, revealing an abundance of shrubs and trees around a driveway.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS315 	00:50:05,00 --> 00:50:12,50 	someone's mom opens a wooden door and leads them pass more lush plant life.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS654 	01:33:56,00 --> 01:34:03,50 	sitting at the desk, he opens a laptop and stares at its screen.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS661 	01:34:56,00 --> 01:35:03,50 	someone opens his new book, the girlfriend.
SALT.srt 	SALT_DVS117 	00:22:06,00 --> 00:22:26,50 	someone opens a janitorial closet and removes a bottle from a cabinet.
SALT.srt 	SALT_DVS229 	00:39:20,00 --> 00:39:44,50 	it opens as it lands and she takes a pad.
SALT.srt 	SALT_DVS258 	00:45:18,00 --> 00:45:43,50 	at the curb, a secret service agent opens a car door.
SALT.srt 	SALT_DVS370 	01:05:52,00 --> 01:06:01,50 	she strides across the room and opens several cases of weapons.
SALT.srt 	SALT_DVS445 	01:16:57,00 --> 01:17:03,50 	and opens it and presses his thumb on a fingerprint scanner inside.
SANCTUM.srt 	SANCTUM_DVS212 	00:46:46,00 --> 00:46:50,50 	the eye opens.
SANCTUM.srt 	SANCTUM_DVS288 	00:57:41,00 --> 00:57:48,50 	someone breaks off muttering and opens his eyes.
SANCTUM.srt 	SANCTUM_DVS336 	01:07:07,00 --> 01:07:16,50 	the veteran caver peers through the opening into another darkened chamber.
SANCTUM.srt 	SANCTUM_DVS339 	01:07:44,00 --> 01:07:52,50 	someone spots a ledge and opening across the cauldron.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS124 	00:08:19,00 --> 00:08:25,50 	now huddled by the window, someone opens the note.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS145 	00:09:42,00 --> 00:09:47,50 	a pretty, young woman opens the window and the girl ducks down.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS275 	00:18:44,00 --> 00:18:50,50 	she opens a fan with writing on it.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS460 	00:30:16,00 --> 00:30:23,50 	now, someone opens a jewelry box drawer and takes out a paper fan.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS502 	00:32:40,00 --> 00:32:50,50 	now, someone pushes open a gate's wooden doors.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS549 	00:36:45,00 --> 00:36:54,50 	the image dissolves to someone as she opens the fan to the many columns of chinese lettering in its folds.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS561 	00:37:36,00 --> 00:37:41,50 	she opens it and begins to read.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS626 	00:41:36,00 --> 00:41:41,50 	someone opens the door, fixing her hair.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS673 	00:44:02,00 --> 00:44:07,50 	someone opens a door and peeks into the room.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS735 	00:48:49,00 --> 00:48:55,50 	mrs. wei opens it, then removes and unfolds a letter.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS768 	00:51:17,00 --> 00:51:24,50 	she produces a key, unlocks a padlock, and opens the box to find an envelope inside.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS790 	00:53:04,00 --> 00:53:09,50 	now, someone opens a wooden gate.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1021 	01:06:43,00 --> 01:06:49,50 	someone crosses to someone's door, opens it, and passes through.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1084 	01:14:15,00 --> 01:14:21,50 	someone opens a heavy pair of wooden doors,
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1178 	01:19:41,00 --> 01:19:47,50 	she opens the fan in a shaft of gentle light and reads.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1324 	01:31:12,00 --> 01:31:18,50 	she slides the key into its lock and pulls open the door.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1332 	01:31:36,00 --> 01:31:42,50 	she opens it, spreading its creased paper panels and finds writing on each one.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1393 	01:34:47,00 --> 01:34:54,50 	someone opens it, revealing the columns of hand-painted characters on its panels.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1408 	01:35:56,00 --> 01:36:00,50 	so she opened a new panel,
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1445 	01:37:58,00 --> 01:38:02,50 	she opens her mouth to speak.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS13 	00:02:49,00 --> 00:02:55,50 	someone opens up a glowing capsule.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS42 	00:08:33,00 --> 00:08:49,50 	the sorcerer opens the lid, revealing the silver-dragon figurine.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS51 	00:10:42,00 --> 00:10:57,50 	someone opens a door in the bricks and slides out someone's ancient spell book.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS115 	00:22:23,00 --> 00:22:43,50 	as he opens the fridge and peeks inside, someone watches from the other room.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS125 	00:24:13,00 --> 00:24:19,50 	open a door and leads the others onto a subway platform.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS202 	00:38:31,00 --> 00:38:35,50 	someone opens the big book.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS252 	00:50:38,00 --> 00:50:49,50 	opening it, he pulls a canvas bag from compartment, reaches inside, and pulls out a roll of muslin.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS274 	00:56:07,00 --> 00:56:12,50 	someone opens his mouth to speak.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS421 	01:29:16,00 --> 01:29:22,50 	she opens her exotic eyes to reveal glowing pupils.
SOUL_SURFER.srt 	SOUL_SURFER_DVS108 	00:37:38,00 --> 00:37:44,50 	someone hurry around to open her door.
SOUL_SURFER.srt 	SOUL_SURFER_DVS176 	00:53:57,00 --> 00:54:07,50 	on a table on a grassy overlook, a man in a suit opens a case to reveal a realistic prosthetic arm.
SOUL_SURFER.srt 	SOUL_SURFER_DVS217 	01:09:41,00 --> 01:09:47,50 	opens his mouth to speak.
SPARKLE_2012.srt 	SPARKLE_2012_DVS38 	00:06:56,00 --> 00:07:07,50 	a young woman wearing a pink nightie and curlers opens the door.
SPARKLE_2012.srt 	SPARKLE_2012_DVS107 	00:17:38,00 --> 00:17:44,50 	she opens the window and props it up with a thick red book.
SPARKLE_2012.srt 	SPARKLE_2012_DVS133 	00:21:43,00 --> 00:21:47,50 	she opens her eyes.
SPARKLE_2012.srt 	SPARKLE_2012_DVS151 	00:26:03,00 --> 00:26:11,50 	she opens the box, revealing a small black and white picture of a ring where the ring should be.
SPARKLE_2012.srt 	SPARKLE_2012_DVS165 	00:27:56,00 --> 00:28:02,50 	as someone opens the door for her, someone looks back at someone.
SPARKLE_2012.srt 	SPARKLE_2012_DVS268 	00:41:41,00 --> 00:41:48,50 	as someone glances at his lilies, sister opens the box to find a diamond ring.
SPARKLE_2012.srt 	SPARKLE_2012_DVS343 	00:56:32,00 --> 00:56:39,50 	as someone leaves, sister opens her compact and lines cocaine on the mirror.
SPARKLE_2012.srt 	SPARKLE_2012_DVS513 	01:22:59,00 --> 01:23:05,50 	someone opens her arms before the packed church.
SPARKLE_2012.srt 	SPARKLE_2012_DVS569 	01:33:36,00 --> 01:33:40,50 	someone opens the door.
SUPER_8.srt 	SUPER_8_DVS79 	00:12:24,00 --> 00:12:30,50 	opening a tackle box holding makeup, someone stands in front of someone.
SUPER_8.srt 	SUPER_8_DVS242 	00:41:20,00 --> 00:41:26,50 	a car salesman opens the hoods of cars missing their engines.
SUPER_8.srt 	SUPER_8_DVS320 	00:57:11,00 --> 00:57:16,50 	someone opens his window for someone who stands outside.
SUPER_8.srt 	SUPER_8_DVS332 	00:59:17,00 --> 00:59:24,50 	sitting in front of a christmas tree, the boy opens presents as the woman puts on her necklace.
SUPER_8.srt 	SUPER_8_DVS398 	01:12:18,00 --> 01:12:24,50 	a soldier griping a rifle opens the door.
SUPER_8.srt 	SUPER_8_DVS416 	01:14:41,00 --> 01:14:47,50 	someone opens the doors revealing film reels and other items.
SUPER_8.srt 	SUPER_8_DVS459 	01:20:55,00 --> 01:21:03,50 	with a furrowed brow the driver glances back at someone then reaches for the handle and opens the bus door.
SUPER_8.srt 	SUPER_8_DVS471 	01:22:22,00 --> 01:22:27,50 	someone tries to open the cell door.
SUPER_8.srt 	SUPER_8_DVS567 	01:34:27,00 --> 01:34:31,50 	someone opens her eyes.
SUPER_8.srt 	SUPER_8_DVS623 	01:41:14,00 --> 01:41:19,50 	someone opens his eyes and steps back.
SUPER_8.srt 	SUPER_8_DVS626 	01:41:32,00 --> 01:41:40,50 	someone stares at the locket which opens revealing a photograph of someone's brunette mother holding someone as a baby.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS60 	00:08:47,00 --> 00:08:54,50 	slipping off his jacket, someone walks into a home office and opens a desk drawer.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS104 	00:14:36,00 --> 00:14:41,50 	someone opens the case and removes the ship.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS114 	00:17:25,00 --> 00:17:32,50 	as someone takes out his key, snowy noses opens open someone's apartment door.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS120 	00:18:13,00 --> 00:18:20,50 	moving to a lamp, someone unscrews the tube, opens it and pulls out a slip of paper.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS189 	00:28:02,00 --> 00:28:08,50 	he shoves the crate against the wall, climbs onto it and opens a porthole.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS191 	00:28:17,00 --> 00:28:23,50 	outside the burly thug tries to open the cargo hold, but the wheel won't turn.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS212 	00:31:10,00 --> 00:31:16,50 	someone opens the cabin door then peers at the captain.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS216 	00:31:39,00 --> 00:31:45,50 	the captain opens his door and punches out the attacker.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS238 	00:36:36,00 --> 00:36:41,50 	he opens the door to a store room filled with liquor bottles.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS269 	00:39:43,00 --> 00:39:51,50 	someone leaps over a railing then ducks between crates as a thug opens fire with a machine gun.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS351 	00:53:43,00 --> 00:53:50,50 	he opens the plane's side door, looks down and shuts the door again.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS352 	00:53:58,00 --> 00:54:04,50 	setting his jaw, someone opens the door and slips outside.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS357 	00:54:30,00 --> 00:54:35,50 	straddling the engine, someone opens the gas tank,
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS367 	00:55:19,00 --> 00:55:26,50 	his parachute opens and drags him backward, but he clings to the plane's tail.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS368 	00:55:23,00 --> 00:55:31,50 	the two pilots jump out of the plane, and, opening parachutes, drift safely onto the sand below.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS397 	00:58:53,00 --> 00:58:58,50 	shutters open along the side of the ship, revealing cannons.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS445 	01:05:02,00 --> 01:05:11,50 	he advances toward the masked red someone, who throws open his cape and swings his sword.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS454 	01:06:23,00 --> 01:06:34,50 	inside the ship sir someone tilts a book in a bookcase, opening a secret compartment in the floor.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS28 	00:06:20,00 --> 00:06:27,50 	as someone faintly smiles, the stairwell door opens.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS57 	00:13:18,00 --> 00:13:26,50 	he opens the door to his dimly lit apartment.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS78 	00:17:44,00 --> 00:17:49,50 	the next day he arrives at school and opens the doors which have been decorated with paper snowflakes.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS251 	00:48:02,00 --> 00:48:08,50 	she opens it and looks in.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS256 	00:49:01,00 --> 00:49:10,50 	someone opens the door and gawks.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS263 	00:50:25,00 --> 00:50:40,50 	sitting alone inside someone brushes her bangs out of her face, then glances at the door as it opens.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS300 	00:57:42,00 --> 00:57:51,50 	she pushes the door open a crack and someone takes a look inside.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS332 	01:04:23,00 --> 01:04:45,50 	he stares at the daunting stack of folders and assignment books for a moment then turns on a lamp and opens up his laptop.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS64 	00:12:18,00 --> 00:12:40,50 	he opens a gate.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS65 	00:12:42,00 --> 00:12:47,50 	someone groggily opens his eyes.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS69 	00:13:45,00 --> 00:13:53,50 	the bounty hunter opens it and finds someone's mugshot.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS186 	00:38:39,00 --> 00:38:45,50 	he opens the driver side door and pops the trunk.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS213 	00:43:12,00 --> 00:43:19,50 	he boards the elevator, presses a button, and snaps open the check from teresa.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS214 	00:43:20,00 --> 00:43:34,50 	later, it opens revealing a disheveled someone clutching a drink.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS227 	00:44:53,00 --> 00:44:58,50 	he drowsily opens his eyes.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS251 	00:48:25,00 --> 00:48:31,50 	as he opens the door, someone lies down and mimes a yawn.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS264 	00:49:53,00 --> 00:50:08,50 	one opens behind her and she hurries aboard, shoes in hand.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS264 	00:49:53,00 --> 00:50:08,50 	another elevator opens and the chiseled thug strides out.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS301 	00:54:44,00 --> 00:54:51,50 	someone sheepishly opens his door and takes his seat at the wheel.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS327 	01:00:04,00 --> 01:00:08,50 	he opens the covered bed.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS397 	01:15:30,00 --> 01:15:36,50 	someone starts to open her mouth, then shakes her head and smiles.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS401 	01:15:50,00 --> 01:15:57,50 	someone opens the door, revealing a narrow four-post bed on a lavender carpet.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS448 	01:22:54,00 --> 01:23:00,50 	meanwhile, at a gas station, someone opens his trunk.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS472 	01:25:55,00 --> 01:26:13,50 	she opens the door, steps inside, and waits briefly.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS472 	01:25:55,00 --> 01:26:13,50 	now, she opens a door to a wood-paneled entry way.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS480 	01:26:50,00 --> 01:27:05,50 	she undoes the lock, opens the door, and finds someone inside.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS496 	01:29:31,00 --> 01:29:37,50 	outside, someone shoots the lock of someone's trunk and opens it.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS534 	01:37:16,00 --> 01:37:23,50 	someone opens a nearby gate.
THE_CALL.srt 	THE_CALL_DVS109 	00:08:20,00 --> 00:08:32,50 	the intruder walks down the upstairs hall and opens one of the doors.
THE_CALL.srt 	THE_CALL_DVS144 	00:11:40,00 --> 00:11:47,50 	she opens a door marked quiet room and bursts in on a lounging coworker.
THE_CALL.srt 	THE_CALL_DVS186 	00:15:02,00 --> 00:15:06,50 	she opens them and exhales.
THE_CALL.srt 	THE_CALL_DVS277 	00:24:26,00 --> 00:24:33,50 	opening her eyes, the dazed teen faces the interior of a car's trunk.
THE_CALL.srt 	THE_CALL_DVS466 	00:36:00,00 --> 00:36:14,50 	the kidnapper drives along as someone pries open a paint can with a screw driver.
THE_CALL.srt 	THE_CALL_DVS654 	00:50:51,00 --> 00:50:56,50 	he rushes back around the car and opens the gas cap.
THE_CALL.srt 	THE_CALL_DVS667 	00:52:04,00 --> 00:52:11,50 	to the right of the hood, the attendant opens boxes of motor oil with a box cutter.
THE_CALL.srt 	THE_CALL_DVS904 	01:09:47,00 --> 01:09:53,50 	our view spies on her through an inner door opened a crack.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS29 	00:05:44,00 --> 00:05:52,50 	now a round-faced woman with long, black hair opens its door.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS108 	00:19:00,00 --> 00:19:06,50 	it opens, revealing a sleepy, disheveled teen.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS296 	00:45:11,00 --> 00:45:19,50 	he opens one door for them.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS423 	01:04:33,00 --> 01:04:40,50 	now, someone opens a door and steps into the suite's dark living room.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS557 	01:22:26,00 --> 01:22:33,50 	the real estate agent obediently opens the screen door.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS616 	01:30:54,00 --> 01:31:00,50 	opening the door a crack, someone peeks back into the room.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS708 	01:39:00,00 --> 01:39:06,50 	as the door opens, someone peers over her shoulder and sees a woman entering,
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS718 	01:40:14,00 --> 01:40:20,50 	someone opens his mouth as if to speak, then shrugs his hands.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS729 	01:42:55,00 --> 01:43:01,50 	with a nod, someone opens the door for her.
