21_JUMP_STREET.srt 	21_JUMP_STREET_DVS54 	00:05:43,00 --> 00:05:48,50 	a boy defiantly holds out torn bread.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS230 	00:43:09,00 --> 00:43:13,50 	someone holds up her fork.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS279 	00:54:24,00 --> 00:54:29,50 	now someone holds up a glass of wine.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS288 	00:56:35,00 --> 00:56:42,50 	on a platform, someone waits next to someone, holding yellow flowers.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS314 	01:01:28,00 --> 01:01:35,50 	someone follows, wearing a simple wedding dress, and holding her father's arm.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS422 	01:22:13,00 --> 01:22:17,50 	they hold a paper heart.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS465 	01:30:06,00 --> 01:30:12,50 	later she sits at a bar with someone, holding a half-drunk martini.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS48 	00:13:41,00 --> 00:13:49,50 	her smile vanishes as she holds it up.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS104 	00:38:44,00 --> 00:38:55,50 	a boy holding a soda cup runs out in front of them.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS185 	01:05:09,00 --> 01:05:16,50 	someone holds her crying brother in her arms.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS193 	01:08:55,00 --> 01:09:00,50 	later, someone holds someone.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS208 	01:12:59,00 --> 01:13:04,50 	he jumps in the water, dunks her and holds her under.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS250 	01:26:19,00 --> 01:26:25,50 	he holds his hand over an elderly woman.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS270 	01:29:15,00 --> 01:29:21,50 	later, each couple holds a coconut between them.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS273 	01:29:59,00 --> 01:30:05,50 	someone's chin holds the coconut at someone's crotch.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS279 	01:30:46,00 --> 01:30:52,50 	someone and someone hold their coconut between their necks.
KARATE_KID.srt 	KARATE_KID_DVS70 	00:05:52,00 --> 00:06:01,50 	in an airport, a statue shows four serpentine dragons holding up a globe.
KARATE_KID.srt 	KARATE_KID_DVS73 	00:06:08,00 --> 00:06:13,50 	a woman holds a sign in english.
KARATE_KID.srt 	KARATE_KID_DVS208 	00:17:49,00 --> 00:18:02,50 	the girl bends down toward him, but the shorthaired boy holds her back.
KARATE_KID.srt 	KARATE_KID_DVS252 	00:22:34,00 --> 00:22:44,50 	in a cafeteria, someone holds a combination tray and bowl in one hand.
KARATE_KID.srt 	KARATE_KID_DVS367 	00:32:29,00 --> 00:32:35,50 	one booth holds huge stacks of watermelons.
KARATE_KID.srt 	KARATE_KID_DVS478 	00:43:09,00 --> 00:43:20,50 	as someone doubles over, the two boys holding him straighten him back up.
KARATE_KID.srt 	KARATE_KID_DVS486 	00:43:57,00 --> 00:44:03,50 	one of someone's friends holds him back.
KARATE_KID.srt 	KARATE_KID_DVS504 	00:45:08,00 --> 00:45:17,50 	he blocks a strike and holds a tall boy against his body.
KARATE_KID.srt 	KARATE_KID_DVS512 	00:46:35,00 --> 00:46:43,50 	someone holds a cotton ball between chopsticks, and lights it on fire.
KARATE_KID.srt 	KARATE_KID_DVS513 	00:46:40,00 --> 00:46:50,50 	someone holds a glass cup over the flaming cotton ball.
KARATE_KID.srt 	KARATE_KID_DVS516 	00:46:55,00 --> 00:47:04,50 	grabbing another, he briefly holds the flame inside it, then places it on someone's skin, next to the first bulb-shaped cup.
KARATE_KID.srt 	KARATE_KID_DVS600 	00:52:32,00 --> 00:52:37,50 	he holds his arm across mr.
KARATE_KID.srt 	KARATE_KID_DVS616 	00:53:11,00 --> 00:53:16,50 	someone holds master someone's gaze.
KARATE_KID.srt 	KARATE_KID_DVS655 	00:55:23,00 --> 00:55:35,50 	on his skateboard, someone holds on to the container bouquet and catches a ride.
KARATE_KID.srt 	KARATE_KID_DVS716 	00:59:56,00 --> 01:00:03,50 	now, in the courtyard, someone holds an umbrella over someone as the boy takes off his jacket,
KARATE_KID.srt 	KARATE_KID_DVS740 	01:02:36,00 --> 01:02:44,50 	a metal stand holds an umbrella above someone's head as the boy mechanically takes off his jacket,
KARATE_KID.srt 	KARATE_KID_DVS785 	01:06:03,00 --> 01:06:07,50 	someone holds a cd.
KARATE_KID.srt 	KARATE_KID_DVS828 	01:08:46,00 --> 01:08:52,50 	the performance screen shows puppets of the goddess and her lover holding hands.
KARATE_KID.srt 	KARATE_KID_DVS857 	01:10:35,00 --> 01:10:41,50 	he holds it under a spigot and pumps a handle.
KARATE_KID.srt 	KARATE_KID_DVS882 	01:12:24,00 --> 01:12:31,50 	someone pushes on his crooked arm as someone holds the block.
KARATE_KID.srt 	KARATE_KID_DVS883 	01:12:30,00 --> 01:12:36,50 	someone holds both someone's arms up.
KARATE_KID.srt 	KARATE_KID_DVS970 	01:19:23,00 --> 01:19:32,50 	balancing on one foot, the woman sweeps an arm in an arc behind her head, and holds the other gently crooked before her.
KARATE_KID.srt 	KARATE_KID_DVS1023 	01:23:10,00 --> 01:23:16,50 	someone tips him over the dock's edge and holds him inches from the water.
KARATE_KID.srt 	KARATE_KID_DVS1059 	01:25:48,00 --> 01:25:56,50 	now, someone holds a bamboo staff across his shoulders as he executes moves under someone's command.
KARATE_KID.srt 	KARATE_KID_DVS1060 	01:25:53,00 --> 01:26:10,50 	in clear weather, he holds someone's ankles as the boy does handstand push-ups.
KARATE_KID.srt 	KARATE_KID_DVS1137 	01:34:35,00 --> 01:34:40,50 	she looks back at someone and holds up her pinky.
KARATE_KID.srt 	KARATE_KID_DVS1202 	01:38:11,00 --> 01:38:19,50 	someone holds up a snapshot of the slender young woman posing with her hands on the shoulders of the chubby-cheeked boy.
KARATE_KID.srt 	KARATE_KID_DVS1306 	01:45:29,00 --> 01:45:35,50 	he holds his fists curled up toward his chest.
KARATE_KID.srt 	KARATE_KID_DVS1312 	01:45:51,00 --> 01:46:00,50 	someone hooks the back of his knees over the utility pole pegs, and does suspended sit-ups, as someone holds his feet.
KARATE_KID.srt 	KARATE_KID_DVS1321 	01:46:55,00 --> 01:47:02,50 	the boy holds up one hand, and slowly sweeps it through the air in front of him.
KARATE_KID.srt 	KARATE_KID_DVS1331 	01:47:47,00 --> 01:47:51,50 	he holds it up to himself.
KARATE_KID.srt 	KARATE_KID_DVS1409 	01:53:49,00 --> 01:53:54,50 	his legs hold tight as his opponent writhes.
KARATE_KID.srt 	KARATE_KID_DVS1450 	01:58:05,00 --> 01:58:16,50 	someone holds the mohawk boy in a chokehold, as he wrenches his arm upward.
KARATE_KID.srt 	KARATE_KID_DVS1498 	02:01:46,00 --> 02:01:52,50 	in the arena, the announcer holds a trophy.
KARATE_KID.srt 	KARATE_KID_DVS1526 	02:03:49,00 --> 02:03:55,50 	now, he lifts a match to a cotton ball held in a long pair of tweezers.
KARATE_KID.srt 	KARATE_KID_DVS1532 	02:04:08,00 --> 02:04:16,50 	holding the champion trophy, the announcer leaves someone and someone on the mat, and goes to the judges.
KARATE_KID.srt 	KARATE_KID_DVS1562 	02:06:29,00 --> 02:06:37,50 	holding his gaze, someone exhales through pursed lips, then springs back onto the platform.
KARATE_KID.srt 	KARATE_KID_DVS1574 	02:08:27,00 --> 02:08:33,50 	master someone holds someone's face, peering closely at his nose.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS32 	00:05:38,00 --> 00:05:47,50 	several fans hold up a sign, someone our teenage dream is to meet you.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS49 	00:08:06,00 --> 00:08:14,50 	one woman holds up a sign with a downward arrow, someone cats here.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS130 	00:33:20,00 --> 00:33:27,50 	on stage, someone and several men dance while holding ropes that join them together.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS134 	00:36:31,00 --> 00:36:36,50 	she holds out a cat charm on her necklace.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS196 	00:52:02,00 --> 00:52:10,50 	facing each other, someone and her trainer squat as they hold arms straight out in front.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS197 	00:52:07,00 --> 00:52:13,50 	holding dumb bells, someone performs squats.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS198 	00:52:10,00 --> 00:52:16,50 	later, she and her trainer rest on their forearms as they hold plank positions.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS214 	00:54:52,00 --> 00:54:59,50 	someone wearing a tiara holds his palms together and bows.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS220 	00:55:27,00 --> 00:55:35,50 	people on the ground hold their arms above their heads as they gaze skyward.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS242 	00:58:16,00 --> 00:58:20,50 	someone holds out her hand.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS249 	00:58:46,00 --> 00:58:53,50 	someone holds up an i love japan t-shirt.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS250 	00:58:55,00 --> 00:59:03,50 	a person holds up a drawing of someone, california girls.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS264 	01:02:36,00 --> 01:02:41,50 	holding a microphone someone leans against the wall.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS279 	01:04:31,00 --> 01:04:36,50 	peering at the phone, someone holds her hand to her head.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS296 	01:10:04,00 --> 01:10:12,50 	someone holds out her hands.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS297 	01:10:12,00 --> 01:10:18,50 	someone takes a necklace out of a clear plastic bag and holds it up.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS320 	01:12:49,00 --> 01:12:57,50 	smiling, she holds the microphone up like a torch as the platform raises her on to the stage.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS321 	01:12:59,00 --> 01:13:04,50 	in the crowd, fans hold up signs or wave their arms.
KNOCKED_UP.srt 	KNOCKED_UP_DVS70 	00:42:13,00 --> 00:42:18,50 	little hat and holds a tiny outfit.
KNOCKED_UP.srt 	KNOCKED_UP_DVS71 	00:43:09,00 --> 00:43:20,50 	someone walk outside they tentatively hold hands.
KNOCKED_UP.srt 	KNOCKED_UP_DVS155 	01:37:20,00 --> 01:37:26,50 	someone holds a large castle cake with ice cream cone turrets.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS14 	00:06:31,00 --> 00:06:36,50 	she holds a crystal on her necklace.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS52 	00:18:02,00 --> 00:18:06,50 	someone holds out a lighter.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS57 	00:18:58,00 --> 00:19:04,50 	someone holds out her hand.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS125 	00:43:39,00 --> 00:43:44,50 	he holds out the jug.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS204 	01:11:41,00 --> 01:11:47,50 	as two someone hold each other, their frog-like throats expand.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS235 	01:25:29,00 --> 01:25:35,50 	someone holds out his fist.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS245 	01:28:29,00 --> 01:28:35,50 	holding hands, they jog toward the image of earth in the vortex.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS26 	00:07:57,00 --> 00:08:16,50 	now he holds a pair of slacks on an ironing board.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS63 	00:16:55,00 --> 00:17:03,50 	a full-figured raven-haired woman holding a to-go cup appears in her doorway.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS120 	00:27:39,00 --> 00:27:45,50 	she holds her brow.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS79 	00:07:24,00 --> 00:07:29,50 	the teacher holds a beaker full of yellow fluid.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS120 	00:13:48,00 --> 00:13:55,50 	a large panel illustrates a smiling krishna holding his mouth open.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS139 	00:16:42,00 --> 00:16:50,50 	he glances at the priest then holds out a hand and regards the painting of jesus being crucified.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS334 	00:40:49,00 --> 00:41:02,50 	someone lands on his belly and struggles to hold on as the boat bucks on the churning waters.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS337 	00:41:10,00 --> 00:41:27,50 	as it rights itself, we find someone holding on tightly and the zebra lying inside.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS603 	01:06:15,00 --> 01:06:21,50 	his head held high, he snaps his jaws at one and misses.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS663 	01:10:26,00 --> 01:10:40,50 	he sits up, holds the fish down with one hand and uses the other to club the fish with the blunt end of the hatchet.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS672 	01:11:28,00 --> 01:11:33,50 	standing on the raft grid, someone holds onto the boat's hull rope as he looks on.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS707 	01:13:53,00 --> 01:14:00,50 	now holding the long wooden handle of a blunt-edged metal boat hook,
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS769 	01:19:08,00 --> 01:19:12,50 	he holds out the spear.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS789 	01:20:35,00 --> 01:20:41,50 	rope tied from a crossbar to the raft holds the canopy flat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS918 	01:31:56,00 --> 01:32:01,50 	holding the yellow container by his side.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS931 	01:32:51,00 --> 01:32:57,50 	he holds his hand still for a moment then pulls away.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS933 	01:32:56,00 --> 01:33:02,50 	holding onto the rim of the boat, someone takes a seat beside the sickly animal.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1018 	01:39:32,00 --> 01:39:38,50 	he stands up and holds a branch for support.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS20 	00:07:09,00 --> 00:07:41,50 	a shelf holds books on genealogy.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS22 	00:08:24,00 --> 00:08:29,50 	holds his chest but quickly smiles.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS51 	00:20:02,00 --> 00:20:06,50 	someone holds up quieting fingers.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS134 	00:49:51,00 --> 00:49:57,50 	someone holds up the box of sustengo.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS143 	00:52:04,00 --> 00:52:08,50 	he holds the knob.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS172 	00:59:55,00 --> 01:00:01,50 	a stick figure holds a syringe to another's penis.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS184 	01:08:20,00 --> 01:08:26,50 	someone eyes someone, who holds an arm around someone.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS232 	01:21:11,00 --> 01:21:16,50 	someone scowls, holding a balloon.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS233 	01:21:32,00 --> 01:21:39,50 	with a smile, he holds out a plate of cake.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS278 	01:28:13,00 --> 01:28:18,50 	he smiles as he holds someone's gaze.
MORNING_GLORY.srt 	MORNING_GLORY_DVS32 	00:03:57,00 --> 00:04:02,50 	someone holds a headphone to her ear.
MORNING_GLORY.srt 	MORNING_GLORY_DVS99 	00:21:52,00 --> 00:22:00,50 	she holds his gaze.
MORNING_GLORY.srt 	MORNING_GLORY_DVS105 	00:22:39,00 --> 00:22:47,50 	she dials on her mobile, then holds it to her ear.
MORNING_GLORY.srt 	MORNING_GLORY_DVS359 	01:19:44,00 --> 01:19:50,50 	someone stands there holding the bag, figures and sags.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS46 	00:07:44,00 --> 00:07:49,50 	the bearded man holds him in a long, unblinking gaze.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS101 	00:14:47,00 --> 00:14:55,50 	he offers his hand for a shake, but the wealthy old woman holds hers out for a kiss.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS148 	00:21:49,00 --> 00:21:53,50 	he holds it up.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS309 	00:39:55,00 --> 00:40:01,50 	one penguin holds the door for the others as they leave.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS330 	00:42:11,00 --> 00:42:19,50 	he holds the bottle as if pouring it into his ear, and spits champaign.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS412 	00:48:05,00 --> 00:48:10,50 	he picks up another penguin and holds it over the toilet.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS417 	00:48:31,00 --> 00:48:37,50 	now, kids hold onto a rope as they walk between two chaperones.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS466 	00:55:31,00 --> 00:55:38,50 	later, someone holds open the restaurant's door as someone walks outside.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS473 	00:56:38,00 --> 00:56:42,50 	he holds her gaze.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS504 	01:00:58,00 --> 01:01:04,50 	someone holds his kids tighter as he gazes at the tiny bird.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS616 	01:15:03,00 --> 01:15:08,50 	someone opens a holding tank.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS618 	01:15:17,00 --> 01:15:25,50 	luring the birds with sardines, he steps into the holding tank.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS682 	01:24:53,00 --> 01:24:59,50 	holding her gaze, mr.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS203 	00:43:02,00 --> 00:43:06,50 	the six pig hold it in his hooves.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS213 	00:44:56,00 --> 00:45:06,50 	someone and someone sit astride a branch above, holding someone's veil.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS215 	00:45:14,00 --> 00:45:27,50 	someone and someone hold the veil between them.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS215 	00:45:14,00 --> 00:45:27,50 	someone runs after them, driving them along, holding his safari hat in place with one hand.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS245 	00:51:00,00 --> 00:51:10,50 	someone holds out a shoebox of someone's egg blue marked with a scallop-shell logo.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS253 	00:52:54,00 --> 00:54:08,50 	she holds it to her chest and smiles.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS253 	00:52:54,00 --> 00:54:08,50 	a wreath of flowers holds her snowy veil upon her head.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS253 	00:52:54,00 --> 00:54:08,50 	she clings to him, holding her shoes and wedding bouquet.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS267 	00:58:50,00 --> 00:59:01,50 	he holds the envelope out to his sister-in-law.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS338 	01:14:13,00 --> 01:14:26,50 	the boy holds his father's gaze.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS364 	01:17:56,00 --> 01:18:02,50 	someone sets two pens beside someone who holds her head as she reads the papers.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS376 	01:19:48,00 --> 01:19:53,50 	someone holds her gaze.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS390 	01:22:20,00 --> 01:22:26,50 	he holds his mother's gaze.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS454 	01:34:04,00 --> 01:34:10,50 	the children hold up their hands and mrs.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS114 	00:17:51,00 --> 00:17:57,50 	he holds up his hand to block out the bright sunlight.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS234 	00:39:40,00 --> 00:39:51,50 	someone's lying on the couch holding his hands and feet in the air and slowly moving them back and forth.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS249 	00:43:23,00 --> 00:43:30,50 	someone opens the lobby door and hurries upstairs holding a box of cupcakes.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS354 	01:05:59,00 --> 01:06:03,50 	he holds up a bunch of carrots.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS356 	01:06:25,00 --> 01:06:29,50 	she holds up a card,
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS454 	01:23:04,00 --> 01:23:11,50 	someone calls someone as he stares at his phone, which someone holds aloft.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS499 	01:32:31,00 --> 01:32:37,50 	she holds out the fluffy white pomeranian.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS513 	01:35:15,00 --> 01:35:20,50 	he holds freckles up close to his face.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS41 	00:09:56,00 --> 00:10:00,50 	he holds out a phone.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS42 	00:09:57,00 --> 00:10:06,50 	holding the phone to her ear.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS119 	00:30:49,00 --> 00:30:54,50 	she angrily holds up five fingers.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS220 	00:53:34,00 --> 00:53:40,50 	holding someone on his lap, someone notes his straining someone.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS265 	01:03:16,00 --> 01:03:22,50 	someone holds his own crotch.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS307 	01:11:54,00 --> 01:12:02,50 	inside, someone leaves the bathroom holding a tissue to her nose.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS108 	00:24:06,00 --> 00:24:20,50 	he gapes as she ducks a swinging sword from one fighter, then evades a blow from another and holds him at sword point.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS171 	00:37:22,00 --> 00:37:30,50 	someone holds up someone's arm like a boxing champion as they push through the crowd toward a refreshment table.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS208 	00:53:13,00 --> 00:53:26,50 	someone crouches behind a statue and holds up his phone.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS246 	01:05:23,00 --> 01:05:33,50 	the shoes wings flutter as someone scrambles up the front of the statue, using athena's hair and folds of her robe as hand and foot holds.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS312 	01:18:24,00 --> 01:18:32,50 	someone holds his crutches out as he runs separately.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS360 	01:29:28,00 --> 01:29:34,50 	then holds him out at arm's length and gazes tearfully at him.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS416 	01:39:15,00 --> 01:39:21,50 	the son of poseidon holds the water at bay on either side of himself.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS439 	01:42:52,00 --> 01:43:00,50 	he leans down and holds out his monstrous hand.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS445 	01:43:46,00 --> 01:43:52,50 	someone glances at someone, who firmly holds someone's stare.
PROMETHEUS.srt 	PROMETHEUS_DVS68 	00:03:55,00 --> 00:03:59,50 	still holding the cup.
PROMETHEUS.srt 	PROMETHEUS_DVS151 	00:09:36,00 --> 00:09:41,50 	holding a basketball in one hand, he strides through the ships chambers.
PROMETHEUS.srt 	PROMETHEUS_DVS566 	01:03:21,00 --> 01:03:27,50 	the creature's hood wraps around his hand and holds on tight.
PROMETHEUS.srt 	PROMETHEUS_DVS718 	01:16:40,00 --> 01:16:51,50 	someone holds someone back.
PROMETHEUS.srt 	PROMETHEUS_DVS758 	01:22:10,00 --> 01:22:15,50 	she holds one in her mouth as she stabs her thigh with the other.
PROMETHEUS.srt 	PROMETHEUS_DVS846 	01:32:36,00 --> 01:32:43,50 	holding her gaze someone steps back and leans against the wall.
PROMETHEUS.srt 	PROMETHEUS_DVS931 	01:42:18,00 --> 01:42:25,50 	amid the flow of exhaust, someone grabs hold of a ledge, and pulls herself out of a hole in the ground.
PROMETHEUS.srt 	PROMETHEUS_DVS1027 	01:51:50,00 --> 01:51:57,50 	the buds shoot out tendrils that lash around his skull and hold him still.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS36 	00:05:53,00 --> 00:06:11,50 	someone struggles to keep his grip while holding on to the moving car himself.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS48 	00:08:08,00 --> 00:08:30,50 	they hold eye contact, and she lets go.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS83 	00:13:54,00 --> 00:14:07,50 	outside, homer discretely holds a rifle at his side.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS150 	00:27:34,00 --> 00:27:48,50 	someone stands and holds her chair as she gets up, then guides her through the restaurant with a hand at her back.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS170 	00:31:46,00 --> 00:31:52,50 	she notices someone as a male guest holds out his coat to her.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS174 	00:32:58,00 --> 00:33:05,50 	he holds her coat open.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS206 	00:39:12,00 --> 00:39:19,50 	she holds out the open wallet as well.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS263 	00:50:07,00 --> 00:50:18,50 	inside, the officers lock someone inside a holding cell and remove his handcuffs through the bars.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS284 	00:54:03,00 --> 00:54:12,50 	other journalists wait with flashbulb cameras and three lawmen hold rifles.
