21_JUMP_STREET.srt 	21_JUMP_STREET_DVS62 	00:06:21,00 --> 00:06:26,50 	the rookies approach the biker gang.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS447 	01:19:37,00 --> 01:19:46,50 	two men approach, one is heinrich.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS500 	01:26:46,00 --> 01:26:52,50 	heading off, he pauses and turns back to face his approaching friend.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS515 	01:28:39,00 --> 01:28:46,50 	as someone steps away, someone shyly approaches his ex who waits for him in a doorway.
THOR.srt 	THOR_DVS76 	00:09:48,00 --> 00:09:56,50 	the guards approach the glowing blue box which rests upon a pedestal of scored rock at the end of the corridor.
THOR.srt 	THOR_DVS95 	00:14:07,00 --> 00:14:12,50 	chuckling, someone approaches the warriors.
THOR.srt 	THOR_DVS102 	00:15:11,00 --> 00:15:17,50 	the riders slow as they approach the building,
THOR.srt 	THOR_DVS135 	00:19:20,00 --> 00:19:28,50 	as someone and his allies approach the citadel's entrance, a frost giant watches from behind a shadowed boulder.
THOR.srt 	THOR_DVS284 	00:39:06,00 --> 00:39:13,50 	deep within the vault, under asgard, someone approaches the glowing jotunheim box, or casket,
THOR.srt 	THOR_DVS348 	00:53:12,00 --> 00:53:19,50 	they approach the impact crater now lit by floodlights and swarming with shield agents.
THOR.srt 	THOR_DVS432 	01:08:58,00 --> 01:09:06,50 	later, amid the crumbled ruins, someone steps past frost giants as he approaches king someone, who sits on his throne.
THOR.srt 	THOR_DVS496 	01:21:27,00 --> 01:21:34,50 	grabbing a bullhorn, someone steps out to meet the approaching destroyer.
THOR.srt 	THOR_DVS581 	01:29:58,00 --> 01:30:04,50 	stepping out of a car, agent someone approaches someone.
THOR.srt 	THOR_DVS601 	01:31:53,00 --> 01:31:59,50 	someone approaches someone, who pulls her close to him.
THOR.srt 	THOR_DVS697 	01:44:25,00 --> 01:44:32,50 	later, someone approaches someone, who stands gripping his sword at the ragged end of the bridge.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS30 	00:03:51,00 --> 00:03:55,50 	he approaches a group of fans.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS95 	00:11:01,00 --> 00:11:05,50 	he approaches a mirror.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS232 	00:30:01,00 --> 00:30:05,50 	he approaches his case worker.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS433 	00:46:02,00 --> 00:46:08,50 	as he continues to riff, his head down, she approaches.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS768 	01:23:16,00 --> 01:23:21,50 	an ear bud wire trails from someone starts to approach, then pauses.
TRUE_GRIT.srt 	TRUE_GRIT_DVS148 	00:35:30,00 --> 00:35:36,50 	as they approach the riverbank, someone remounts little blackie.
TRUE_GRIT.srt 	TRUE_GRIT_DVS229 	00:48:25,00 --> 00:48:30,50 	a man slowly approaches on horseback.
TRUE_GRIT.srt 	TRUE_GRIT_DVS286 	01:01:21,00 --> 01:01:26,50 	a lone rider approaches the cabin.
TRUE_GRIT.srt 	TRUE_GRIT_DVS290 	01:02:09,00 --> 01:02:16,50 	as someone enters the cabin, several more riders approach.
TRUE_GRIT.srt 	TRUE_GRIT_DVS291 	01:02:18,00 --> 01:02:26,50 	someone looks nervously between the cabin and the approaching posse.
TRUE_GRIT.srt 	TRUE_GRIT_DVS426 	01:23:30,00 --> 01:23:34,50 	they approach a camp.
TRUE_GRIT.srt 	TRUE_GRIT_DVS589 	01:42:12,00 --> 01:42:18,50 	she approaches two seated men on the show site.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS42 	00:06:24,00 --> 00:06:29,50 	now someone approaches a restaurant hostess.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS370 	00:43:49,00 --> 00:43:58,50 	spectators stare and the camera man approaches.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS492 	01:02:50,00 --> 01:02:54,50 	someone approaches them.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS514 	01:08:00,00 --> 01:08:07,50 	later someone strolls into a restaurant and approaches the hostess.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS209 	00:36:06,00 --> 00:36:13,50 	an approaching porcupine startles the rookie and he backs away, fumbling a few posts.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS218 	00:38:01,00 --> 00:38:07,50 	he lowers his shy gaze as she approaches with a basket draped with a napkin.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS261 	00:42:47,00 --> 00:42:53,50 	someone approaches someone, who waits on the porch.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS266 	00:43:19,00 --> 00:43:25,50 	he watches his father and sister approach a barn, hand in hand.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS314 	00:50:52,00 --> 00:51:09,50 	wearing a suit beneath a rugged parka, he approaches with a cocky 	disdainful smirk.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS365 	00:58:38,00 --> 00:58:41,50 	the grizzly keeps approaching.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS366 	00:58:39,00 --> 00:58:42,50 	the grizzly keeps approaching.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS570 	01:27:42,00 --> 01:27:48,50 	pouring in from the high windows as he approaches someone.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS588 	01:29:58,00 --> 01:30:04,50 	he approaches someone and gives a resigned nod.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS715 	01:43:10,00 --> 01:43:16,50 	someone resignedly approaches someone.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS409 	00:58:07,00 --> 00:58:13,50 	he watches her cross the living room and approach the urban scene.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS543 	01:15:00,00 --> 01:15:08,50 	the fountain's jets of water blast upward as he approaches.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS544 	01:15:05,00 --> 01:15:12,50 	as he approaches in slow motion, someone nervously stands.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS649 	01:30:42,00 --> 01:30:50,50 	someone steps forward to meet someone as she approaches.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS160 	00:10:16,00 --> 00:10:24,50 	in a pub, a boyishly attractively young man approaches a pretty woman with one blue eye and one green eye.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS162 	00:11:15,00 --> 00:11:21,50 	the blonde approaches the two as they raise their glasses.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS281 	00:22:23,00 --> 00:22:30,50 	the broodingly handsome man hangs up his jacket and hat, and approaches the bar.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS524 	00:48:06,00 --> 00:48:12,50 	they approach the troubled man as he lifts a cigar to his lips.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1092 	01:38:42,00 --> 01:38:46,50 	someone approaches someone.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1190 	01:46:24,00 --> 01:46:29,50 	someone cautiously approaches the doorway.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1214 	01:48:23,00 --> 01:48:29,50 	as the villainess approaches, someone hurls an energy disc past her.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1240 	01:51:42,00 --> 01:51:47,50 	the coin approaches someone's forehead.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1310 	01:58:32,00 --> 01:58:38,50 	he looks at someone and curtly beckons her to approach.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS150 	00:26:07,00 --> 00:26:12,50 	he smiles at her and approaches her table.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS211 	00:39:19,00 --> 00:39:23,50 	a brown-haired saleswoman approaches someone.
ZOMBIELAND.srt 	ZOMBIELAND_DVS191 	00:18:56,00 --> 00:19:04,50 	as the guys approach a wrecked car, someone carefully checks the interior.
ZOMBIELAND.srt 	ZOMBIELAND_DVS222 	00:24:10,00 --> 00:24:14,50 	someone approaches him.
ZOMBIELAND.srt 	ZOMBIELAND_DVS508 	00:59:11,00 --> 00:59:16,50 	someone tweaks another trinket then approaches.
ZOMBIELAND.srt 	ZOMBIELAND_DVS573 	01:06:52,00 --> 01:06:57,50 	she blows away a second one as they approach the hummer.
ZOMBIELAND.srt 	ZOMBIELAND_DVS649 	01:13:16,00 --> 01:13:21,50 	a hoard of zombies approach him.
ZOMBIELAND.srt 	ZOMBIELAND_DVS653 	01:13:31,00 --> 01:13:45,50 	hanging off the swing by one arm, he shoots the zombies as they approach the fence.
ZOOKEEPER.srt 	ZOOKEEPER_DVS135 	00:28:27,00 --> 00:28:34,50 	someone shuts the door, makes sure no one's watching, then approaches the bears.
ZOOKEEPER.srt 	ZOOKEEPER_DVS141 	00:31:15,00 --> 00:31:22,50 	in someone's pit, someone slides over a bowl of popcorn for the approaching gorilla.
ZOOKEEPER.srt 	ZOOKEEPER_DVS172 	00:37:25,00 --> 00:37:29,50 	as a guy approaches from behind.
ZOOKEEPER.srt 	ZOOKEEPER_DVS217 	00:48:39,00 --> 00:48:44,50 	inside, a waitress approaches their booth.
ZOOKEEPER.srt 	ZOOKEEPER_DVS357 	01:20:05,00 --> 01:20:12,50 	now, venom holds two lizards as he approaches someone who stares into someone's pit.
