21_JUMP_STREET.srt 	21_JUMP_STREET_DVS23 	00:03:03,00 --> 00:03:09,50 	with tearful eyes he notices the awkward teen watching him.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS173 	00:32:03,00 --> 00:32:16,50 	later, we move down a long table, watching masculine hands rapidly chop onions.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS174 	00:32:14,00 --> 00:32:19,50 	someone notices the others watching.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS180 	00:33:35,00 --> 00:33:44,50 	madame someone enters, folds her arms and watches someone with a sour glare.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS198 	00:37:46,00 --> 00:37:52,50 	now someone watches her cooking.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS106 	00:39:00,00 --> 00:39:08,50 	everyone still moving in slow motion, someone, someone, and the kids watch the furious woman chase after her
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS262 	01:28:00,00 --> 01:28:09,50 	someone watches her rival.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS324 	01:43:30,00 --> 01:43:36,50 	she watches him with wistful lovelorn gaze.
KARATE_KID.srt 	KARATE_KID_DVS133 	00:11:55,00 --> 00:12:03,50 	someone watches a fly darting around his head.
KARATE_KID.srt 	KARATE_KID_DVS134 	00:12:01,00 --> 00:12:04,50 	someone watches the man from outside.
KARATE_KID.srt 	KARATE_KID_DVS168 	00:14:05,00 --> 00:14:11,50 	someone notices the pixie-faced girl watching him.
KARATE_KID.srt 	KARATE_KID_DVS190 	00:16:28,00 --> 00:16:39,50 	she watches with a charmed grin.
KARATE_KID.srt 	KARATE_KID_DVS263 	00:23:55,00 --> 00:24:04,50 	someone watches her go, with a peaceful smile, and wanders in her general direction.
KARATE_KID.srt 	KARATE_KID_DVS284 	00:25:25,00 --> 00:25:35,50 	someone enters the apartment, watching as the boy flings his fists and feet in sloppy punches and low kicks.
KARATE_KID.srt 	KARATE_KID_DVS285 	00:25:32,00 --> 00:25:39,50 	someone notices the man watching him, but continues the drills.
KARATE_KID.srt 	KARATE_KID_DVS356 	00:31:53,00 --> 00:31:59,50 	someone lies on the couch, watching the cartoon.
KARATE_KID.srt 	KARATE_KID_DVS380 	00:33:58,00 --> 00:34:05,50 	someone strolls along the outdoor class' perimeter, watching the students.
KARATE_KID.srt 	KARATE_KID_DVS451 	00:40:24,00 --> 00:40:34,50 	now, someone creeps beside the car, his eyes moving from window to window, watching someone and the boys pass.
KARATE_KID.srt 	KARATE_KID_DVS507 	00:45:48,00 --> 00:46:03,50 	now, as someone fends off several boys simultaneously, someone lifts his head and watches the fight.
KARATE_KID.srt 	KARATE_KID_DVS549 	00:49:35,00 --> 00:49:44,50 	the seasoned martial artist thoughtfully watches him go.
KARATE_KID.srt 	KARATE_KID_DVS574 	00:51:23,00 --> 00:51:29,50 	someone watching the class.
KARATE_KID.srt 	KARATE_KID_DVS654 	00:55:20,00 --> 00:55:25,50 	someone smiles as she watches her son leave.
KARATE_KID.srt 	KARATE_KID_DVS705 	00:59:23,00 --> 00:59:28,50 	he watches coolly as someone hangs his jacket on the peg, then takes it back off.
KARATE_KID.srt 	KARATE_KID_DVS830 	01:08:50,00 --> 01:08:58,50 	as the two children watch, the puppets intertwine, seeming to cradle each other's heads.
KARATE_KID.srt 	KARATE_KID_DVS858 	01:10:47,00 --> 01:10:55,50 	his mug filled, someone stands watching someone as he spins his jacket around his shoulders once again.
KARATE_KID.srt 	KARATE_KID_DVS996 	01:21:14,00 --> 01:21:20,50 	he watches his teacher roaming the chamber wistfully.
KARATE_KID.srt 	KARATE_KID_DVS1081 	01:28:42,00 --> 01:29:00,50 	from overhead, we watch numerous umbrellas part to make way for them.
KARATE_KID.srt 	KARATE_KID_DVS1103 	01:31:33,00 --> 01:31:39,50 	someone ducks behind the pillar as he watches the car leave.
KARATE_KID.srt 	KARATE_KID_DVS1105 	01:31:45,00 --> 01:31:57,50 	at the front of the house, a panel of judges watches him intently.
KARATE_KID.srt 	KARATE_KID_DVS1125 	01:33:25,00 --> 01:33:32,50 	inside, as the instructor watches his pupil, someone's face pops up in the window behind him.
KARATE_KID.srt 	KARATE_KID_DVS1136 	01:34:30,00 --> 01:34:37,50 	craning his neck, the boy watches someone's parents proudly greet her.
KARATE_KID.srt 	KARATE_KID_DVS1149 	01:35:17,00 --> 01:35:23,50 	her father pats her shoulder and they continue up the aisle as someone helplessly watches them go.
KARATE_KID.srt 	KARATE_KID_DVS1201 	01:38:09,00 --> 01:38:13,50 	someone watches soberly.
KARATE_KID.srt 	KARATE_KID_DVS1228 	01:40:51,00 --> 01:40:57,50 	someone watches his teacher solemnly, then looks away.
KARATE_KID.srt 	KARATE_KID_DVS1237 	01:41:16,00 --> 01:41:21,50 	he circles around the front of the car, watching someone through the cracked windshield.
KARATE_KID.srt 	KARATE_KID_DVS1290 	01:44:17,00 --> 01:44:22,50 	someone follows behind him, watching closely.
KARATE_KID.srt 	KARATE_KID_DVS1309 	01:45:37,00 --> 01:45:43,50 	he watches sadly as she gets into her father's luxury sedan.
KARATE_KID.srt 	KARATE_KID_DVS1372 	01:50:55,00 --> 01:51:16,50 	on the arena floor, someone watches someone's first match anxiously.
KARATE_KID.srt 	KARATE_KID_DVS1475 	01:59:58,00 --> 02:00:04,50 	someone looks to his instructor, who watches impassively.
KARATE_KID.srt 	KARATE_KID_DVS1561 	02:06:20,00 --> 02:06:32,50 	master someone shifts on his feet as he watches grimly.
KARATE_KID.srt 	KARATE_KID_DVS1570 	02:07:24,00 --> 02:07:50,50 	someone watches with a knitted brow.
KARATE_KID.srt 	KARATE_KID_DVS1571 	02:07:47,00 --> 02:08:11,50 	master someone watches gravely.
KARATE_KID.srt 	KARATE_KID_DVS1599 	02:10:20,00 --> 02:10:25,50 	master someone watches with a heartsick gape.
KARATE_KID.srt 	KARATE_KID_DVS1612 	02:11:08,00 --> 02:11:16,50 	someone watches with a knitted brow, he steels himself by exhaling through his pursed lips.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS190 	00:51:07,00 --> 00:51:16,50 	on the arena floor, a blond woman wearing a hooded jacket watches a man in a burgundy tank top dance then imitates his moves.
KNOCKED_UP.srt 	KNOCKED_UP_DVS85 	00:49:15,00 --> 00:49:22,50 	now outside the rental house, someone and someone play ping-pong while the others watch.
KNOCKED_UP.srt 	KNOCKED_UP_DVS137 	01:22:14,00 --> 01:22:19,50 	the guesthouse, someone reclines and watches a program.
KNOCKED_UP.srt 	KNOCKED_UP_DVS141 	01:27:03,00 --> 01:27:07,50 	someone watches nervously.
KNOCKED_UP.srt 	KNOCKED_UP_DVS189 	01:58:14,00 --> 01:58:19,50 	watching his wife, someone smirks.
KNOCKED_UP.srt 	KNOCKED_UP_DVS196 	02:03:12,00 --> 02:03:18,50 	on car seat, mother watches her baby.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS166 	01:01:14,00 --> 01:01:25,50 	several more begin to hatch as he watches helplessly.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS223 	01:19:31,00 --> 01:19:36,50 	behind a rock, someone watches the battle.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS77 	00:19:45,00 --> 00:19:58,50 	he watches from a front desk off to one side, as professor someone sets down her back.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS90 	00:22:14,00 --> 00:22:23,50 	as the professor leaves someone's desk, someone watches her alertly.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS104 	00:25:06,00 --> 00:25:17,50 	the students watch as the professor exits.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS182 	00:43:09,00 --> 00:43:17,50 	he sees the female lacrosse player watching his googly eyed response.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS212 	00:49:40,00 --> 00:49:46,50 	someone and someone watch her go.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS312 	01:13:58,00 --> 01:14:05,50 	watching them, someone knocks on the window.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS356 	01:25:27,00 --> 01:25:48,50 	later in economics, professor someone watches his students from his desk.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS74 	00:06:26,00 --> 00:06:32,50 	from under water, we watch someone dive in.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS145 	00:18:29,00 --> 00:18:36,50 	someone watches from outside the gate, then slowly moves towards to courtyard congregation.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS150 	00:19:08,00 --> 00:19:13,50 	his father watches him.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS197 	00:25:39,00 --> 00:25:45,50 	someone watches the carnivore drag his kill.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS204 	00:26:43,00 --> 00:26:49,50 	someone plays the dholak drum and watches her closely.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS258 	00:33:58,00 --> 00:34:04,50 	someone sits outside the cage, watching them closely and eating a banana.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS264 	00:34:59,00 --> 00:35:06,50 	the writer watches him with a furrowed brow as adult someone stares into the river before them.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS298 	00:38:33,00 --> 00:38:40,50 	someone watches two sailors moving frantically below with flashlights.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS374 	00:44:54,00 --> 00:45:01,50 	he watches helplessly as the ship sinks further beneath the churning waves.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS400 	00:47:01,00 --> 00:47:14,50 	from his makeshift seat, he watches someone mid-boat as the hyena tries to climb up onto the canvas.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS493 	00:54:56,00 --> 00:55:00,50 	someone watches it as he eats.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS526 	00:57:34,00 --> 00:57:40,50 	someone maintains his cross-legged pose as he watches the boat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS532 	00:58:04,00 --> 00:58:09,50 	as we watch from a distance.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS543 	00:58:47,00 --> 00:58:52,50 	watching him calmly, someone crouches down and takes up the rope tether.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS572 	01:03:34,00 --> 01:03:40,50 	someone watches him with wide eyes then reaches for his pants.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS602 	01:06:10,00 --> 01:06:18,50 	from underwater, we watch someone paddling expertly among the darting fish.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS650 	01:09:23,00 --> 01:09:28,50 	someone watches him carefully.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS652 	01:09:29,00 --> 01:09:36,50 	now, under sun-lit water, we watch fish swim beneath the improved raft.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS700 	01:13:14,00 --> 01:13:23,50 	from high above, we watch the whale create a luminescent trail as it swims an arc around the lifeboat and raft.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS716 	01:14:39,00 --> 01:14:43,50 	the both watch it fly away.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS720 	01:14:54,00 --> 01:15:02,50 	glancing between his arms, someone watches his carnivorous shipmate bat fish from the air.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS733 	01:16:20,00 --> 01:16:28,50 	the triangular raft floats beside the lifeboat as someone watches someone someone feast.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS751 	01:18:01,00 --> 01:18:08,50 	watching the tiger out of the corner of his eye, he extends the spear toward him.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS758 	01:18:26,00 --> 01:18:32,50 	someone's gaze softens as he watches the dominated cat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS790 	01:20:38,00 --> 01:20:43,50 	someone someone watches from the boat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS804 	01:22:15,00 --> 01:22:22,50 	someone someone watches the flare burst in the sky and retreats below the canvas.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS822 	01:23:53,00 --> 01:23:58,50 	someone watches the mysterious cat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS829 	01:24:21,00 --> 01:24:31,50 	beyond his reflection in the water, someone someone watches a slim fish swim by with a soft blue glow trailing behind it.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS848 	01:25:52,00 --> 01:25:58,50 	perched on the bench, someone someone watches his dazed shipmate.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS866 	01:27:15,00 --> 01:27:21,50 	someone watches the journal get sucked into the darkening sky.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS899 	01:30:29,00 --> 01:30:37,50 	someone watches the tiger climb onto the bench just as the water rushes back and submerges the teen.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1070 	01:47:36,00 --> 01:47:42,50 	he watches someone wipe the tears from his cheeks.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS35 	00:14:00,00 --> 00:14:07,50 	someone watches someone give the departing hottie a playful smack on the rear.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS167 	00:59:10,00 --> 00:59:15,50 	the family watches behind a mirrored window.
MORNING_GLORY.srt 	MORNING_GLORY_DVS26 	00:03:37,00 --> 00:03:42,50 	staff listen to headphones and watch screens.
MORNING_GLORY.srt 	MORNING_GLORY_DVS71 	00:12:56,00 --> 00:13:01,50 	someone watches the guy get into the lift.
MORNING_GLORY.srt 	MORNING_GLORY_DVS88 	00:15:19,00 --> 00:15:25,50 	the attendant is watching a small tv.
MORNING_GLORY.srt 	MORNING_GLORY_DVS106 	00:22:50,00 --> 00:22:56,50 	someone and someone watch a horse-faced news anchor on tv.
MORNING_GLORY.srt 	MORNING_GLORY_DVS186 	00:42:47,00 --> 00:42:52,50 	someone watches tv in his dressing room.
MORNING_GLORY.srt 	MORNING_GLORY_DVS256 	00:57:49,00 --> 00:57:57,50 	someone watches daybreak in his office.
MORNING_GLORY.srt 	MORNING_GLORY_DVS274 	01:00:43,00 --> 01:00:50,50 	he goes into the living room where someone is watching the news and typing on her laptop.
MORNING_GLORY.srt 	MORNING_GLORY_DVS313 	01:08:43,00 --> 01:08:47,50 	they watch in the news office.
MORNING_GLORY.srt 	MORNING_GLORY_DVS315 	01:09:09,00 --> 01:09:14,50 	a producer watches in the gallery.
MORNING_GLORY.srt 	MORNING_GLORY_DVS321 	01:11:46,00 --> 01:11:51,50 	in his office, someone watches someone on tv.
MORNING_GLORY.srt 	MORNING_GLORY_DVS323 	01:12:01,00 --> 01:12:06,50 	watching the tv, the attendant is cracking up.
MORNING_GLORY.srt 	MORNING_GLORY_DVS353 	01:16:46,00 --> 01:16:51,50 	someone watches a man screwing on a door handle.
MORNING_GLORY.srt 	MORNING_GLORY_DVS479 	01:40:06,00 --> 01:40:11,50 	she stops just off the set and watches someone
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS129 	00:20:31,00 --> 00:20:36,50 	he notices his own penguin watching him.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS137 	00:20:53,00 --> 00:21:00,50 	as someone sleeps soundly, his penguin watches with its beak mere inches from his face.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS164 	00:23:41,00 --> 00:23:48,50 	it examines its flippers, then flaps them as it watches a soaring eagle on the nature show.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS251 	00:36:13,00 --> 00:36:20,50 	later, tissue hangs from someone's nostril as he watches a family board an elevator.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS257 	00:36:42,00 --> 00:36:49,50 	later, under blankets, the family watches someone get blown across a snowy cabin.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS266 	00:37:02,00 --> 00:37:11,50 	she watches the someone movie, then grins at her ex-husband.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS284 	00:37:54,00 --> 00:37:59,50 	he watches her step out.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS302 	00:38:58,00 --> 00:39:06,50 	he leads her to the penguins who watch someone.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS328 	00:41:58,00 --> 00:42:06,50 	someone watches someone go, then leans back on a railing next to a white-haired man.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS335 	00:43:02,00 --> 00:43:08,50 	as they head up the spiral someone watches them over her shoulder.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS359 	00:45:12,00 --> 00:45:19,50 	watching from a parked suv, someone raises a cell phone to his ear.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS468 	00:55:49,00 --> 00:55:55,50 	someone watches from a window.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS502 	01:00:47,00 --> 01:00:52,50 	they watch as the egg's crack grown larger.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS559 	01:06:04,00 --> 01:06:10,50 	behind him, in the apartment, the penguins cluster together and watch him.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS568 	01:07:44,00 --> 01:07:48,50 	someone watches them leave.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS679 	01:24:12,00 --> 01:24:20,50 	with a wistful look, he watches the hostess set the menus on four place settings at the corner table.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS60 	00:14:58,00 --> 00:15:07,50 	from the counter, the someone watches her as she wearily peeks in another.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS71 	00:16:50,00 --> 00:16:55,50 	the greens watch with wide eyes.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS103 	00:24:15,00 --> 00:24:26,50 	with her head tilted, someone someone watches as the bird hovers over an end table.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS111 	00:25:24,00 --> 00:25:29,50 	she watches as they head upstairs.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS238 	00:49:42,00 --> 00:49:58,50 	she catches a piglet watching her.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS238 	00:49:42,00 --> 00:49:58,50 	farmer someone watches with a puzzled frown.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS252 	00:52:33,00 --> 00:52:52,50 	someone cranes her neck to watch.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS274 	01:00:02,00 --> 01:00:17,50 	watching him from the doorway, someone meekly shifts on his feet.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS323 	01:11:23,00 --> 01:11:36,50 	the boys watch as he walks back behind his desk and straightens his tie.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS324 	01:11:37,00 --> 01:11:50,50 	at the farmhouse, someone clutches a pen in his hands as he hovers over someone, watching her review the contract.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS342 	01:14:50,00 --> 01:15:01,50 	lord someone watches the boy shoot him a final glance, then exit the room.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS362 	01:17:39,00 --> 01:17:51,50 	back at the farm, someone sits alone in the barn and watches some chickens.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS374 	01:19:21,00 --> 01:19:38,50 	back at the house, someone and someone nervously watch someone as he shuffles over on his knees.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS379 	01:20:05,00 --> 01:20:10,50 	they watch with terrified looks.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS408 	01:25:25,00 --> 01:25:38,50 	the others watch nervously.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS62 	00:07:30,00 --> 00:07:36,50 	pretty, dark-haired someone watches him with her arms folded.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS123 	00:18:43,00 --> 00:18:47,50 	someone stands watching.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS170 	00:27:59,00 --> 00:28:05,50 	someone watches them go and get in someone's red prius.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS402 	01:13:23,00 --> 01:13:31,50 	someone watches someone concerned.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS435 	01:19:04,00 --> 01:19:10,50 	someone, someone, and wallace are also there watching.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS539 	01:40:09,00 --> 01:40:15,50 	they stand side-by-side and watch the proceedings.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS22 	00:04:51,00 --> 00:04:59,50 	someone site in the driver's seat watching a stuffed grizzly bear swing from the rear view mirror.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS27 	00:05:40,00 --> 00:05:46,50 	someone watches her husband slump into the kitchen.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS53 	00:12:53,00 --> 00:12:58,50 	he watches her walk away and sighs.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS62 	00:14:46,00 --> 00:14:54,50 	someone's eyes widen as she watches someone emerge from the taxi.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS208 	00:51:14,00 --> 00:51:21,50 	in the darkened living room, someone watches a baseball game on the flat screen tv.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS313 	01:14:27,00 --> 01:14:33,50 	upstairs, the boys watch their grandparents sing and dance on a video feed.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS314 	01:14:39,00 --> 01:14:44,50 	the boys watch from the stairs.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS388 	01:28:36,00 --> 01:28:43,50 	they all watch as he throws dirt in the grave.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS401 	01:30:00,00 --> 01:30:09,50 	someone sits in the first row watching her daughter practice intensely.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS404 	01:30:23,00 --> 01:30:31,50 	glaring, someone stops and watches her mother approach.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS425 	01:31:30,00 --> 01:31:38,50 	someone sits in the first row watching her daughter practice intensely.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS51 	00:10:08,00 --> 00:10:14,50 	someone notices the human poseidon watching him from across the street.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS147 	00:34:12,00 --> 00:34:17,50 	someone watches him over her shoulder.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS156 	00:35:22,00 --> 00:35:29,50 	someone hurriedly joins the gathered warriors on the banks to watch.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS177 	00:39:37,00 --> 00:39:43,50 	someone watches hades with an odd expression.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS206 	00:52:26,00 --> 00:52:31,50 	someone watches her reflection in his smartphone.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS362 	01:29:34,00 --> 01:29:43,50 	someone and someone also watch as the god of the underworld stoops down and shifts the arm strap aside on the shield.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS432 	01:41:49,00 --> 01:41:54,50 	while someone watches from a throne.
PROMETHEUS.srt 	PROMETHEUS_DVS56 	00:03:02,00 --> 00:03:10,50 	from a distance we watch a cloaked, hooded figure walk over a rocky bank to the waters rim.
PROMETHEUS.srt 	PROMETHEUS_DVS67 	00:03:52,00 --> 00:03:56,50 	he watches the departing craft.
PROMETHEUS.srt 	PROMETHEUS_DVS84 	00:04:56,00 --> 00:05:03,50 	following them, we watch the golden dna strands rebuild, then blacken.
PROMETHEUS.srt 	PROMETHEUS_DVS110 	00:06:39,00 --> 00:06:47,50 	his colleague moves to the edge of the cavernous space, then watches him with a girlish smile.
PROMETHEUS.srt 	PROMETHEUS_DVS141 	00:08:25,00 --> 00:08:35,50 	using a touch screen built into the glass, the man accesses an amber-hued memory of a little girl watching men carry a body on a litter.
PROMETHEUS.srt 	PROMETHEUS_DVS367 	00:36:02,00 --> 00:36:11,50 	holloway and someone arrive in time to watch it collapse at a doorway.
PROMETHEUS.srt 	PROMETHEUS_DVS408 	00:41:26,00 --> 00:41:31,50 	someone turns to watch someone leave the bridge.
PROMETHEUS.srt 	PROMETHEUS_DVS421 	00:42:39,00 --> 00:42:50,50 	on someone, someone watches the approaching vehicles and storm.
PROMETHEUS.srt 	PROMETHEUS_DVS425 	00:43:14,00 --> 00:43:19,50 	on the screen someone watches holloway leave the ship.
PROMETHEUS.srt 	PROMETHEUS_DVS516 	00:56:44,00 --> 00:56:51,50 	watching video of the holographs in her quarters, someone speaks into a recorder.
PROMETHEUS.srt 	PROMETHEUS_DVS608 	01:07:16,00 --> 01:07:22,50 	in her lifeboat, someone watches the feed projected across her windows.
PROMETHEUS.srt 	PROMETHEUS_DVS650 	01:11:08,00 --> 01:11:13,50 	as she goes, ravel watches the monitors.
PROMETHEUS.srt 	PROMETHEUS_DVS721 	01:16:59,00 --> 01:17:05,50 	someone watches with a horrified expression.
PROMETHEUS.srt 	PROMETHEUS_DVS781 	01:24:04,00 --> 01:24:11,50 	gritting her teeth, someone watches the robotic arm staple her stomach shut.
PROMETHEUS.srt 	PROMETHEUS_DVS790 	01:24:45,00 --> 01:24:50,50 	then watches the baby alien grow still.
PROMETHEUS.srt 	PROMETHEUS_DVS811 	01:27:02,00 --> 01:27:08,50 	someone lowers the flamethrower and watches the body burn.
PROMETHEUS.srt 	PROMETHEUS_DVS822 	01:27:52,00 --> 01:27:57,50 	he watches as the guard helps her take a seat.
PROMETHEUS.srt 	PROMETHEUS_DVS871 	01:36:01,00 --> 01:36:12,50 	as she shines her flashlight over the urns, someone watches a video feed from the bridge.
PROMETHEUS.srt 	PROMETHEUS_DVS906 	01:40:20,00 --> 01:40:26,50 	on the bridge someone watches a video feed showing her father's heart rate.
PROMETHEUS.srt 	PROMETHEUS_DVS908 	01:40:29,00 --> 01:40:33,50 	ravel watches the feed.
PROMETHEUS.srt 	PROMETHEUS_DVS917 	01:41:06,00 --> 01:41:12,50 	someone watches him.
PROMETHEUS.srt 	PROMETHEUS_DVS928 	01:42:01,00 --> 01:42:08,50 	through a window, the crew watches thin plumes of smoke rise from the ground.
PROMETHEUS.srt 	PROMETHEUS_DVS953 	01:45:36,00 --> 01:45:42,50 	someone watches as it loops around and swoops past her.
PROMETHEUS.srt 	PROMETHEUS_DVS973 	01:47:15,00 --> 01:47:22,50 	flailing on her back, someone watches the ship's outer wall close in.
PROMETHEUS.srt 	PROMETHEUS_DVS978 	01:47:38,00 --> 01:47:48,50 	she falls on her rear, scurries back toward some jagged rocks, then watches one end of the ship come down with no chance of escape.
PROMETHEUS.srt 	PROMETHEUS_DVS1009 	01:50:11,00 --> 01:50:17,50 	as we watch her from the other side we find blood smearing the door.
