21_JUMP_STREET.srt 	21_JUMP_STREET_DVS374 	01:02:44,00 --> 01:02:52,50 	she gazes at him with doe-like eyes.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS560 	01:18:00,00 --> 01:18:08,50 	he gazes from the bottle to the scroll, then slams the bottle onto a nearby table.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS562 	01:18:16,00 --> 01:18:25,50 	inside, someone gazes up at a figure standing at at balcony railing.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS563 	01:18:27,00 --> 01:18:33,50 	from the balcony someone gazes through round eyeglasses at someone.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS585 	01:20:27,00 --> 01:20:33,50 	as someone hurries off, someone gazes downward.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS643 	01:25:29,00 --> 01:25:35,50 	the robed manager steps out of the hotel and gazes ahead at the canal.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS21 	00:03:59,00 --> 00:04:19,50 	he stops and gazes ahead.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS25 	00:05:51,00 --> 00:05:57,50 	someone gazes a scant at the departing student.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS56 	00:13:09,00 --> 00:13:17,50 	now, leafless trees silhouette the dusky horizon where someone stops and gazes off.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS61 	00:14:15,00 --> 00:14:22,50 	later on a balcony, he gazes toward the twinkling manhattan skyline.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS215 	00:41:53,00 --> 00:41:59,50 	someone gazes at the piece of art.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS256 	00:49:01,00 --> 00:49:10,50 	later, someone lies on his bed gazing dourly at the ceiling.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS265 	00:51:22,00 --> 00:51:34,50 	he props his head on it and gazes at someone with wistful eyes.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS270 	00:51:54,00 --> 00:52:08,50 	gazing into his eyes, she lifts his hand and spins under his arm.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS403 	01:17:39,00 --> 01:17:52,50 	the subject gazes off with a stoic expression hinting at wisdom beyond her years.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS390 	01:14:21,00 --> 01:14:29,50 	resting her cheek against her hand, someone shakes her head and gazes skyward.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS588 	01:46:04,00 --> 01:46:10,50 	separating, they gaze into each other's eyes.
THE_CALL.srt 	THE_CALL_DVS167 	00:13:41,00 --> 00:13:49,50 	someone gazes listlessly around the busy room and makes her way to her workstation.
THE_CALL.srt 	THE_CALL_DVS223 	00:18:48,00 --> 00:18:52,50 	someone gazes at herself.
THE_CALL.srt 	THE_CALL_DVS252 	00:20:56,00 --> 00:21:01,50 	they gaze down at the bustling main floor.
THE_CALL.srt 	THE_CALL_DVS257 	00:21:49,00 --> 00:21:56,50 	sitting alone, the young blond sips her fountain drink and gazes across the court.
THE_CALL.srt 	THE_CALL_DVS1021 	01:17:55,00 --> 01:18:00,50 	his mouth quivering, the killer gazes at the mannequin's impassive face.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS71 	00:14:34,00 --> 00:14:42,50 	now in a baggy t-shirt and shorts, someone sits on the sunny beach, gazing at the surf.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS210 	00:34:16,00 --> 00:34:21,50 	as someone rocks herself, her arms folded, someone gazes remorsefully after his friend.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS299 	00:45:24,00 --> 00:45:31,50 	his daughters gaze after him as he enters someone's room alone.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS339 	00:52:02,00 --> 00:52:09,50 	in the kitchen, someone gazes off sullenly.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS352 	00:54:02,00 --> 00:54:11,50 	sitting back on his ankles, the weary husband rests his hands on his thighs and gazes off pensively.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS361 	00:55:33,00 --> 00:55:40,50 	he turns his wry gaze away and awkwardly finds himself face to face with the large goateed passenger to his left.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS398 	01:00:18,00 --> 01:00:26,50 	riding in the passenger seat, someone holds his forehead as he absently gazes out his window.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS491 	01:10:48,00 --> 01:10:53,50 	she glances toward someone, then gazes after her father curiously.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS584 	01:26:58,00 --> 01:27:03,50 	they gaze at their unresponsive mother.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS648 	01:32:50,00 --> 01:32:55,50 	then stops and gazes at the black and white images of his ancestors.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS681 	01:35:20,00 --> 01:35:24,50 	he gazes at the documents.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS725 	01:41:50,00 --> 01:41:57,50 	someone's face contorts in anguish as she gazes at the comatose woman.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS756 	01:45:07,00 --> 01:45:11,50 	resting her chin on his shoulder, she gazes upward.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS761 	01:45:21,00 --> 01:45:27,50 	gazing up from her chair, someone purses her lips.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS281 	00:32:37,00 --> 00:32:43,50 	someone notices the young blonde woman gazing at him.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS421 	00:49:41,00 --> 00:49:45,50 	someone gazes off.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1088 	01:54:00,00 --> 01:54:06,50 	someone slides the kitchen door open, gazing out.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1177 	02:05:40,00 --> 02:05:48,50 	someone unbuttons someone's pants then stands upright and steps back, gazing thoughtfully.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1236 	02:09:44,00 --> 02:09:50,50 	she gazes at him, lying on her side.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1264 	02:12:44,00 --> 02:12:52,50 	as an anxious someone gazes in the van's direction, someone answers the front door.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS135 	00:47:54,00 --> 00:47:59,50 	someone ignores her and gazes at the floor.
THE_SITTER.srt 	THE_SITTER_DVS40 	00:24:13,00 --> 00:24:18,50 	he gazes into someone's eyes.
THE_SITTER.srt 	THE_SITTER_DVS156 	01:16:15,00 --> 01:16:22,50 	as they walk side by side down the street, he gazes at someone.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS132 	00:45:36,00 --> 00:45:42,50 	forward and slowly looks up, then gazes at someone with an astonished expression.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS139 	00:50:32,00 --> 00:50:36,50 	someone gazes off.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS238 	01:33:32,00 --> 01:33:36,50 	someone gazes off angrily.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS328 	01:54:29,00 --> 01:54:33,50 	then gazes.
THE_VOW.srt 	THE_VOW_DVS180 	00:19:57,00 --> 00:20:01,50 	someone gazes downward.
THE_VOW.srt 	THE_VOW_DVS376 	00:52:41,00 --> 00:52:58,50 	entering the studio, someone gazes around the spacious, rugged room, cluttered with works in progress and supplies.
THE_VOW.srt 	THE_VOW_DVS547 	01:14:53,00 --> 01:14:58,50 	as he gazes off morosely,
THE_VOW.srt 	THE_VOW_DVS650 	01:30:31,00 --> 01:30:38,50 	as someone regards her, she sucks in a breath and gazes off thoughtfully.
THE_VOW.srt 	THE_VOW_DVS662 	01:32:41,00 --> 01:32:46,50 	she gazes at him with an apologetic look.
THE_VOW.srt 	THE_VOW_DVS696 	01:36:38,00 --> 01:36:44,50 	he gazes tenderly at her, then glances at the someone.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS107 	00:31:07,00 --> 00:31:16,50 	sucking in her cheeks, she gazes out at the city through floor-to-ceiling windows.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS160 	00:41:51,00 --> 00:41:57,50 	he closes his eyes, then gazes at someone.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS162 	00:42:16,00 --> 00:42:22,50 	as someone gazes off, his eyes forlorn, someone listens intently.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS176 	00:44:16,00 --> 00:44:23,50 	smiling, she gazes at him hungrily, then gives him a passionate kiss.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS273 	01:15:01,00 --> 01:15:08,50 	gazing around the expansive modern space, she mouths, whoa.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS289 	01:17:06,00 --> 01:17:12,50 	as they hold each other close, they gaze out at the city rooftops.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS358 	01:28:11,00 --> 01:28:17,50 	pulling away, someone gazes into his eyes.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS362 	01:28:29,00 --> 01:28:36,50 	he gazes up at her as she slides her silky tank top over her head,
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS397 	01:34:20,00 --> 01:34:24,50 	she gazes after him.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS406 	01:35:47,00 --> 01:35:56,50 	at candace's, duke sits on the stoop with a basketball and gazes off with forlorn eyes.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS414 	01:36:15,00 --> 01:36:23,50 	later, someone gazes at a framed photo of himself and someone dressed as blue na'vi from avatar.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS453 	01:44:53,00 --> 01:44:57,50 	someone gazes at someone.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS459 	01:45:28,00 --> 01:45:32,50 	as she gazes at it,
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS479 	01:48:06,00 --> 01:48:10,50 	as she gazes at him,
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS525 	01:55:38,00 --> 01:55:42,50 	someone gazes up at someone leslie.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS65 	00:10:47,00 --> 00:10:53,50 	as he leads her off, someone gazes at his grandparents.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS67 	00:10:59,00 --> 00:11:04,50 	someone gazes at the dancing couple.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS272 	00:50:54,00 --> 00:51:01,50 	she takes someone's arm as she gazes wistfully at the stylized yet tender image.
THOR.srt 	THOR_DVS120 	00:17:48,00 --> 00:17:55,50 	as thick smoke clears, someone gazes around himself at the inhospitable terrain.
THOR.srt 	THOR_DVS139 	00:20:34,00 --> 00:20:40,50 	someone stares at someone then gazes downward.
THOR.srt 	THOR_DVS571 	01:28:59,00 --> 01:29:05,50 	the destroyer rises to its feet and gazes upward.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS656 	01:13:00,00 --> 01:13:04,50 	he and someone lock gazes.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS746 	01:21:50,00 --> 01:21:58,50 	the winged man leans forward, resting his elbows the side of tess' bed as he gazes tenderly at her.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS758 	01:22:53,00 --> 01:22:58,50 	the little girl gazes up at the shimmering dust.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS858 	01:31:15,00 --> 01:31:20,50 	he gazes off with a puzzled frown.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS891 	01:34:12,00 --> 01:34:17,50 	someone gazes into her eyes.
TRUE_GRIT.srt 	TRUE_GRIT_DVS563 	01:39:18,00 --> 01:39:23,50 	someone gazes back tearfully at little blackie
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS461 	00:56:28,00 --> 00:56:37,50 	as someone gazes after them, someone approaches.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS523 	01:10:31,00 --> 01:10:36,50 	someone gazes at someone.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS525 	01:10:42,00 --> 01:10:48,50 	someone gazes out at the dance floor, then turns to someone.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS562 	01:14:38,00 --> 01:14:46,50 	she gazes around the room, then removes her shoes and casually tosses them aside.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS639 	01:28:34,00 --> 01:28:41,50 	in the basket, someone gazes out at the dozens of balloons hovering over a tranquil harbor.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS90 	00:13:56,00 --> 00:14:02,50 	he gazes out a window at a party in the yard next door.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS105 	00:17:12,00 --> 00:17:24,50 	gazing out her window, someone smiles.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS258 	00:42:37,00 --> 00:42:45,50 	someone gazes after the young woman as she hefts up a few supply bags slung around her shoulders.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS372 	00:59:33,00 --> 00:59:38,50 	someone gazes down at the bear.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS417 	01:06:23,00 --> 01:06:29,50 	with a sad smile, she gazes at the oblivious boy.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS424 	01:07:16,00 --> 01:07:20,50 	he gazes after her.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS454 	01:10:53,00 --> 01:11:04,50 	he glances around, then checks his watch and gazes down a path for 	lily.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS468 	01:13:54,00 --> 01:13:59,50 	as he gazes sadly at the tiger,
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS485 	01:15:19,00 --> 01:15:27,50 	his cursor remains on the icon as he gazes at the sun-blanched photo of his wife.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS532 	01:21:13,00 --> 01:21:20,50 	she glances at his face again, then gazes off with a gentle smile.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS546 	01:23:58,00 --> 01:24:03,50 	he gazes after her gratefully.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS559 	01:26:58,00 --> 01:27:05,50 	near a watchtower, someone rests his arms on a fence and gazes off pensively.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS585 	01:29:46,00 --> 01:29:51,50 	the boy gazes solemnly into the cage.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS660 	01:36:56,00 --> 01:37:06,50 	someone gazes longingly at someone.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS755 	01:47:47,00 --> 01:47:53,50 	two tigers gaze out from windows in the big-cat house.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS785 	01:51:32,00 --> 01:51:41,50 	gazing down the road, someone sees long lines of people surging forward around the parked cars.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS803 	01:53:37,00 --> 01:53:41,50 	he gazes at her.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS820 	01:55:05,00 --> 01:55:14,50 	gazing up at the kite-filled sky, someone smiles lovingly.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS827 	01:55:55,00 --> 01:55:59,50 	they gaze out at departing guest.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS829 	01:56:37,00 --> 01:56:43,50 	as they gaze at an empty table, someone smiles.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS847 	01:58:39,00 --> 01:58:46,50 	as she gazes up at him, her lips spread into a faint smile.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS362 	00:52:43,00 --> 00:52:50,50 	someone gazes across the room at her ex, who sits engrossed in his work.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS395 	00:57:18,00 --> 00:57:24,50 	she gazes up at the landing and finds it empty.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS489 	01:08:24,00 --> 01:08:28,50 	gazing thoughtfully,
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS583 	01:20:08,00 --> 01:20:13,50 	she sighs as she gazes out pensively.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS602 	01:21:32,00 --> 01:21:37,50 	someone gazes after him remorsefully.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS745 	01:39:45,00 --> 01:39:52,50 	as she gazes into his eyes, her glossy lips curl into a tight smile.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS229 	00:17:32,00 --> 00:17:40,50 	gazing over the gaming floor, the agent notices women joining men in private alcove
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS234 	00:17:58,00 --> 00:18:02,50 	they gaze hungrily after her.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS341 	00:26:39,00 --> 00:26:46,50 	someone lays fingertips against his temple and gazes thoughtfully at her.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS372 	00:31:40,00 --> 00:31:46,50 	he gazes intently at the extravagantly large luxury craft.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS655 	01:00:05,00 --> 01:00:11,50 	gazing intently at someone, someone touches his temple.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS924 	01:25:13,00 --> 01:25:17,50 	someone gazes at her.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1232 	01:50:47,00 --> 01:50:52,50 	gazing into the villains eye
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS200 	00:38:32,00 --> 00:38:37,50 	someone gazes at the house.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS236 	00:44:44,00 --> 00:44:49,50 	someone gazes around the room.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS250 	00:48:03,00 --> 00:48:10,50 	someone gazes at someone who smiles and nods his head as he watches the band.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS251 	00:48:16,00 --> 00:48:22,50 	someone gazes downward, glances at someone, then watches the band.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS308 	00:58:43,00 --> 00:58:49,50 	she sits on the narrow bed then gazes toward a wall.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS315 	00:59:12,00 --> 00:59:19,50 	she then gazes at her reflection.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS321 	00:59:33,00 --> 00:59:38,50 	she stops to gaze at framed photographs hanging on the wall.
ZOMBIELAND.srt 	ZOMBIELAND_DVS734 	01:19:32,00 --> 01:19:38,50 	as they separate, someone opens her eyes and gazes at someone.
ZOOKEEPER.srt 	ZOOKEEPER_DVS225 	00:51:02,00 --> 00:51:10,50 	the two friends lie side by side on the roof of the van and gaze up at the glowing full moon.
ZOOKEEPER.srt 	ZOOKEEPER_DVS367 	01:22:31,00 --> 01:22:42,50 	someone faces a floor-to-ceiling window and gazes out at the city.
