21_JUMP_STREET.srt 	21_JUMP_STREET_DVS76 	00:08:32,00 --> 00:08:41,50 	they face the gang leader.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS228 	01:19:18,00 --> 01:19:22,50 	he faces someone.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS259 	01:27:23,00 --> 01:27:34,50 	she shrugs her shoulders, then does a break dancing arm wave, and stops facing someone.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS320 	01:42:03,00 --> 01:42:09,50 	in the lobby, someone faces the concierge.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS339 	01:48:22,00 --> 01:48:28,50 	now in a life-vest, someone faces a dolphin.
KARATE_KID.srt 	KARATE_KID_DVS109 	00:10:14,00 --> 00:10:19,50 	now in the lobby, someone faces a guard.
KARATE_KID.srt 	KARATE_KID_DVS170 	00:14:17,00 --> 00:14:23,50 	someone accepts the paddle and faces a paunchy man in an old tank top.
KARATE_KID.srt 	KARATE_KID_DVS196 	00:17:05,00 --> 00:17:13,50 	he backs someone off with a glare, then faces the girl.
KARATE_KID.srt 	KARATE_KID_DVS417 	00:38:06,00 --> 00:38:11,50 	he faces her and they share a smile.
KARATE_KID.srt 	KARATE_KID_DVS490 	00:44:12,00 --> 00:44:20,50 	someone faces the fallen american boy who looks up, his face grimacing helplessly.
KARATE_KID.srt 	KARATE_KID_DVS555 	00:50:21,00 --> 00:50:25,50 	the boy stands and they face off.
KARATE_KID.srt 	KARATE_KID_DVS565 	00:50:50,00 --> 00:50:58,50 	the square-jawed man rises from his bench and faces the boy, who shifts his eyes nervously.
KARATE_KID.srt 	KARATE_KID_DVS577 	00:51:32,00 --> 00:51:38,50 	the instructor faces someone, who returns his attention to his teacher.
KARATE_KID.srt 	KARATE_KID_DVS678 	00:58:08,00 --> 00:58:15,50 	someone snatches his jacket back off the bar and faces someone skeptically.
KARATE_KID.srt 	KARATE_KID_DVS778 	01:05:36,00 --> 01:05:42,50 	benches line the space, facing a performance screen.
KARATE_KID.srt 	KARATE_KID_DVS846 	01:09:56,00 --> 01:10:04,50 	someone retreats to the door and stands facing the kung fu master.
KARATE_KID.srt 	KARATE_KID_DVS852 	01:10:19,00 --> 01:10:25,50 	someone stands facing the utility pole, hanging his jacket on the peg.
KARATE_KID.srt 	KARATE_KID_DVS862 	01:11:25,00 --> 01:11:29,50 	he irritably faces his instructor.
KARATE_KID.srt 	KARATE_KID_DVS918 	01:15:05,00 --> 01:15:10,50 	someone faces him wearily.
KARATE_KID.srt 	KARATE_KID_DVS967 	01:19:04,00 --> 01:19:11,50 	outside, a woman in a white tunic faces the drop-off.
KARATE_KID.srt 	KARATE_KID_DVS991 	01:20:47,00 --> 01:20:54,50 	someone gazes reverently upon the well, then faces someone, and nods toward the water.
KARATE_KID.srt 	KARATE_KID_DVS1055 	01:25:40,00 --> 01:25:46,50 	he jabs someone again, then steps around the sheet and faces him.
KARATE_KID.srt 	KARATE_KID_DVS1064 	01:26:25,00 --> 01:26:30,50 	someone faces the boy.
KARATE_KID.srt 	KARATE_KID_DVS1083 	01:29:05,00 --> 01:29:10,50 	someone faces the water and blinks.
KARATE_KID.srt 	KARATE_KID_DVS1084 	01:29:08,00 --> 01:29:20,50 	in an arcade, someone leads someone to a digital dance game, faces its touch screen, and makes a selection from a list.
KARATE_KID.srt 	KARATE_KID_DVS1086 	01:29:24,00 --> 01:29:30,50 	facing her, he performs a series of dexterous steps.
KARATE_KID.srt 	KARATE_KID_DVS1089 	01:29:45,00 --> 01:29:58,50 	she nervously faces the screen, putting her back to someone.
KARATE_KID.srt 	KARATE_KID_DVS1143 	01:34:51,00 --> 01:34:58,50 	someone's parents walk her up the aisle, stopping to face the young american boy.
KARATE_KID.srt 	KARATE_KID_DVS1169 	01:36:22,00 --> 01:36:27,50 	someone slings his backpack off and faces him.
KARATE_KID.srt 	KARATE_KID_DVS1344 	01:48:39,00 --> 01:48:47,50 	now, two monstrous bronze faces form door handles.
KARATE_KID.srt 	KARATE_KID_DVS1385 	01:51:52,00 --> 01:51:59,50 	on the mat, someone faces a boy in a green-and-black uniform.
KARATE_KID.srt 	KARATE_KID_DVS1405 	01:53:12,00 --> 01:53:20,50 	someone nervously faces off with someone.
KARATE_KID.srt 	KARATE_KID_DVS1427 	01:55:26,00 --> 01:55:42,50 	later, the boy with the mohawk faces off with a fighting someone.
KARATE_KID.srt 	KARATE_KID_DVS1444 	01:57:18,00 --> 01:57:36,50 	as they face off again, someone kicks him across the mat.
KARATE_KID.srt 	KARATE_KID_DVS1491 	02:01:21,00 --> 02:01:25,50 	he faces someone.
KARATE_KID.srt 	KARATE_KID_DVS1523 	02:03:32,00 --> 02:03:37,50 	he licks his lips and faces his teacher.
KARATE_KID.srt 	KARATE_KID_DVS1530 	02:04:02,00 --> 02:04:07,50 	someone runs out and faces the judges.
KARATE_KID.srt 	KARATE_KID_DVS1540 	02:04:42,00 --> 02:04:49,50 	master someone eyes the boy, then faces mr.
KARATE_KID.srt 	KARATE_KID_DVS1558 	02:05:48,00 --> 02:06:17,50 	he faces the bully with a fearless scowl.
KARATE_KID.srt 	KARATE_KID_DVS1561 	02:06:20,00 --> 02:06:32,50 	the bully faces his opponent with a remorseless scowl.
KARATE_KID.srt 	KARATE_KID_DVS1571 	02:07:47,00 --> 02:08:11,50 	standing, someone exhales heavily and faces his opponent.
KARATE_KID.srt 	KARATE_KID_DVS1593 	02:09:58,00 --> 02:10:04,50 	someone towers over his writhing opponent, then faces his teacher.
KARATE_KID.srt 	KARATE_KID_DVS1610 	02:10:57,00 --> 02:11:06,50 	his brow furrowed, someone faces someone with glistening eyes.
KARATE_KID.srt 	KARATE_KID_DVS1640 	02:13:13,00 --> 02:13:25,50 	someone leaves the platform, briefly facing mr.
KARATE_KID.srt 	KARATE_KID_DVS1640 	02:13:13,00 --> 02:13:25,50 	master someone leads his students away and someone faces the crowd.
KARATE_KID.srt 	KARATE_KID_DVS1647 	02:13:49,00 --> 02:13:53,50 	someone faces him.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS113 	00:27:09,00 --> 00:27:14,50 	someone rides up on a platform to face her cheering audience.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS196 	00:52:02,00 --> 00:52:10,50 	facing each other, someone and her trainer squat as they hold arms straight out in front.
KNOCKED_UP.srt 	KNOCKED_UP_DVS25 	00:18:24,00 --> 00:18:29,50 	someone faces the baby.
KNOCKED_UP.srt 	KNOCKED_UP_DVS71 	00:43:09,00 --> 00:43:20,50 	now someone and someone stand in their bathroom facing opposite directions.
KNOCKED_UP.srt 	KNOCKED_UP_DVS71 	00:43:09,00 --> 00:43:20,50 	brushing his teeth he turns to face her.
KNOCKED_UP.srt 	KNOCKED_UP_DVS97 	00:58:27,00 --> 00:58:33,50 	he remains behind and sits facing someone who thoughtfully tokes on a joint.
KNOCKED_UP.srt 	KNOCKED_UP_DVS139 	01:24:04,00 --> 01:24:08,50 	someone faces someone.
KNOCKED_UP.srt 	KNOCKED_UP_DVS153 	01:35:40,00 --> 01:35:46,50 	now standing away from the party someone faces someone.
KNOCKED_UP.srt 	KNOCKED_UP_DVS186 	01:57:02,00 --> 01:57:07,50 	in the hall someone faces someone.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS103 	00:33:32,00 --> 00:33:37,50 	he faces a crystal pylon.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS108 	00:34:41,00 --> 00:34:45,50 	they face the pylon.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS134 	00:46:44,00 --> 00:46:49,50 	two allosaurus sniff the air, then face the humans.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS151 	00:55:24,00 --> 00:55:31,50 	scientist plants his feet, facing his companions with a sober expression.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS229 	01:21:53,00 --> 01:21:59,50 	someone leans wearily against a rock and faces someone.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS234 	01:25:11,00 --> 01:25:16,50 	the tyrannosaur faces someone.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS248 	01:28:54,00 --> 01:29:00,50 	the two scientists face each other, their jaws hanging slack.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS102 	00:24:53,00 --> 00:25:01,50 	another classroom miss someone writes care on a blackboard then faces two males and two females.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS156 	00:35:48,00 --> 00:35:52,50 	someone faces someone.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS173 	00:39:51,00 --> 00:39:57,50 	someone faces him.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS258 	01:01:42,00 --> 01:01:48,50 	facing her, someone takes in her drunken grin.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS373 	01:29:26,00 --> 01:29:37,50 	she faces a handful of students.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS128 	00:15:44,00 --> 00:15:53,50 	facing his sad-eyed, skinny brother, an adolescent someone points out a church at the rim of the misty valley.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS157 	00:21:00,00 --> 00:21:07,50 	his father stops eating and faces his wife who returns an amused smile.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS177 	00:23:46,00 --> 00:23:51,50 	glaring, his father shakes his head and faces someone.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS181 	00:23:58,00 --> 00:24:05,50 	securing its rope leash to the bars, selvam faces someone's father.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS186 	00:24:36,00 --> 00:24:40,50 	someone faces someone.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS189 	00:25:04,00 --> 00:25:09,50 	the family stands together facing the gate.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS220 	00:29:27,00 --> 00:29:31,50 	he faces them with his ears pointed back.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS230 	00:31:40,00 --> 00:31:46,50 	he faces forward then looks back at the sun as his mother approaches.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS235 	00:32:11,00 --> 00:32:17,50 	now in the eating quarters, someone faces a husky, larged-nosed cook.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS267 	00:35:32,00 --> 00:35:37,50 	facing the river, he leans forward.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS280 	00:37:10,00 --> 00:37:15,50 	turning, he faces a door with a port hole.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS354 	00:43:05,00 --> 00:43:11,50 	turning, he finds himself facing the completely submerged ship.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS412 	00:48:05,00 --> 00:48:12,50 	facing someone, she grimly works her lips and folds her long arms.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS414 	00:48:15,00 --> 00:48:27,50 	as someone faces her with a concerned expression, the orangutan lowers her gaze and sighs.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS463 	00:52:22,00 --> 00:52:30,50 	orange juice peers down at the hyena, then sits on steadily and faces her human companion.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS471 	00:52:52,00 --> 00:52:57,50 	facing someone, he swings the knife.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS472 	00:52:59,00 --> 00:53:15,50 	as he pushes it overboard, the tiger faces him with a snarl.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS562 	01:01:13,00 --> 01:01:18,50 	pausing, he faces the boat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS570 	01:03:18,00 --> 01:03:26,50 	he plants his feet wide apart and crouches over, getting his balance as he faces the tiger.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS593 	01:05:36,00 --> 01:05:40,50 	someone faces him.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS651 	01:09:25,00 --> 01:09:31,50 	the tiger faces him, then steps down out of view.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS710 	01:14:04,00 --> 01:14:13,50 	he faces someone with fangs bared.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS756 	01:18:17,00 --> 01:18:22,50 	facing the beast, someone glares and shakes the spear.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS803 	01:22:06,00 --> 01:22:11,50 	facing the ship, he cocks the gun and raises it in the air.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS857 	01:26:34,00 --> 01:26:39,50 	someone glares at it, then faces someone someone.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1092 	01:52:58,00 --> 01:53:03,50 	the younger insurance rep solemnly faces his partner.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1094 	01:53:36,00 --> 01:53:41,50 	someone faces the older man earnestly then looks away.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1095 	01:53:45,00 --> 01:53:54,50 	as the young survivor hangs his head, the older insurance investigator faces his partner with a softened gaze.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1102 	01:54:45,00 --> 01:54:52,50 	facing the young investigator, someone sniffles and shakes his head.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1106 	01:55:34,00 --> 01:55:40,50 	the middle aged someone faces his guest with a careworn gaze.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1126 	01:58:47,00 --> 01:58:54,50 	as he smiles, the tiger appears to his left facing away from us.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS240 	01:22:09,00 --> 01:22:17,50 	someone raises his fists and the two men face off.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS256 	01:24:06,00 --> 01:24:14,50 	in the grass, someone faces jinx, who stares at him.
MORNING_GLORY.srt 	MORNING_GLORY_DVS350 	01:16:24,00 --> 01:16:30,50 	someone's stony faced.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS25 	00:03:15,00 --> 00:03:20,50 	inside, someone faces a secretary.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS39 	00:05:27,00 --> 00:05:33,50 	as he and his assistant head out, someone swivels his chair to face them.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS86 	00:13:02,00 --> 00:13:08,50 	facing the penguin, he puts his cell phone back in his pocket.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS302 	00:38:58,00 --> 00:39:06,50 	the babysitter stares, then faces him plainly.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS311 	00:40:01,00 --> 00:40:06,50 	in the lobby, kent faces someone.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS389 	00:47:05,00 --> 00:47:12,50 	someone faces someone.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS454 	00:53:34,00 --> 00:53:38,50 	someone faces all the penguins
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS470 	00:56:14,00 --> 00:56:18,50 	he faces her.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS527 	01:02:49,00 --> 01:02:57,50 	someone sleeps curled up on the floor facing the unhatched egg in captain's rocky nest.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS563 	01:06:22,00 --> 01:06:29,50 	turning slightly he gives someone a nod, then faces the city again.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS28 	00:07:16,00 --> 00:07:25,50 	he faces two platinum blondes - one large, one small.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS73 	00:16:57,00 --> 00:17:02,50 	someone faces him and someone bolts.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS175 	00:39:43,00 --> 00:39:56,50 	someone summons a breath, picks up her gnarled walking stick, and faces the girl.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS196 	00:42:19,00 --> 00:42:26,50 	then faces them.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS242 	00:50:26,00 --> 00:50:39,50 	someone looks on sympathetically as his sister faces someone.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS247 	00:51:20,00 --> 00:51:25,50 	the chauffeur sadly faces forward.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS252 	00:52:33,00 --> 00:52:52,50 	the farm girl faces her cousin and finds her expression sincere.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS266 	00:58:40,00 --> 00:58:50,50 	someone faces someone and the children.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS268 	00:59:01,00 --> 00:59:07,50 	someone faces mrs.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS275 	01:00:16,00 --> 01:00:24,50 	someone turns to face him.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS277 	01:00:29,00 --> 01:00:34,50 	someone faces his cousin.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS333 	01:13:08,00 --> 01:13:20,50 	lord someone faces someone.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS338 	01:14:13,00 --> 01:14:26,50 	he faces someone and takes a breath.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS456 	01:34:11,00 --> 01:34:19,50 	turning on the spot, someone stops, facing the field and stares.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS466 	01:35:26,00 --> 01:35:32,50 	she tenderly faces mrs.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS467 	01:35:35,00 --> 01:35:56,50 	someone gazes after her tearfully, then faces the children with a sobbing breath.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS488 	01:39:02,00 --> 01:39:09,50 	facing them, rory warmly extends a hand to his nephew.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS384 	01:10:05,00 --> 01:10:09,50 	they stand facing each other.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS390 	01:12:07,00 --> 01:12:11,50 	they both sit staring ahead stony faced.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS411 	01:16:12,00 --> 01:16:17,50 	she smiles he sits facing her.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS88 	00:23:38,00 --> 00:23:43,50 	someone kisses her and faces the driver.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS118 	00:30:44,00 --> 00:30:50,50 	someone pulls up and faces her through the window.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS139 	00:36:23,00 --> 00:36:29,50 	someone enters the room and finds someone lying face down on a bed.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS144 	00:37:31,00 --> 00:37:41,50 	facing a large monitor someone glances at the boys.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS198 	00:49:07,00 --> 00:49:12,50 	at the park, someone faces her family.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS200 	00:50:29,00 --> 00:50:33,50 	someone faces someone.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS203 	00:50:55,00 --> 00:51:03,50 	opening it, he finds someone facing him with a coy smile.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS235 	00:55:43,00 --> 00:55:49,50 	someone faces someone.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS251 	01:00:24,00 --> 01:00:28,50 	someone faces someone.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS280 	01:06:24,00 --> 01:06:29,50 	hit sits facing his shy grandson.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS333 	01:19:07,00 --> 01:19:12,50 	the officer faces the healthy tiger owner.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS363 	01:27:25,00 --> 01:27:35,50 	stepping beside his grandfather, someone faces the grave.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS22 	00:04:07,00 --> 00:04:14,50 	under his brother's glare, someone stops and faces him once more,
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS46 	00:09:11,00 --> 00:09:15,50 	he faces his mother.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS227 	01:01:13,00 --> 01:01:19,50 	someone shuts the curtains and faces him.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS267 	01:08:35,00 --> 01:08:41,50 	someone reaches for the pearl, misses and faces the charging hydra.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS273 	01:09:35,00 --> 01:09:54,50 	someone faces the hydra.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS353 	01:26:50,00 --> 01:26:59,50 	facing someone, he spreads his arms.
PROMETHEUS.srt 	PROMETHEUS_DVS112 	00:06:52,00 --> 00:06:56,50 	holloway faces his colleague.
PROMETHEUS.srt 	PROMETHEUS_DVS120 	00:07:20,00 --> 00:07:25,50 	she faces him amazedly.
PROMETHEUS.srt 	PROMETHEUS_DVS257 	00:24:42,00 --> 00:24:47,50 	someone faces the scottish woman.
PROMETHEUS.srt 	PROMETHEUS_DVS282 	00:28:04,00 --> 00:28:11,50 	as the mohawked man sits, someone takes the seat facing him.
PROMETHEUS.srt 	PROMETHEUS_DVS549 	01:01:09,00 --> 01:01:15,50 	someone looks away then faces him with a coy smirk.
PROMETHEUS.srt 	PROMETHEUS_DVS572 	01:04:08,00 --> 01:04:17,50 	someone falls face first into the black fluid.
PROMETHEUS.srt 	PROMETHEUS_DVS577 	01:04:33,00 --> 01:04:43,50 	facing his reflection, he blinks his bleary eyes.
PROMETHEUS.srt 	PROMETHEUS_DVS580 	01:04:47,00 --> 01:04:53,50 	facing the mirror again, he peers at his beady bloodshot eyes.
PROMETHEUS.srt 	PROMETHEUS_DVS642 	01:09:40,00 --> 01:09:47,50 	as someone stares, someone finds a body lying face down in his suit.
PROMETHEUS.srt 	PROMETHEUS_DVS667 	01:12:16,00 --> 01:12:23,50 	curiously looking on as the alien rotates the chair to face the controls.
PROMETHEUS.srt 	PROMETHEUS_DVS676 	01:12:49,00 --> 01:12:55,50 	in the recording, the leader walks over to the pilot and crouches to face him.
PROMETHEUS.srt 	PROMETHEUS_DVS720 	01:16:56,00 --> 01:17:02,50 	as holloway's fiery body falls face first and lies still,
PROMETHEUS.srt 	PROMETHEUS_DVS917 	01:41:06,00 --> 01:41:12,50 	the engineer faces the imposing device.
PROMETHEUS.srt 	PROMETHEUS_DVS970 	01:47:03,00 --> 01:47:08,50 	someone trips and falls face down.
PROMETHEUS.srt 	PROMETHEUS_DVS997 	01:49:23,00 --> 01:49:28,50 	facing forward, she reaches into low tool compartment and takes out a fire ax with a curved handle.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS49 	00:08:30,00 --> 00:08:35,50 	he faces forward and glances at someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS87 	00:14:29,00 --> 00:14:35,50 	and change set out on the counter, and faces the customer it belongs to.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS95 	00:15:35,00 --> 00:15:39,50 	someone faces homer's hostage.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS102 	00:16:38,00 --> 00:16:45,50 	now in a marble hearing room, a square-jawed man faces a committee.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS111 	00:19:03,00 --> 00:19:11,50 	hoover faces a microphone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS132 	00:24:27,00 --> 00:24:33,50 	someone gazes off shyly, then finds her lovely face.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS141 	00:25:40,00 --> 00:25:45,50 	a gust of wind, someone turns her to face him.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS150 	00:27:34,00 --> 00:27:48,50 	now, they face a coat check counter.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS164 	00:30:17,00 --> 00:30:21,50 	he faces a secretary.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS165 	00:30:38,00 --> 00:30:45,50 	someone gazes out a window at a neighboring high-rise, then faces his men.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS179 	00:33:43,00 --> 00:34:01,50 	someone sits facing someone and lays his hand on the large box.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS187 	00:36:04,00 --> 00:36:12,50 	rolling over to face her, he strokes her cheek and neck.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS197 	00:37:30,00 --> 00:37:35,50 	someone faces someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS198 	00:37:38,00 --> 00:37:44,50 	he points, then gets out and faces the young g-man.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS252 	00:47:02,00 --> 00:47:10,50 	someone frowns, shifts in his seat, and squarely faces someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS255 	00:48:01,00 --> 00:48:16,50 	a balding clerk faces them.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS275 	00:52:30,00 --> 00:52:36,50 	someone pauses on his way out and faces someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS308 	00:58:10,00 --> 00:58:22,50 	now, someone faces the bars in the back of his cell.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS380 	01:13:04,00 --> 01:13:10,50 	hoover faces the press.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS438 	01:24:31,00 --> 01:24:37,50 	he pats a guy on a bar stool and faces the couple.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS506 	01:35:20,00 --> 01:35:26,50 	now in a field office, someone faces his agents.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS538 	01:41:35,00 --> 01:41:49,50 	in the car, someone faces the side mirror and brushes his bangs off his forehead.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS632 	01:59:01,00 --> 01:59:20,50 	facing a mirror, someone drags a razor down his lathered cheek.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS648 	02:01:45,00 --> 02:02:05,50 	she faces the screen again, her chest heaving.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS651 	02:02:56,00 --> 02:03:04,50 	on the movie screen, clark gable faces someone powell.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS654 	02:03:47,00 --> 02:03:54,50 	someone wears a faint sad smile as gable faces a fellow convict.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS661 	02:04:31,00 --> 02:04:50,50 	he faces the street, strikes the match, and lights his cigar.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS673 	02:06:23,00 --> 02:06:44,50 	someone falls face down, eyes staring off as blood streams from his ruptured cheek.
