21_JUMP_STREET.srt 	21_JUMP_STREET_DVS21 	00:02:57,00 --> 00:03:02,50 	sitting on a nearby bench, the nerd looks over.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS171 	00:47:21,00 --> 00:47:28,50 	she looks on as he approaches the beauty.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS172 	00:47:34,00 --> 00:47:40,50 	someone rolls her eyes and looks away.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS178 	00:48:42,00 --> 00:48:47,50 	someone looks around then waves back.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS220 	00:59:31,00 --> 00:59:37,50 	two young girls in front of them look at someone.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS234 	01:02:20,00 --> 01:02:37,50 	at night, someone and someone sit on the patio, looking through a photo album.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS249 	01:07:47,00 --> 01:07:56,50 	she pushes it open, caressing his chest and looks up at him coyly.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS265 	01:09:19,00 --> 01:09:26,50 	as his sister limps down the hall, someone looks at someone, who slumbers on.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS280 	01:13:27,00 --> 01:13:34,50 	someone keeps his hands off and looks helplessly to someone.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS320 	01:24:15,00 --> 01:24:27,50 	he turns to look at the actual structures.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS356 	01:34:13,00 --> 01:34:22,50 	as the other patrons look over at mr.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS377 	01:39:00,00 --> 01:39:07,50 	someone looks at the stairs and sees someone standing there.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS130 	01:18:00,00 --> 01:18:05,50 	someone looks him in the eye and takes a deep breath.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS164 	01:29:53,00 --> 01:29:58,50 	to the roof and looks a few stories down.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS28 	00:04:27,00 --> 00:04:40,50 	someone looks back.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS37 	00:06:30,00 --> 00:06:42,50 	he looks at a scar on the palm of his hand then sits up.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS61 	00:10:18,00 --> 00:10:23,50 	she looks him over.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS92 	00:14:22,00 --> 00:14:29,50 	as the heavyset thug looks on, someone punches his mustached attacker in the gut.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS98 	00:15:16,00 --> 00:15:27,50 	someone looks up.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS106 	00:17:04,00 --> 00:17:20,50 	looking along, the heavyset thug drops his rifle and sinks to his knees.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS119 	00:19:15,00 --> 00:19:23,50 	someone looks around, notices an iv in his hand and lifts up his hospital gown.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS128 	00:20:36,00 --> 00:20:41,50 	someone's eyes look her over then narrow his eyes.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS153 	00:23:48,00 --> 00:24:12,50 	someone looks around and glimpses someone hurrying alongside the building.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS157 	00:24:18,00 --> 00:24:25,50 	stepping past an ambulance, he looks around.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS178 	00:29:10,00 --> 00:29:14,50 	he blinks and looks around.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS189 	00:30:11,00 --> 00:30:16,50 	two campers look on.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS194 	00:30:37,00 --> 00:30:54,50 	he looks over his shoulder at someone who sits slumped and blindfolded on the floor.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS204 	00:32:40,00 --> 00:32:44,50 	someone looks at someone's phone.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS241 	00:38:30,00 --> 00:38:47,50 	ghost rider looks at one who flinches.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS268 	00:41:57,00 --> 00:42:06,50 	she looks over her shoulder at him but finds no one.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS274 	00:42:29,00 --> 00:42:33,50 	he looks back at someone.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS372 	00:54:53,00 --> 00:54:57,50 	he looks heavenward.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS376 	00:55:22,00 --> 00:55:30,50 	someone looks at someone and grins.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS382 	00:56:21,00 --> 00:56:26,50 	he kisses the bottle then looks at someone.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS384 	00:56:48,00 --> 00:56:55,50 	he puts the cross around his neck in someone's hand and looks him in the eyes.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS386 	00:57:06,00 --> 00:57:12,50 	holding the cross, someone looks into the priests eyes.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS400 	00:59:04,00 --> 00:59:12,50 	someone looks up at the room's domed ceiling.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS413 	01:00:12,00 --> 01:00:21,50 	he wakes with a start and rises to a crouch then looks at his gloved right hand, gives it a rub, and brightens.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS427 	01:01:37,00 --> 01:01:47,50 	someone looks on.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS449 	01:04:15,00 --> 01:04:23,50 	she looks at someone.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS527 	01:14:59,00 --> 01:15:10,50 	someone turns and looks up, his eyes returning to normal.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS536 	01:16:11,00 --> 01:16:26,50 	someone looks on as someone shakes the rot off his face and out of his hair and mouth.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS540 	01:16:52,00 --> 01:17:13,50 	as someone looks on with a bitter twisted scowl, someone draws a line of decay across someone's high forehead.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS540 	01:16:52,00 --> 01:17:13,50 	the devil turns and his minion looks up.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS547 	01:17:57,00 --> 01:18:03,50 	he looks back and forth between the boy and his evil father.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS548 	01:18:00,00 --> 01:18:14,50 	he looks up at someone.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS550 	01:18:25,00 --> 01:18:38,50 	someone releases his victim and staggers back, looking on.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS574 	01:22:26,00 --> 01:23:00,50 	the rider peers toward the road, looking for his enemy.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS599 	01:26:06,00 --> 01:26:15,50 	as someone watches, ghost rider circles the vehicle, looking down.
GREEN_ZONE.srt 	GREEN_ZONE_DVS24 	00:06:59,00 --> 00:07:03,50 	someone looks on.
GREEN_ZONE.srt 	GREEN_ZONE_DVS99 	00:25:03,00 --> 00:25:08,50 	someone looks back at conway.
GREEN_ZONE.srt 	GREEN_ZONE_DVS130 	00:30:10,00 --> 00:30:17,50 	someone looks up a staircase.
GREEN_ZONE.srt 	GREEN_ZONE_DVS143 	00:34:17,00 --> 00:34:23,50 	someone fidgets then looks at someone.
GREEN_ZONE.srt 	GREEN_ZONE_DVS336 	01:15:52,00 --> 01:16:06,50 	someone looks over his shoulder and spots one of his men stalking out the alley and across the street following his path.
GREEN_ZONE.srt 	GREEN_ZONE_DVS363 	01:23:25,00 --> 01:23:33,50 	the american looks to someone.
GREEN_ZONE.srt 	GREEN_ZONE_DVS446 	01:37:45,00 --> 01:37:54,50 	he looks back down at the fallen general then tosses his weapon aside.
GREEN_ZONE.srt 	GREEN_ZONE_DVS465 	01:41:32,00 --> 01:41:45,50 	looking up from the file, he glances around then lifts his brow.
GROWN_UPS.srt 	GROWN_UPS_DVS32 	00:08:08,00 --> 00:08:15,50 	a heavy-set blond on a massage table looks up, her hair hiding her face.
GROWN_UPS.srt 	GROWN_UPS_DVS99 	00:32:13,00 --> 00:32:18,50 	everyone looks over.
GROWN_UPS.srt 	GROWN_UPS_DVS113 	00:36:40,00 --> 00:36:46,50 	from the porch, mama ronzoni looks in at the dog.
GROWN_UPS.srt 	GROWN_UPS_DVS147 	00:45:02,00 --> 00:45:08,50 	someone and someone stare at someone while the other two look away.
GROWN_UPS.srt 	GROWN_UPS_DVS201 	00:55:04,00 --> 00:55:10,50 	the mother pauses and looks to the lake shore where her kids skep stones with their
GROWN_UPS.srt 	GROWN_UPS_DVS293 	01:33:19,00 --> 01:33:35,50 	in slow motion, someone eyes the open basket then looks at bailey's disheartened expression.
GROWN_UPS.srt 	GROWN_UPS_DVS298 	01:36:03,00 --> 01:36:07,50 	he looks up.
HUGO.srt 	HUGO_DVS35 	00:03:56,00 --> 00:04:01,50 	looking at her, he shrugs then nods emphatically.
HUGO.srt 	HUGO_DVS120 	00:15:40,00 --> 00:15:45,50 	she stands and looks down at him.
HUGO.srt 	HUGO_DVS189 	00:26:59,00 --> 00:27:03,50 	he looks up at someone
HUGO.srt 	HUGO_DVS198 	00:30:04,00 --> 00:30:08,50 	someone blinks and looks down.
HUGO.srt 	HUGO_DVS206 	00:30:57,00 --> 00:31:02,50 	someone looks down then back at someone.
HUGO.srt 	HUGO_DVS235 	00:34:13,00 --> 00:34:21,50 	in the shop, someone looks up from his work at someone, who demonstrates dance steps for a group of girls.
HUGO.srt 	HUGO_DVS237 	00:34:23,00 --> 00:34:32,50 	she looks up and smiles at someone, who gasps and turns away.
HUGO.srt 	HUGO_DVS317 	00:49:16,00 --> 00:49:20,50 	he looks down at it.
HUGO.srt 	HUGO_DVS356 	00:54:05,00 --> 00:54:10,50 	someone looks at someone and smiles.
HUGO.srt 	HUGO_DVS370 	00:56:31,00 --> 00:56:38,50 	they look at someone, who pulls a folded piece of paper from an inner-jacket pocket.
HUGO.srt 	HUGO_DVS373 	00:56:49,00 --> 00:56:55,50 	someone glances at someone then looks back at the drawing.
HUGO.srt 	HUGO_DVS376 	00:57:33,00 --> 00:57:39,50 	someone raises her hand toward her own neck then looks at someone.
HUGO.srt 	HUGO_DVS391 	00:59:17,00 --> 00:59:22,50 	someone looks up at someone as she turns her gaze toward the hallway.
HUGO.srt 	HUGO_DVS434 	01:03:13,00 --> 01:03:17,50 	someone looks downward.
HUGO.srt 	HUGO_DVS482 	01:10:39,00 --> 01:10:56,50 	someone looks up from a sleeping boy.
HUGO.srt 	HUGO_DVS490 	01:11:54,00 --> 01:11:58,50 	she looks up at the man.
HUGO.srt 	HUGO_DVS495 	01:12:43,00 --> 01:12:47,50 	someone looks around himself.
HUGO.srt 	HUGO_DVS521 	01:17:05,00 --> 01:17:10,50 	below, the inspector looks at the clock then checks his watch.
HUGO.srt 	HUGO_DVS537 	01:20:50,00 --> 01:20:55,50 	they hold hands as they look out over paris.
HUGO.srt 	HUGO_DVS569 	01:23:38,00 --> 01:23:47,50 	someone stares at the key then looks around at the vibrating ground.
HUGO.srt 	HUGO_DVS581 	01:24:28,00 --> 01:24:33,50 	sweating, he looks around himself.
HUGO.srt 	HUGO_DVS587 	01:25:05,00 --> 01:25:15,50 	pulling his shirt open with both hands, someone looks down at his torso, which is now a metallic framework filled with pistons and moving parts.
HUGO.srt 	HUGO_DVS610 	01:27:44,00 --> 01:27:49,50 	someone looks from someone to the others.
IN_TIME.srt 	IN_TIME_DVS116 	00:13:50,00 --> 00:13:57,50 	under someone's earnest gaze, someone blinks heavily and looks away.
IN_TIME.srt 	IN_TIME_DVS136 	00:15:29,00 --> 00:15:36,50 	he glances at someone with wide eyes, then looks down at his body clock
IN_TIME.srt 	IN_TIME_DVS144 	00:15:54,00 --> 00:16:01,50 	the working class man looks around, finds himself alone, and sits up.
IN_TIME.srt 	IN_TIME_DVS165 	00:18:01,00 --> 00:18:05,50 	nodding, someone looks off thoughtfully.
IN_TIME.srt 	IN_TIME_DVS182 	00:19:42,00 --> 00:19:50,50 	someone's mother looks at the other passengers who either avoid her gaze or turn away with disengaged expressions.
IN_TIME.srt 	IN_TIME_DVS270 	00:27:47,00 --> 00:27:52,50 	awaking, he sits up and looks around.
IN_TIME.srt 	IN_TIME_DVS318 	00:32:55,00 --> 00:33:01,50 	looking down at his own, he flips them over to reveal an eight and a four.
IN_TIME.srt 	IN_TIME_DVS331 	00:34:13,00 --> 00:34:17,50 	someone looks at her.
IN_TIME.srt 	IN_TIME_DVS361 	00:38:00,00 --> 00:38:06,50 	as he leads her out, someone looks on with a seething glare.
IN_TIME.srt 	IN_TIME_DVS427 	00:45:51,00 --> 00:45:59,50 	now, as they chase someone's car across an overpass, someone looks over her shoulder.
IN_TIME.srt 	IN_TIME_DVS438 	00:47:05,00 --> 00:47:12,50 	someone glances at his hostage, looks over his shoulder, and smirks.
IN_TIME.srt 	IN_TIME_DVS442 	00:47:53,00 --> 00:47:57,50 	someone looks down.
IN_TIME.srt 	IN_TIME_DVS445 	00:48:05,00 --> 00:48:11,50 	at the wheel, someone looks up at a posted video camera trained on the road.
IN_TIME.srt 	IN_TIME_DVS523 	00:56:30,00 --> 00:56:38,50 	someone looks around.
IN_TIME.srt 	IN_TIME_DVS540 	00:58:22,00 --> 00:58:29,50 	someone looks at someone's clock which counts down from seven seconds.
IN_TIME.srt 	IN_TIME_DVS636 	01:08:02,00 --> 01:08:07,50 	looking out her window, she suppresses a smile.
IN_TIME.srt 	IN_TIME_DVS684 	01:14:07,00 --> 01:14:14,50 	she pulls out a time capsule and looks around.
IN_TIME.srt 	IN_TIME_DVS714 	01:16:11,00 --> 01:16:19,50 	looking up, he spots a billboard featuring someone and someone advertising a reward of ten years.
IN_TIME.srt 	IN_TIME_DVS725 	01:17:35,00 --> 01:17:41,50 	he pauses, pushes himself up, and looks to the window.
IN_TIME.srt 	IN_TIME_DVS782 	01:22:23,00 --> 01:22:29,50 	someone looks back at the fedora-wearing thug, who lowers his gun.
IN_TIME.srt 	IN_TIME_DVS806 	01:25:49,00 --> 01:25:55,50 	someone looks to someone, who shakes her head with wide eyes.
IN_TIME.srt 	IN_TIME_DVS864 	01:31:21,00 --> 01:31:25,50 	someone looks away.
INSIDE_MAN.srt 	INSIDE_MAN_DVS22 	00:05:32,00 --> 00:05:38,50 	she catches him looking.
INSIDE_MAN.srt 	INSIDE_MAN_DVS22 	00:05:32,00 --> 00:05:38,50 	as he looks away, she glares.
INSIDE_MAN.srt 	INSIDE_MAN_DVS71 	00:18:36,00 --> 00:18:41,50 	someone stops and opens the door, looking down near his feet.
INSIDE_MAN.srt 	INSIDE_MAN_DVS89 	00:23:14,00 --> 00:23:25,50 	following them to the doorway, someone looks back at the other hostages.
INSIDE_MAN.srt 	INSIDE_MAN_DVS89 	00:23:14,00 --> 00:23:25,50 	another shoves out an identical looking figure.
INSIDE_MAN.srt 	INSIDE_MAN_DVS96 	00:24:49,00 --> 00:25:13,50 	the robbers shoot looks at the hostages through their sunglasses.
INSIDE_MAN.srt 	INSIDE_MAN_DVS97 	00:25:14,00 --> 00:25:31,50 	he and the crew step inside and look at the shelves of office supplies.
INSIDE_MAN.srt 	INSIDE_MAN_DVS98 	00:25:30,00 --> 00:25:49,50 	around the corner from an ornamental statue, a balcony looks in on a spacious penthouse.
INSIDE_MAN.srt 	INSIDE_MAN_DVS105 	00:32:09,00 --> 00:32:18,50 	someone looks out toward the misty harbor.
INSIDE_MAN.srt 	INSIDE_MAN_DVS131 	00:38:20,00 --> 00:38:28,50 	as she leaves the room, the mayor looks at a tv.
INSIDE_MAN.srt 	INSIDE_MAN_DVS136 	00:41:51,00 --> 00:41:58,50 	someone out of the command truck, then looks to the others and smirks.
INSIDE_MAN.srt 	INSIDE_MAN_DVS143 	00:42:28,00 --> 00:42:39,50 	someone looks down at the paper and grins.
INSIDE_MAN.srt 	INSIDE_MAN_DVS168 	00:48:16,00 --> 00:48:23,50 	he looks inside.
INSIDE_MAN.srt 	INSIDE_MAN_DVS172 	00:48:44,00 --> 00:48:54,50 	in interrogation, the asian guy looks at a group of instant photos.
INSIDE_MAN.srt 	INSIDE_MAN_DVS182 	00:52:28,00 --> 00:52:41,50 	the boy looks up from his video game as the robber approaches.
INSIDE_MAN.srt 	INSIDE_MAN_DVS220 	01:02:18,00 --> 01:02:32,50 	someone sits patiently at a counter, looking out toward the bank.
INSIDE_MAN.srt 	INSIDE_MAN_DVS247 	01:16:07,00 --> 01:16:12,50 	he shrugs and looks down.
INSIDE_MAN.srt 	INSIDE_MAN_DVS251 	01:17:23,00 --> 01:17:30,50 	the detectives look at her blankly.
INSIDE_MAN.srt 	INSIDE_MAN_DVS256 	01:19:00,00 --> 01:19:09,50 	someone swaps looks with his partner, then hangs up the receiver.
INSIDE_MAN.srt 	INSIDE_MAN_DVS257 	01:19:10,00 --> 01:19:29,50 	someone looks up and stares at the robber with the pistol.
INSIDE_MAN.srt 	INSIDE_MAN_DVS261 	01:20:15,00 --> 01:20:41,50 	as the detective enters, the hostages look at him.
INSIDE_MAN.srt 	INSIDE_MAN_DVS262 	01:20:43,00 --> 01:21:07,50 	while someone looks around, the mastermind opens a third door.
INSIDE_MAN.srt 	INSIDE_MAN_DVS286 	01:27:57,00 --> 01:28:04,50 	someone looks over and sees his boss leaning against a dark sedan.
INSIDE_MAN.srt 	INSIDE_MAN_DVS298 	01:30:39,00 --> 01:30:44,50 	someone looks at someone.
INSIDE_MAN.srt 	INSIDE_MAN_DVS312 	01:33:22,00 --> 01:33:33,50 	in the secured office, someone looks up.
IRON_MAN_2.srt 	IRON_MAN_2_DVS257 	00:48:11,00 --> 00:48:16,50 	someone looks down.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS25 	00:06:56,00 --> 00:07:28,50 	her eyes shift thoughtfully as she rinses the plate and looks out a window.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS86 	00:26:19,00 --> 00:26:29,50 	someone glances tearfully at her sister who looks to her fiance.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS102 	00:30:52,00 --> 00:31:00,50 	someone looks over his shoulder.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS128 	00:41:25,00 --> 00:41:29,50 	she looks over his work.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS132 	00:42:22,00 --> 00:42:28,50 	look out over her spanish-tiled roof to the tree-filled horizon.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS177 	00:55:56,00 --> 00:56:05,50 	screwing her mouth to one side she lowers the phone and looks away.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS198 	01:00:41,00 --> 01:00:47,50 	as she pulls the robe off her other shoulder she looks up and
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS215 	01:04:03,00 --> 01:04:09,50 	someone gazes off pensively and someone looks away.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS218 	01:04:26,00 --> 01:04:35,50 	someone looks askance at him then fully meets his gaze.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS274 	01:17:38,00 --> 01:17:42,50 	he look over and she waves.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS343 	01:37:31,00 --> 01:37:35,50 	he sheepishly looks up from his bite.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS356 	01:40:26,00 --> 01:40:31,50 	someone looks to someone.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS363 	01:41:54,00 --> 01:42:25,50 	the grief-stricken man pauses and looks at his ex-wife.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS363 	01:41:54,00 --> 01:42:25,50 	someone gazes back at her then looks away and opens the driver side door.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS369 	01:43:22,00 --> 01:43:30,50 	she looks up at the sunny sky then swings her legs down and glances around thoughtfully.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS402 	01:52:43,00 --> 01:53:01,50 	she looks away from him then leans one elbow on the armrest and gazes off thoughtfully.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS411 	01:54:00,00 --> 01:54:05,50 	someone smiles and she looks to the other men.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS413 	01:54:11,00 --> 01:54:16,50 	someone smiles and looks away.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS64 	00:11:02,00 --> 00:11:05,50 	he looks up.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS102 	00:21:55,00 --> 00:22:03,50 	he looks outside to find someone riding her newly won jet ski in the backyard swimming pool.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS115 	00:23:19,00 --> 00:23:24,50 	someone looks over at him and gives a friendly wave.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS117 	00:23:35,00 --> 00:23:39,50 	then look around furtively.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS166 	00:33:20,00 --> 00:33:27,50 	someone holds a doll that looks exactly like someone dressed in a matching outfit.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS304 	00:58:35,00 --> 00:58:41,50 	he looks around then opens a door for some air.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS316 	01:00:17,00 --> 01:00:22,50 	hangs up and looks heavenward.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS319 	01:00:47,00 --> 01:00:52,50 	someone looks over the audience.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS344 	01:06:13,00 --> 01:06:19,50 	crossing the room, someone looks again at the balding man twice.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS359 	01:07:14,00 --> 01:07:20,50 	later, he climbs a staircase to the empty deck and looks around.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS39 	00:04:37,00 --> 00:04:42,50 	she looks at her beau.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS86 	00:12:35,00 --> 00:12:39,50 	someone's friend looks away.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS172 	00:31:51,00 --> 00:32:02,50 	a chef with a snowy mustache looks up, and his male students turn.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS210 	00:40:08,00 --> 00:40:15,50 	the lobster looks at her.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS220 	00:41:43,00 --> 00:41:48,50 	someone lets go of her head and looks over.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS233 	00:43:58,00 --> 00:44:04,50 	someone takes the present and looks someone in the eyes.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS419 	01:21:32,00 --> 01:21:36,50 	someone looks at her.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS443 	01:27:39,00 --> 01:27:45,50 	he shifts his down-hearted gaze, and someone looks away.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS446 	01:28:03,00 --> 01:28:10,50 	they look at each other, and someone worriedly presses her lips together.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS527 	01:44:45,00 --> 01:44:49,50 	their cat looks up.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS531 	01:45:28,00 --> 01:45:35,50 	someone looks on from the bed.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS532 	01:45:55,00 --> 01:46:01,50 	someone hangs up and looks at someone sitting up attentively.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS116 	00:41:50,00 --> 00:41:56,50 	someone and someone look up from the floor.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS187 	01:06:03,00 --> 01:06:07,50 	someone looks in on them.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS259 	01:27:23,00 --> 01:27:34,50 	someone looks to someone, who gestures forward to show off her own moves.
KARATE_KID.srt 	KARATE_KID_DVS49 	00:04:20,00 --> 00:04:24,50 	she looks across the aisle.
KARATE_KID.srt 	KARATE_KID_DVS74 	00:06:17,00 --> 00:06:29,50 	from a van on a highway, someone looks out at china's central tv headquarters, a looming skyscraper resembling a pair of rectangular legs, bent at the knees, and spread apart.
KARATE_KID.srt 	KARATE_KID_DVS113 	00:10:27,00 --> 00:10:39,50 	he enters a long shadowy hallway and looks around.
KARATE_KID.srt 	KARATE_KID_DVS142 	00:12:37,00 --> 00:12:43,50 	someone looks past her, eyeing someone as he trudges off.
KARATE_KID.srt 	KARATE_KID_DVS161 	00:13:27,00 --> 00:13:38,50 	someone passes to someone and the pixie-faced girl looks up.
KARATE_KID.srt 	KARATE_KID_DVS185 	00:15:49,00 --> 00:15:54,50 	she looks up at the american and shuffles her feet.
KARATE_KID.srt 	KARATE_KID_DVS205 	00:17:39,00 --> 00:17:46,50 	looking on, someone gets to his feet.
KARATE_KID.srt 	KARATE_KID_DVS219 	00:18:48,00 --> 00:18:52,50 	the boy looks down at someone.
KARATE_KID.srt 	KARATE_KID_DVS249 	00:22:06,00 --> 00:22:11,50 	someone scowls at her son and he looks away.
