21_JUMP_STREET.srt 	21_JUMP_STREET_DVS447 	01:13:52,00 --> 01:13:58,50 	he overtakes the rig and falls off his bike.
THOR.srt 	THOR_DVS395 	00:58:57,00 --> 00:59:05,50 	someone staggers backward while staring at his hands, then faces skyward and squints into the falling rain.
THOR.srt 	THOR_DVS409 	01:03:10,00 --> 01:03:16,50 	his brow furrowed, someone look down as a tear falls.
THOR.srt 	THOR_DVS531 	01:24:52,00 --> 01:24:58,50 	holding someone's shield, someone lets it fall to the ground.
THOR.srt 	THOR_DVS622 	01:34:38,00 --> 01:34:43,50 	someone falls from the towering palace and disappears into clouds.
THOR.srt 	THOR_DVS654 	01:37:57,00 --> 01:38:04,50 	as someone falls, dozens of copies of someone encircle him.
THOR.srt 	THOR_DVS655 	01:38:03,00 --> 01:38:13,50 	the real someone flies backward and drops his spear as he falls onto the bridge.
THOR.srt 	THOR_DVS670 	01:40:03,00 --> 01:40:11,50 	as someone falls he grabs someone's spear.
THOR.srt 	THOR_DVS676 	01:40:44,00 --> 01:40:51,50 	releasing his grip, someone falls into outer space toward a swirling cloud of flashing gas.
THOR.srt 	THOR_DVS698 	01:44:29,00 --> 01:44:37,50 	below him the sea pours over a cliff and falls into the vast reaches of outer space.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS356 	00:39:33,00 --> 00:39:42,50 	he trips and falls face first.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS379 	00:41:23,00 --> 00:41:27,50 	dust falls on a dog, whose eyes go goofy.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS581 	01:04:31,00 --> 01:04:38,50 	in the empty ice rink, someone practices but falls.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS589 	01:05:00,00 --> 01:05:05,50 	his ankles graze the top and he falls.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS653 	01:12:53,00 --> 01:12:59,50 	someone throws a hand toward the floor in a falling motion.
TRUE_GRIT.srt 	TRUE_GRIT_DVS240 	00:50:19,00 --> 00:50:26,50 	the snow falls heavier, swirling through the air.
TRUE_GRIT.srt 	TRUE_GRIT_DVS307 	01:04:04,00 --> 01:04:10,50 	someone shoots and the man in the saddle falls.
TRUE_GRIT.srt 	TRUE_GRIT_DVS467 	01:31:15,00 --> 01:31:22,50 	a dust cloud rises from the ground where someone's horse has fallen.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS565 	01:15:02,00 --> 01:15:09,50 	her face falls.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS22 	00:03:37,00 --> 00:03:41,50 	his books fall out.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS32 	00:05:10,00 --> 00:05:16,50 	someone spots a restaurant ahead and his face falls.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS413 	01:05:01,00 --> 01:05:09,50 	his gaze falls on two words in quotation marks.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS574 	01:27:58,00 --> 01:28:04,50 	beneath his striped pelt, his rib cage rises and falls, slowly.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS623 	01:32:34,00 --> 01:32:42,50 	someone imagines her opening her eyes, her chest rises and falls beneath the sheet.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS371 	00:53:32,00 --> 00:53:37,50 	as they set it down, a lamp falls off the edge.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS472 	01:06:14,00 --> 01:06:19,50 	she backs into her bedroom and they fall on her bed.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS486 	01:08:03,00 --> 01:08:07,50 	she falls off the bed.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS672 	01:33:41,00 --> 01:33:52,50 	she falls flat on her face, catching everyone's attention.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS731 	01:37:11,00 --> 01:37:18,50 	the dress tears as she falls into some shrubbery.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS616 	00:57:37,00 --> 00:57:46,50 	someone extends his arms, drawing the soldiers toward him, then pulls his elbows down, causing them to fall.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS635 	00:58:46,00 --> 00:58:51,50 	the general falls back and passes out.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS730 	01:06:12,00 --> 01:06:18,50 	someone's gaze falls on angel and grows seductively tender.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS920 	01:24:47,00 --> 01:24:52,50 	someone's face falls and he glances away.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1112 	01:40:21,00 --> 01:40:28,50 	the needle on a meter indicating reactor-energy state falls.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1168 	01:44:30,00 --> 01:44:36,50 	someone falls.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1199 	01:47:12,00 --> 01:47:18,50 	the young mutant screams and the sailors fall to their knees.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1215 	01:48:26,00 --> 01:48:32,50 	flailing wildly, angel falls to the sand.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1227 	01:50:19,00 --> 01:50:26,50 	the girder trapping someone falls and he steps around the someone to face him.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1245 	01:52:02,00 --> 01:52:11,50 	now the coin emerges from the back of the someone's head and falls to the floor, splotched with the someone's blood.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1286 	01:56:00,00 --> 01:56:06,50 	the rockets fall from the sky,
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1294 	01:56:46,00 --> 01:56:57,50 	the shot ricochets, distracting him, and the rockets fall.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1300 	01:57:13,00 --> 01:57:20,50 	over the sea, the rockets fall from the sky, some bursting in mid-air,
ZOMBIELAND.srt 	ZOMBIELAND_DVS75 	00:06:16,00 --> 00:06:22,50 	the zombies chase after him but quickly fall far behind.
ZOMBIELAND.srt 	ZOMBIELAND_DVS168 	00:16:49,00 --> 00:16:53,50 	the pitcher falls off.
ZOMBIELAND.srt 	ZOMBIELAND_DVS190 	00:18:29,00 --> 00:18:35,50 	she falls.
ZOMBIELAND.srt 	ZOMBIELAND_DVS593 	01:08:44,00 --> 01:08:51,50 	someone wavers on the chopper, accelerates into the bushes, and falls off.
ZOMBIELAND.srt 	ZOMBIELAND_DVS625 	01:11:24,00 --> 01:11:29,50 	the zombies convulse as they fall to the ground.
ZOMBIELAND.srt 	ZOMBIELAND_DVS670 	01:14:42,00 --> 01:14:48,50 	the zombie falls off.
ZOMBIELAND.srt 	ZOMBIELAND_DVS681 	01:15:20,00 --> 01:15:26,50 	she falls on top of him.
ZOMBIELAND.srt 	ZOMBIELAND_DVS701 	01:17:01,00 --> 01:17:10,50 	he falls.
ZOMBIELAND.srt 	ZOMBIELAND_DVS723 	01:18:37,00 --> 01:18:41,50 	the zombie falls off.
ZOOKEEPER.srt 	ZOOKEEPER_DVS114 	00:23:39,00 --> 00:23:44,50 	feet and falls on his back.
